clade_name	MMRS11288076ST-27-0-0	MMRS11664448ST-27-0-0	MMRS11932626ST-27-0-0	MMRS12272136ST-27-0-0	MMRS14379078ST-27-0-0	MMRS14602194ST-27-0-0	MMRS15137911ST-27-0-0	MMRS16644320ST-27-0-0	MMRS17603756ST-27-0-0	MMRS17963147ST-27-0-0	MMRS18295921ST-27-0-0	MMRS20257302ST-27-0-0	MMRS21365932ST-27-0-0	MMRS24340226ST-27-0-0	MMRS25211151ST-27-0-0	MMRS25641480ST-27-0-0	MMRS29805707ST-27-0-0	MMRS31306426ST-27-0-0	MMRS32573774ST-27-0-0	MMRS33294861ST-27-0-0	MMRS34525504ST-27-0-0	MMRS34569532ST-27-0-0	MMRS35808664ST-27-0-0	MMRS36405092ST-27-0-0	MMRS38861560ST-27-0-0	MMRS38954404ST-27-0-0	MMRS39415781ST-27-0-0	MMRS39582183ST-27-0-0	MMRS40913371ST-27-0-0	MMRS41266697ST-27-0-0	MMRS41711735ST-27-0-0	MMRS42570301ST-27-0-0	MMRS42780924ST-27-0-0	MMRS43563715ST-27-0-0	MMRS43939546ST-27-0-0	MMRS44197125ST-27-0-0	MMRS44203591ST-27-0-0	MMRS44587603ST-27-0-0	MMRS47662059ST-27-0-0	MMRS47685461ST-27-0-0	MMRS48639115ST-27-0-0	MMRS51307502ST-27-0-0	MMRS51410669ST-27-0-0	MMRS51728985ST-27-0-0	MMRS51737257ST-27-0-0	MMRS54246132ST-27-0-0	MMRS54316675ST-27-0-0	MMRS55294627ST-27-0-0	MMRS56137463ST-27-0-0	MMRS57276462ST-27-0-0	MMRS57569834ST-27-0-0	MMRS59699117ST-27-0-0	MMRS61683006ST-27-0-0	MMRS62192467ST-27-0-0	MMRS62376181ST-27-0-0	MMRS62666492ST-27-0-0	MMRS64281211ST-27-0-0	MMRS64281551ST-27-0-0	MMRS65205033ST-27-0-0	MMRS65742083ST-27-0-0	MMRS65862658ST-27-0-0	MMRS65945127ST-27-0-0	MMRS66868025ST-27-0-0	MMRS67096717ST-27-0-0	MMRS67247116ST-27-0-0	MMRS67690541ST-27-0-0	MMRS68630931ST-27-0-0	MMRS68910755ST-27-0-0	MMRS71238091ST-27-0-0	MMRS71762412ST-27-0-0	MMRS72802364ST-27-0-0	MMRS72980899ST-27-0-0	MMRS73787048ST-27-0-0	MMRS77018926ST-27-0-0	MMRS77321055ST-27-0-0	MMRS77487595ST-27-0-0	MMRS78791111ST-27-0-0	MMRS79893829ST-27-0-0	MMRS80093644ST-27-0-0	MMRS81130264ST-27-0-0	MMRS81135225ST-27-0-0	MMRS81194191ST-27-0-0	MMRS81671217ST-27-0-0	MMRS84085284ST-27-0-0	MMRS84159866ST-27-0-0	MMRS84954772ST-27-0-0	MMRS85382779ST-27-0-0	MMRS85438660ST-27-0-0	MMRS85548821ST-27-0-0	MMRS86168210ST-27-0-0	MMRS86178473ST-27-0-0	MMRS86958796ST-27-0-0	MMRS87723283ST-27-0-0	MMRS88581325ST-27-0-0	MMRS90191266ST-27-0-0	MMRS91297590ST-27-0-0	MMRS92544445ST-27-0-0	MMRS92546335ST-27-0-0	MMRS92727331ST-27-0-0	MMRS93508324ST-27-0-0	MMRS93621581ST-27-0-0	MMRS94549160ST-27-0-0	MMRS95277876ST-27-0-0	MMRS95479054ST-27-0-0	MMRS95674036ST-27-0-0	MMRS96422329ST-27-0-0	MMRS97052561ST-27-0-0	MMRS97307143ST-27-0-0	MMRS97327636ST-27-0-0	MMRS99045180ST-27-0-0
k__Bacteria	100.0	99.98316	99.90066	99.99558	100.0	99.99902	95.74907	99.99979	100.0	99.91963	99.99929	99.68168	99.88401	100.0	100.0	98.71374	100.0	100.0	99.91205	100.0	99.91691	99.71259	99.99346	100.0	100.0	99.14311	100.0	93.20386	100.0	100.0	100.0	100.0	100.0	99.97344	100.0	100.0	100.0	99.99827	99.82612	100.0	100.0	98.01175	99.72577	100.0	99.18678	99.99236	99.58221	100.0	100.0	99.90556	99.99905	100.0	100.0	100.0	100.0	99.93293	100.0	99.99265	99.48508	99.93534	99.91521	100.0	100.0	100.0	99.99471	99.89547	100.0	99.99472	100.0	99.5117	99.99632	99.55626	100.0	99.99694	99.99799	99.47663	100.0	100.0	95.50304	100.0	99.99964	99.97798	99.91184	100.0	99.01828	99.72415	99.99995	100.0	99.94939	99.99814	100.0	99.99986	100.0	98.64185	99.85072	99.9989	100.0	100.0	100.0	99.82794	98.95416	99.90903	99.69046	100.0	100.0	100.0	99.85092	100.0	99.28719	100.0
k__Archaea	0.0	0.01684	0.0	0.00442	0.0	0.00098	4.25093	0.00021	0.0	0.08037	0.00071	0.31832	0.11599	0.0	0.0	1.28626	0.0	0.0	0.08795	0.0	0.08309	0.28741	0.00654	0.0	0.0	0.85689	0.0	6.79614	0.0	0.0	0.0	0.0	0.0	0.02656	0.0	0.0	0.0	0.00173	0.17388	0.0	0.0	1.98825	0.27423	0.0	0.81322	0.00764	0.41779	0.0	0.0	0.09444	0.00095	0.0	0.0	0.0	0.0	0.06707	0.0	0.00069	0.51492	0.06454	0.08479	0.0	0.0	0.0	0.00529	0.10453	0.0	0.00528	0.0	0.4883	0.00368	0.44374	0.0	0.00306	0.00201	0.52337	0.0	0.0	4.49696	0.0	0.00036	0.02202	0.08816	0.0	0.98172	0.27585	5e-05	0.0	0.05061	0.00186	0.0	0.00014	0.0	1.35815	0.14928	0.00097	0.0	0.0	0.0	0.16903	1.04584	0.09097	0.30954	0.0	0.0	0.0	0.14908	0.0	0.71281	0.0
k__Bacteria|p__Firmicutes	66.32127	58.40418	65.7879	49.72738	61.54098	62.19568	70.68143	59.41788	33.39316	53.98849	47.265	64.46395	73.11054	48.76691	57.44429	65.51802	67.06913	25.49875	69.37237	65.58937	34.87129	58.59873	38.27049	73.44089	69.95209	71.66609	57.77854	70.59098	47.43823	33.3175	45.4418	44.46123	33.73072	55.32075	71.7753	50.76234	20.37095	62.30183	57.96	44.4528	71.18113	81.32901	67.14421	61.54528	58.25463	45.42233	56.98016	52.74912	43.34227	69.96164	34.80857	41.51086	45.35413	63.80856	47.29475	69.73535	37.93214	36.65084	44.53958	61.94443	67.29545	69.92515	74.46449	54.95748	44.9141	69.90036	50.22592	35.07276	45.40332	33.60703	54.21669	54.01332	80.2681	60.65217	74.54158	75.09517	61.79697	51.63454	53.40153	43.81483	39.70294	27.86231	70.82516	48.91571	71.09497	49.92566	62.43582	37.57379	49.37306	74.86557	64.7214	57.06158	44.40545	73.0123	62.5587	63.52175	32.83988	31.10465	55.97145	62.49526	61.47491	72.69897	72.84207	76.35441	28.24242	64.28001	41.12211	61.46043	70.2922	51.70636
k__Bacteria|p__Bacteroidetes	28.36035	37.93911	24.11405	44.76739	36.60252	36.12821	18.60707	32.9059	63.53737	42.2778	49.28587	27.00336	19.51687	50.07516	36.42055	22.86349	30.39747	52.0004	24.68439	26.40368	62.68378	35.81444	51.31383	21.71675	27.97276	25.0543	36.63041	19.16159	43.03166	56.7257	31.66605	44.55143	59.16238	40.05637	25.48269	45.3259	77.70202	34.13464	30.64495	54.3194	26.875	10.75289	30.10043	0.46687	36.85897	51.52676	38.50656	41.85957	52.79033	25.89362	60.05449	57.72206	52.7894	33.55137	46.36569	28.57564	54.8982	60.17957	51.13931	25.39271	26.67722	20.52485	23.83575	20.32144	42.60801	26.66448	47.68942	63.48948	44.8085	33.01485	38.9196	36.01141	17.50822	35.92084	23.05942	18.51914	35.83433	42.82739	36.86669	52.08189	56.76119	66.52899	26.83615	48.32144	21.15814	41.27322	32.90873	61.20252	46.91077	17.03647	31.29074	35.31094	52.69431	15.27393	28.90438	34.69804	62.03107	64.20753	41.27488	32.54258	30.65235	22.59287	20.01943	20.3181	66.80513	29.58523	53.56003	26.63167	27.64282	47.91572
k__Bacteria|p__Actinobacteria	0.4184	0.4048	1.08344	0.50249	0.74389	0.36473	0.61928	3.27303	0.57971	0.39663	1.08884	0.5524	0.46955	0.63456	0.46065	1.60295	0.23848	0.65924	0.46248	0.9896	0.62675	0.49498	0.2289	4.08659	1.38868	0.57168	1.3447	0.54732	3.09243	0.13028	0.75296	1.05108	0.66322	1.33486	1.64145	2.93085	0.61847	0.87203	0.29344	0.44942	1.13094	0.82426	1.09907	1.32365	0.32097	1.30781	1.81656	4.06004	1.39566	0.81375	2.23953	0.14346	0.99362	0.7644	1.21593	0.4016	0.16658	0.57112	1.49395	0.15424	0.41837	0.5506	1.40562	21.58154	1.09864	0.99139	1.08913	0.11765	1.08247	0.36263	0.60221	2.64387	1.55385	1.61713	1.02583	0.93847	1.1624	0.09437	2.36241	1.25087	0.25603	0.85768	0.50494	2.51289	0.9865	0.27042	0.59084	0.23151	1.16098	0.83749	0.26256	3.20833	0.49231	5.48896	2.20436	0.64442	0.65858	3.8133	2.1166	2.08594	0.30879	1.22264	1.5149	1.45319	2.04708	1.48258	1.11116	4.5882	0.46788	0.24116
k__Bacteria|p__Verrucomicrobia	0.29359	0.0375	1.59425	0.0	0.00723	0.0092	2.27777	0.19301	0.0	0.00079	0.04971	1.03582	1.69581	0.00198	4.38256	7.64999	1.15291	0.29248	1.69534	0.48295	0.17287	1.45853	0.2984	0.04013	0.0	0.20318	0.00049	0.43406	1.08496	0.91461	1.46465	1.32003	1.6635	0.4913	0.00079	0.00723	0.59459	0.0204	0.02301	0.0	0.00549	1.6673	0.00768	0.0	0.91519	0.1242	0.00061	0.0	0.07253	0.14792	1.49937	0.0	0.00027	0.0	0.02779	0.43363	2.39808	1.24195	0.11147	0.00733	0.06662	7.51065	0.0	2.23487	0.00809	0.04563	0.06565	7e-05	2.09627	29.17864	3.84309	5.70963	0.12389	0.0	0.05793	2.07453	0.00041	2.36825	0.70252	0.02405	0.0	0.0	0.03933	0.21268	0.07303	0.05702	0.00022	0.0	1.15841	0.30341	1.89942	2.70324	1.35035	2.50641	0.74029	0.04632	1.67039	0.00144	0.17348	1.05744	2.82808	0.47856	0.9553	0.0	0.0	2.15326	0.26325	0.00029	0.23512	0.0
k__Archaea|p__Euryarchaeota	0.0	0.01684	0.0	0.00442	0.0	0.00068	3.73334	0.00021	0.0	0.06768	0.00071	0.19169	0.11599	0.0	0.0	1.28626	0.0	0.0	0.08795	0.0	0.08309	0.20465	0.00654	0.0	0.0	0.74372	0.0	6.79614	0.0	0.0	0.0	0.0	0.0	0.02656	0.0	0.0	0.0	0.00173	0.17388	0.0	0.0	0.01407	0.07519	0.0	0.18219	0.00764	0.41779	0.0	0.0	0.09444	0.00095	0.0	0.0	0.0	0.0	0.06707	0.0	0.00069	0.51492	0.01507	0.08479	0.0	0.0	0.0	0.00529	0.10453	0.0	0.00528	0.0	0.1959	0.00368	0.44374	0.0	0.00306	0.00201	0.52337	0.0	0.0	4.49696	0.0	0.00036	0.02202	0.08816	0.0	0.62677	0.06878	5e-05	0.0	0.0116	0.00186	0.0	0.00014	0.0	0.50351	0.14928	0.00097	0.0	0.0	0.0	0.10616	0.60072	0.09097	0.30954	0.0	0.0	0.0	0.14908	0.0	0.66478	0.0
k__Bacteria|p__Proteobacteria	1.05964	1.90221	2.8705	4.81299	1.0872	1.23772	1.51087	1.54762	1.79974	2.77784	2.01417	5.70779	2.70186	0.50179	0.89304	0.70382	1.07419	1.79937	2.90974	1.0972	1.55422	2.08519	9.76135	0.71565	0.67308	0.68119	3.7558	1.32244	5.35185	8.89518	20.67455	3.72575	1.11425	2.10242	0.97172	0.85506	0.70557	2.20953	8.95803	0.76818	0.79279	2.99598	1.13444	35.78175	1.4539	1.52885	2.00979	1.15131	1.31577	1.97731	1.28279	0.61376	0.73563	1.77534	5.04283	0.68292	4.56923	1.34589	1.55235	10.10754	3.78461	1.4335	0.27982	0.69663	11.13486	1.64465	0.73947	1.05273	2.9553	1.29161	0.81105	0.96827	0.49629	1.79777	1.19117	2.52861	1.18675	0.96648	2.09693	2.81632	1.41104	3.82813	1.14308	0.02344	3.58776	7.18741	3.28958	0.97427	1.09851	4.83011	1.8178	1.62121	1.04893	1.76282	1.39643	1.08123	2.71565	0.58589	0.44079	1.23348	2.49599	2.89106	1.09437	0.4402	2.83626	2.42976	3.68636	1.46702	0.08897	0.13676
k__Archaea|p__Crenarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.90284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Melainabacteria	0.0	1.27373	4.44737	0.01916	0.0	0.0	0.0	2.6623	0.0	0.46627	0.0	0.00579	2.36059	5e-05	0.3927	0.01331	0.06465	0.81902	0.25551	4.34182	0.0	0.39056	0.07885	0.0	0.0	0.88532	0.48909	0.35537	0.00012	0.00101	0.0	0.0	7e-05	0.60503	0.0	0.0	0.00141	0.0	1.60662	0.0	0.00048	0.07021	0.0	0.0	0.33712	0.0	0.0	0.0	0.0	0.57095	0.0	0.0	0.12629	0.0	0.0	0.0	0.0	0.0	0.0	1.98345	1.19058	0.00186	0.01269	0.00723	0.00064	0.63046	0.16478	0.0	0.00095	1.85389	0.0	0.0	0.0	0.00359	0.0	0.2116	0.0	2.09807	0.00264	0.0	0.0	0.0	0.18627	0.0	0.60862	0.80545	0.04335	0.0	0.0	0.02025	0.00206	0.01945	0.0	0.16306	0.80722	0.003	0.0	0.0	0.00023	0.0	1.13312	0.0	2.95145	1.28451	0.0	0.0	7e-05	0.43195	0.0	0.0
k__Bacteria|p__Lentisphaerae	0.0	0.01505	0.00315	0.11625	0.0	0.0495	0.32957	0.0	0.0	0.0	0.11029	0.63057	0.0	0.0	0.0	0.3546	0.0	0.00216	0.3198	0.15609	0.00627	0.32212	0.0217	0.0	0.0	0.04701	0.0	0.60797	0.0	0.0	0.0	0.01237	0.0	0.05979	0.0	0.0	0.0	0.45595	0.06105	0.0	0.0	0.23003	0.22116	0.0	0.38693	0.05132	0.09222	0.13445	0.0	0.05664	0.11398	0.0	0.0	0.0	0.0	0.04987	0.0	0.0	0.06999	0.14593	0.19408	0.0	0.0	0.07644	0.22209	0.00813	0.0214	0.07645	0.01298	0.01049	0.0	0.00033	0.04871	0.0043	0.10869	0.06872	0.0	0.0	0.0	0.0	0.0079	0.0	0.01969	0.0	0.29532	0.16908	0.10606	0.0	0.0	0.86313	0.0	0.0	0.0	0.40673	0.64849	0.0	0.05757	0.01604	0.0	0.06448	0.05212	0.0	0.27481	0.02896	0.0	0.01708	0.0	0.0	0.03201	0.0
k__Bacteria|p__Candidatus_Saccharibacteria	0.00278	0.00657	0.0	0.0	0.01639	8e-05	0.00307	0.0	0.01366	0.01153	0.02452	0.0	0.00203	0.01851	0.0062	0.0	0.00318	0.00256	0.02857	0.0	0.0	0.00172	0.01503	0.0	0.01257	0.0032	0.00096	0.00329	0.00075	0.01493	0.0	0.00143	0.00821	0.0	0.01189	0.0	0.00056	0.00389	0.05062	0.01021	0.01226	0.0	0.00956	0.67445	0.0	0.00989	0.00589	0.0081	0.00174	0.01029	0.00033	0.00986	0.00065	0.04186	0.05298	0.00054	0.00124	0.0	0.02794	0.0	0.02277	0.00328	0.00012	0.00298	0.00736	0.01035	0.00237	0.0	0.00126	0.00233	0.0	0.02842	0.00093	2e-05	0.00035	0.0	0.01914	0.00444	0.0	0.01165	0.01397	0.0	0.00962	5e-05	0.01172	0.00992	0.00118	0.01791	0.0	0.0	0.00531	0.0223	0.00865	0.01819	0.00072	0.00349	0.00605	0.0018	0.00024	0.0	0.00879	0.01516	0.0	0.01661	0.04184	0.00872	0.01242	0.00077	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia	53.77932	55.24276	61.88605	46.34408	58.73498	58.54065	65.70803	49.16539	27.58571	46.4783	43.28955	57.24277	67.41594	42.62896	54.21919	61.8846	63.56236	23.04786	63.08815	57.71385	31.25283	53.64722	31.95296	69.29346	66.60847	61.1076	50.04457	58.08152	41.98154	30.77661	42.32076	41.60524	29.7807	50.92179	65.59948	41.85866	16.84788	55.61687	53.72867	39.86239	68.72541	78.4832	62.9215	3.46656	54.01644	43.02204	51.21088	47.91433	39.49845	59.81337	23.92409	38.24792	41.64722	57.928044068980064	44.45374	60.55872	31.45501	30.11618	35.55041	58.85576	59.44429	65.22598	71.27081	48.43257	40.1663	65.84749	39.44095	30.29051	41.84093	32.8437	44.98419	39.91616	71.03303	57.63054	64.59369	68.45863	58.57335	49.78558	50.65135	37.2472	34.3881	24.17476	62.46717	42.13917	61.11626	44.76433	60.12048	25.8108	46.02823	70.31831	59.78814	49.77802	40.80147	58.59351	57.03233	56.84727	29.66184	23.23434	52.2305	59.45794	52.78359	64.53592	62.14969	67.24308	20.9107	48.44677	38.57481	57.26511	62.15706	48.34044
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	28.32509	37.29215	24.11405	44.55394	36.60252	33.81906	18.56854	32.9059	63.53737	42.20801	49.28294	27.00016	19.51687	50.07516	36.24802	22.86171	30.31792	52.0004	23.83444	26.08849	62.68049	35.59052	51.30349	21.71675	27.75128	24.86233	36.63041	19.16159	43.03166	56.7257	31.66605	44.44169	58.94753	40.05637	25.48269	45.26027	77.69368	34.11889	30.48711	54.3194	26.875	10.19743	29.95597	0.46687	36.30696	51.50689	38.36379	41.74155	52.79033	25.86111	60.05449	57.72206	51.99857	34.060378514636284	46.36569	28.57478	54.85696	60.17957	50.85532	25.37157	26.65742	20.52485	23.83575	20.32144	42.00792	26.27744	47.68942	63.45343	44.69555	32.98431	38.90542	35.98103	17.50822	35.92084	23.05942	18.51507	35.82304	42.82739	36.86669	52.08189	56.76119	66.52899	26.81235	48.32144	20.47348	41.27322	32.90854	61.20252	46.91077	17.03628	31.29074	35.30882	52.69431	15.27393	28.90438	34.69804	62.02016	62.95441	41.27488	32.5194	30.6373	22.50354	19.94863	20.3181	66.80513	29.58523	53.55898	26.62931	27.64282	47.91572
k__Bacteria|p__Firmicutes|c__Bacilli	9.69102	0.48587	0.21605	0.13602	0.20539	0.52144	0.59074	6.28767	2.17626	0.40378	0.70189	1.11956	2.07232	0.45333	0.30408	0.063	1.1449	0.04042	2.51874	2.53728	0.24463	2.75498	2.93961	0.05941	0.09427	8.2719	0.15297	9.71452	0.27321	0.02816	0.32276	0.23355	0.04277	0.29286	0.14847	0.35071	0.03823	4.07873	0.58864	0.02456	0.31958	0.1126	1.37667	50.17853	0.91642	0.24741	2.15728	0.18553	0.17155	6.45757	0.67851	0.04269	0.09064	0.5232495989820678	1.25502	3.28428	0.67487	0.1042	4.53426	0.15211	3.04378	0.15597	0.01367	2.17022	0.04738	1.26941	0.10357	0.06634	0.22342	0.06076	0.08107	0.58978	3.81961	0.09449	1.59988	0.07423	0.14526	0.01827	0.42787	1.19346	0.905	0.13339	3.58645	0.38201	6.50198	0.02064	0.11963	0.26646	0.25442	0.38025	0.86122	1.47683	0.01313	10.98337	1.70225	0.1573	0.02804	0.40603	0.04181	0.42764	5.78235	5.79176	8.01008	1.23724	2.28646	10.70036	0.4156	0.03471	0.67586	0.01698
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.00674	0.01727	0.48733	0.08371	0.44927	0.0226	0.04746	2.04906	0.029	0.0113	0.37449	0.0186	0.04379	0.03658	0.05412	0.83775	0.13032	0.03715	0.04163	0.43797	0.1799	0.07755	0.03651	3.60974	0.83147	0.08876	0.0147	0.33875	1.54659	0.00711	0.3776	0.0324	0.0441	0.51811	0.02358	2.0576	0.24575	0.13885	0.03792	0.33204	0.58817	0.06884	0.57261	0.96382	0.0	0.08527	1.00225	3.86849	0.19724	0.02416	0.25819	0.00797	0.00186	0.0825334039486295	0.172	0.10765	0.0	0.01378	0.80221	0.01205	0.04054	0.06438	0.0501	17.57017	0.79742	0.03195	0.37039	0.0	0.03995	0.02636	0.01023	1.23808	1.08873	0.01391	0.50058	0.05154	0.13116	0.01541	0.12716	1.0161	0.04676	0.01695	0.03445	1.12279	0.09421	0.00365	0.0653	0.04571	0.03968	0.02005	0.04847	2.38304	0.00574	4.32799	1.87913	0.01455	0.42942	3.72911	0.04792	1.7925	0.0096	0.88857	0.78833	0.61623	1.1961	0.62444	0.33757	3.10173	0.01401	0.00265
k__Bacteria|p__Firmicutes|c__CFGB1340	0.4835	0.0	0.0	0.94079	0.0	0.0	0.0	0.0	0.0	7e-05	0.0	0.55598	0.0	0.0	7e-05	0.0	0.0	9e-05	0.0	0.0	0.0	2e-05	0.37162	0.22221	0.00021	0.0	2.57444	0.0	0.0	3e-05	0.0	0.0	0.0	0.00025	0.0	0.0	0.00198	0.0	0.0	0.0	0.0	0.00023	0.07555	0.00211	0.4811	0.0	0.72219	0.00012	0.26851	0.0	0.0	0.0	0.0	0.0	0.12388	1.0584	0.0	0.44289	0.00605	0.00306	0.0	0.0	1.42573	0.0	0.4196	0.0	0.00011	0.00166	0.0	0.0	0.0	0.0	0.0	0.02265	0.0	0.80201	0.0	0.00033	0.0	0.01347	0.0	0.0	0.78772	0.0	0.53277	0.0	0.0	0.0	0.0	1.74762	0.0	0.01143	0.0	0.0	0.0	0.66022	0.0	0.0	1.74288	0.0	0.0	0.0	0.00121	0.0	0.00038	0.00038	0.0	2.77346	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.40835	0.38678	0.59611	0.4128	0.29462	0.34214	0.57182	1.22397	0.55071	0.38533	0.71434	0.51697	0.41958	0.59798	0.4064	0.76519	0.10815	0.62208	0.419	0.55163	0.44685	0.41742	0.19239	0.47685	0.54492	0.47837	1.33	0.20735	1.54583	0.12318	0.36546	1.01868	0.61183	0.81675	1.60906	0.82068	0.37272	0.7271	0.25329	0.11738	0.54266	0.73448	0.52035	0.35982	0.32047	1.21261	0.81295	0.19155	1.19352	0.76677	1.98133	0.13549	0.99175	0.693463323952138	1.04393	0.29174	0.16658	0.55734	0.64135	0.14078	0.37745	0.48621	1.35552	4.01138	0.30062	0.95687	0.71874	0.11765	1.04252	0.33007	0.59198	1.40579	0.46512	1.59183	0.52526	0.88693	1.03124	0.07896	2.23525	0.23477	0.20927	0.84063	0.46757	1.3901	0.89077	0.2643	0.52554	0.1858	1.1213	0.73848	0.21409	0.82529	0.4817	1.16011	0.32522	0.62987	0.22917	0.08419	2.06868	0.28836	0.29788	0.33407	0.39181	0.83069	0.85099	0.85814	0.77359	1.48647	0.45387	0.23852
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.29359	0.0375	1.59425	0.0	0.00723	0.0092	2.27777	0.19301	0.0	0.00079	0.00095	0.89605	1.69581	0.00198	4.38256	7.64999	1.15291	0.29248	1.65601	0.48295	0.14991	0.43556	0.2984	0.04013	0.0	0.20318	0.0	0.43406	1.08496	0.91461	1.46465	1.32003	1.6635	0.4913	0.00054	0.00723	0.59459	0.0204	0.02301	0.0	0.00549	1.59767	0.00768	0.0	0.91519	0.1242	0.00034	0.0	0.07197	0.06645	1.49937	0.0	0.00027	0.0	0.02772	0.43363	2.39808	1.24195	0.11147	0.00733	0.06662	7.51065	0.0	2.14281	0.00809	0.04563	0.06565	7e-05	2.09627	1.39682	3.84309	5.70963	6e-05	0.0	0.05793	2.07453	0.00041	2.36825	0.70252	0.02405	0.0	0.0	0.03933	0.21268	0.05185	0.05702	0.0	0.0	1.15841	0.20643	1.89926	2.70324	1.35035	1.88018	0.0	0.04632	1.67039	0.00144	0.17348	0.69109	2.82808	0.47856	0.9553	0.0	0.0	2.15326	0.26325	0.00029	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.0	0.01684	0.0	0.00442	0.0	0.00068	3.73334	0.00021	0.0	0.06768	0.00071	0.19169	0.11599	0.0	0.0	1.28626	0.0	0.0	0.08795	0.0	0.08309	0.20465	0.00654	0.0	0.0	0.74372	0.0	0.01412	0.0	0.0	0.0	0.0	0.0	0.02656	0.0	0.0	0.0	0.00173	0.17388	0.0	0.0	0.01407	0.07519	0.0	0.18219	0.00653	0.41779	0.0	0.0	0.09444	0.0	0.0	0.0	0.0	0.0	0.06707	0.0	0.00069	0.02341	0.01507	0.08479	0.0	0.0	0.0	0.00529	0.10453	0.0	0.00528	0.0	0.1959	0.00368	0.44312	0.0	0.00306	0.00201	0.52337	0.0	0.0	4.49696	0.0	0.00036	0.00081	0.08816	0.0	0.62677	0.06878	5e-05	0.0	0.0116	0.00186	0.0	0.00014	0.0	0.50351	0.14928	0.00097	0.0	0.0	0.0	0.10616	0.60072	0.09097	0.30954	0.0	0.0	0.0	0.14908	0.0	0.66478	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes	0.31325	1.41187	1.44796	1.05051	1.56558	1.05776	0.80232	2.66503	3.19634	2.1165	1.71225	0.64869	1.71982	4.70365	0.85158	2.73224	0.7538	1.99534	1.68897	2.00628	2.15197	0.32836	2.48394	2.56986	0.7317	1.15545	3.33544	1.68064	2.93538	1.79333	2.04832	1.45207	2.36221	3.30017	2.107	0.30191	1.53858	1.89348	1.47566	2.60435	1.14393	0.84464	0.6054	3.74218	0.96719	1.53225	1.88839	3.19397	1.19657	1.8029	9.58405	1.83009	0.98579	2.244654794647653	0.87788	3.16172	4.01659	1.93929	3.46063	1.12294	2.67411	3.26983	1.09378	1.44679	2.44447	1.10126	7.89334	0.6219	1.72355	0.25339	2.21926	9.46792	1.34111	2.02221	2.91703	1.00408	2.15984	1.09808	0.12591	3.55322	1.56676	2.50296	1.41124	4.31749	1.12234	1.41216	1.1682	5.05548	0.61861	1.93504	3.09986	4.12063	2.39567	2.02921	0.83085	2.41529	2.34818	0.4277	1.03195	1.16916	1.77736	1.74223	1.11703	6.80979	4.45935	4.63998	0.95356	0.85901	0.08779	1.98665
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.9105	0.39835	0.67889	0.78173	0.782	1.44234	2.52	0.17898	0.09263	0.81005	0.74364	2.54484	0.42998	0.83551	1.5436	0.20811	0.88514	0.31948	0.78861	0.20555	0.77033	0.91449	0.1512	1.19126	1.0013	0.76208	1.31332	0.0605	2.02984	0.61968	0.22264	0.72684	1.22603	0.62216	2.68882	6.29969	1.62996	0.12616	0.42396	1.7218	0.74526	0.24543	0.75967	4.15589	0.60896	0.30441	0.48221	0.74708	1.96427	0.9703	0.28374	1.14581	1.7532	3.7808521893736566	0.46031	0.33438	1.23047	3.32887	0.65886	0.09712	0.46328	1.23789	0.1001	2.59966	1.45777	0.73246	2.33906	3.5771	1.01272	0.09882	4.6254	2.48539	2.69348	0.02406	0.6173	1.20183	0.73756	0.31362	1.76065	1.35071	1.79157	0.43951	1.80171	1.39823	0.79384	1.49319	0.36186	6.44105	1.55908	0.03352	0.72004	0.80193	1.07868	1.02199	0.90793	2.89296	0.42727	7.00574	0.49378	0.39601	0.57896	0.21368	0.23715	0.39889	0.56109	0.28796	0.2741	0.13304	4.18447	0.71753
