clade_name	SID31004	SID31009	SID31021	SID31030	SID31071	SID31112	SID31129	SID31137	SID31159	SID31160	SID31188	SID31219	SID31223	SID31233	SID31236	SID31237	SID31256	SID31267	SID31275	SID31276	SID31282	SID31285	SID31300	SID31328	SID31333	SID31337	SID31343	SID31360	SID31367	SID31379	SID31398	SID31416	SID31424	SID31428	SID31431	SID31446	SID31449	SID31450	SID31452	SID31455	SID31477	SID31489	SID31493	SID31501	SID31512	SID31519	SID31537	SID31549	SID31557	SID31582	SID31637	SID31685	SID31700	SID31705	SID31711	SID31714	SID31723	SID31749	SID31750	SID31766	SID31865	SID31866	SID31868	SID31870	SID31871	SID31872	SID31873	SID31874	SID31875	SID31876	SID31877	SID31878	SID31879	SID31880	SID31881	SID31883	SID31884	SID530002	SID530018	SID530026	SID530028	SID530039	SID530041	SID530050	SID530052	SID530054	SID530055	SID530074	SID530075	SID530119	SID530142	SID530154	SID530163	SID530167	SID530168	SID530172	SID530177	SID530185	SID530215	SID530227	SID530251	SID530258	SID530262	SID530295	SID530297	SID530315	SID530323	SID530331	SID530348	SID530364	SID530368	SID530373	SID530394	SID530398	SID530403	SID530444	SID530450	SID530451	SID530558	SID530600	SID530623	SID530697	SID530705	SID530743	SID530756	SID530840	SID530867	SID530890	SID531128	SID531155	SID531248	SID531274	SID531277	SID531281	SID531333	SID531352	SID531361	SID531382	SID531403	SID531414	SID531416	SID531424	SID531469	SID531663	SID531766	SID531775	SID532305	SID532749	SID532779	SID532796	SID532802	SID532826	SID532832	SID532915
k__Bacteria	100.0	99.44199	99.99992	100.0	100.0	99.97907	100.0	99.9995	99.99007	99.64021	99.90687	99.76159	96.77524	99.9968	99.99677	100.0	99.99822	100.0	99.17407	97.88053	100.0	96.96534	99.69398	100.0	99.7259	100.0	100.0	100.0	99.94111	100.0	99.99985	100.0	99.99356	100.0	97.70087	99.9964	100.0	100.0	98.19596	100.0	99.98721	96.79285	99.96474	100.0	100.0	99.92993	100.0	99.37657	100.0	98.90509	99.99835	85.44903	99.37948	99.99613	100.0	99.99909	99.99407	97.15555	100.0	99.99694	99.99426	95.19508	99.29007	99.97417	99.99882	99.9973	97.74582	99.65302	100.0	100.0	99.9862	100.0	99.04894	99.78932	99.99785	99.93631	95.65256	99.99445	100.0	98.58975	99.75301	99.9997	84.361	99.97402	100.0	98.353	97.99107	99.99985	99.88271	99.99957	99.99911	99.99699	100.0	100.0	99.99472	100.0	100.0	98.05733	97.24774	100.0	100.0	100.0	100.0	97.43664	98.0907	99.99735	99.96644	99.89428	99.91308	100.0	99.99969	94.33114	100.0	99.9934	99.9877	100.0	98.28243	99.56179	99.99701	95.3593	98.73454	99.94259	100.0	99.89196	99.99992	96.55974	99.71995	99.97816	98.89874	99.97713	99.88768	99.93745	99.92132	99.99488	99.99675	93.96151	99.99049	99.24677	99.99887	100.0	99.99971	99.97817	100.0	98.86667	99.99962	99.9992	100.0	99.99898	99.9999	100.0	99.73694	100.0	100.0	96.40526
k__Archaea	0.0	0.55801	8e-05	0.0	0.0	0.0	0.0	0.0	0.00993	0.35979	0.09255	0.23814	3.20937	0.00024	0.0	0.0	0.0	0.0	0.82492	2.11947	0.0	3.03466	0.30569	0.0	0.26667	0.0	0.0	0.0	0.05273	0.0	0.00015	0.0	0.0	0.0	2.29913	0.0036	0.0	0.0	1.80377	0.0	0.01279	3.20715	0.03526	0.0	0.0	0.06932	0.0	0.62343	0.0	1.09491	0.00165	14.55042	0.61884	0.0	0.0	0.0	0.00593	2.84277	0.0	0.00306	0.00574	4.80492	0.39313	0.02583	0.0	0.0027	2.25418	0.34626	0.0	0.0	0.0138	0.0	0.95106	0.21068	0.00215	0.06369	4.34744	0.0	0.0	1.41025	0.24699	0.0	15.639	0.0	0.0	1.64257	2.00893	0.00015	0.11729	0.00043	0.00041	0.0	0.0	0.0	0.00528	0.0	0.0	1.94267	2.75226	0.0	0.0	0.0	0.0	2.56336	1.9093	0.00265	0.01589	0.10572	0.08467	0.0	0.00031	5.66753	0.0	0.0066	0.00033	0.0	1.71757	0.43821	0.00299	4.6407	1.26546	0.05741	0.0	0.00548	8e-05	3.44026	0.28005	0.02184	1.10126	0.0084	0.11232	0.0431	0.07868	0.00047	0.00325	6.03849	0.00951	0.75323	0.00113	0.0	0.00029	0.0	0.0	1.13333	0.00038	0.0	0.0	0.00102	0.0001	0.0	0.26306	0.0	0.0	3.59474
k__Bacteria|p__Firmicutes	82.86883	89.19772	80.38014	73.32826	87.2495	66.79414	69.50635	80.06201	44.81803	90.00083	88.86145	85.14822	70.20217	90.86779	85.43628	80.77099	78.52264	89.11131	82.65598	91.77529	88.06996	75.74443	84.78488	87.52971	76.47562	93.29012	34.31567	77.18593	31.23453	90.13973	93.04095	85.94305	86.27566	90.24206	77.79256	58.61158	89.11546	37.3759	90.23105	77.24934	82.735	88.13302	65.50568	90.86921	79.91929	84.40989	81.78893	87.87967	42.0689	79.48295	66.95169	77.15957	82.03987	55.38389	96.13443	48.62049	92.54858	74.33759	85.83972	95.28777	88.30285	63.15118	55.44695	75.46452	81.31344	71.28194	67.55475	61.04978	80.10945	47.77247	51.19263	67.57051	40.42767	59.8446	89.38619	37.48379	52.5613	93.8199	67.33676	54.56978	76.32325	92.29857	58.08863	76.66078	65.28827	52.51576	83.79873	36.46889	55.5133	63.08708	92.50277	86.0547	88.71002	86.09196	90.2944	92.01957	89.83817	76.44178	64.53373	85.09309	96.88621	80.70477	76.63015	81.07108	81.15271	67.30214	73.30617	82.01531	42.57767	70.7746	69.18291	72.14995	70.60162	86.40117	88.12425	83.22775	67.69452	76.16265	76.51022	74.19973	67.64974	76.6565	70.67462	73.84006	47.37822	48.5627	78.41196	80.26855	65.8201	91.80463	47.03692	6.99526	63.53075	72.21164	81.42928	61.77939	39.24324	23.31184	78.42942	82.5567	73.81999	7.61807	81.15261	73.90094	44.16809	93.57261	55.32824	82.08012	78.76643	71.45951	82.55208	93.74882	84.197	72.23131
k__Bacteria|p__Bacteroidetes	12.84027	5.61301	3.49954	3.5624	0.8367	0.87997	0.13374	0.7884	1.18938	2.60975	6.45148	1.54996	15.81738	0.44429	4.87878	0.93064	0.3249	1.59446	9.79518	1.74096	4.25021	17.23296	9.56416	6.77607	3.96458	0.39798	10.44412	11.70074	3.44929	3.15357	4.11174	0.27906	0.28665	1.91187	7.08103	30.29601	3.47988	31.50107	2.0314	6.29751	0.75842	2.00592	1.85144	3.92045	0.31774	4.67813	0.60862	2.00402	0.13687	0.28937	0.16992	1.59488	6.98789	0.05563	0.02927	0.59691	2.06932	3.99996	4.39835	0.64756	1.18871	7.13129	29.43622	0.38336	0.51216	7.17045	8.74659	34.6499	13.8392	32.76503	45.55229	24.59884	2.43033	36.23882	4.27655	53.96096	8.96386	0.09139	0.01233	2.37261	18.71038	2.02359	3.90595	15.55305	0.0934	8.19065	3.9134	0.2963	3.94898	5.42547	2.63765	0.05572	0.84854	4.73091	5.50753	0.06609	0.79318	17.14136	1.11846	4.31965	0.03634	1.79003	3.86409	9.67147	1.69903	1.39213	0.43969	14.18981	0.03945	5.97823	0.93554	8.92501	23.27169	0.82606	0.08591	0.53437	5.94193	18.91722	13.93782	13.75171	25.62538	11.91136	25.79535	17.22292	37.93649	9.9701	17.96029	13.80642	22.89538	1.98487	50.83238	1.35671	28.66409	1.20709	1.95611	22.16938	60.00897	73.38808	15.23918	9.22135	10.83236	88.87604	16.69855	20.15258	52.35925	2.79752	41.86453	5.18471	19.70378	21.92459	12.88598	0.79055	12.3593	16.41548
k__Bacteria|p__Actinobacteria	3.95918	4.2799	9.36404	1.44676	11.52727	32.0461	29.90125	16.70065	36.07104	6.14732	3.1715	8.11014	2.81499	8.59436	9.3887	18.234	20.55415	5.97132	2.4539	2.5791	6.89251	2.38469	4.51543	4.83973	18.8436	0.62813	51.95241	8.73381	2.98968	5.99692	2.02159	13.03631	13.1181	0.68822	8.28227	1.14773	6.90474	12.77087	3.87334	13.47934	16.17433	6.47845	9.35627	3.5086	19.43286	2.35631	10.89673	9.04858	57.53771	19.07471	12.94492	5.11362	7.50198	2.76484	3.20868	41.3826	4.97654	16.56462	7.82009	3.90871	10.05032	2.67341	2.47936	23.68517	17.64255	17.26567	10.22455	2.99348	3.90316	5.24721	1.22041	2.31638	38.75839	2.3098	4.45396	1.06126	22.65054	5.80396	32.63446	40.84661	3.55511	5.55779	8.44926	6.1335	32.99247	35.53992	9.14769	62.73043	5.63402	31.0807	4.49506	13.23221	10.26084	1.6735	3.26565	5.84424	6.76732	2.32473	30.67834	2.02466	2.14546	14.91877	15.20908	5.80792	14.11042	22.64328	21.46843	1.50377	56.94076	16.63357	25.20905	5.31879	0.98727	11.30946	6.46995	16.03851	21.72004	2.04654	2.35592	6.41904	3.82469	5.82943	1.58777	0.79414	1.47936	3.15965	1.37684	5.05797	8.62189	4.53007	1.3598	0.37714	5.38652	13.38925	1.45086	8.09272	0.25338	1.1139	0.0207	5.54714	10.89557	3.43489	0.35601	1.9226	2.09303	1.87787	0.3889	10.09931	0.90544	2.5518	3.96754	4.81925	3.3166	6.85682
k__Bacteria|p__Verrucomicrobia	0.00038	0.0131	6.54244	21.57915	0.0817	0.0	0.00528	2.37515	0.02505	0.0	0.04047	0.03747	7.52777	0.0	0.00917	0.0	0.52778	2.50677	1.97261	1.51226	0.4107	1.41062	0.04436	0.60502	0.00791	0.00068	0.0	1.81507	0.42277	0.0	0.32163	0.52284	0.00154	7.13151	2.36807	0.00952	0.26568	0.036	1.54396	0.01169	0.08636	0.06991	0.15264	0.0	0.21691	8.07607	6.58252	0.00811	0.0	0.02147	0.00027	1.07671	0.0	0.0	0.02246	0.0	0.00385	0.32066	0.70709	0.13131	0.01221	21.46357	1.672	0.00086	0.32355	3.98393	10.68117	0.05092	0.76765	1.07458	0.01325	3.61621	0.01677	0.06923	0.88005	0.01228	8.2651	0.23382	0.00073	0.01292	0.35794	0.00364	13.163	0.8382	1.45371	1.12985	0.14281	0.47229	0.09708	0.00893	0.00087	0.0	0.0901	4.88457	0.53937	2.03767	2.29528	0.00057	0.6875	8.4663	0.0	2.51714	2.21653	0.0317	1.01843	0.0065	0.00751	0.2427	0.06974	5.19972	4.66303	6.70367	3.23937	1.27884	0.02695	0.0	2.37879	0.0	6.49971	0.39491	0.45335	5.20928	0.0299	5.60086	0.00356	0.63384	0.31268	0.17734	0.67587	0.21541	0.28299	0.00995	0.78525	0.05176	14.31047	0.00405	0.02439	0.8425	0.0	1.38589	2.95298	0.00233	0.00299	2.12939	0.17888	0.0063	0.0	2.34096	0.08297	3.25337	0.00361	0.0	0.0	0.10309
k__Archaea|p__Euryarchaeota	0.0	0.55801	8e-05	0.0	0.0	0.0	0.0	0.0	0.00993	0.31471	0.08091	0.23814	3.12431	0.00024	0.0	0.0	0.0	0.0	0.82492	2.11947	0.0	3.0286	0.30569	0.0	0.26667	0.0	0.0	0.0	0.05273	0.0	0.00015	0.0	0.0	0.0	2.29913	0.0036	0.0	0.0	1.80377	0.0	0.01279	3.20715	0.03526	0.0	0.0	0.06932	0.0	0.62343	0.0	1.09491	0.00165	14.55042	0.60909	0.0	0.0	0.0	0.00593	2.84277	0.0	0.00306	0.00574	4.80492	0.39313	0.02583	0.0	0.0027	2.25418	0.34626	0.0	0.0	0.0138	0.0	0.95106	0.21068	0.00215	0.06369	4.34744	0.0	0.0	1.41025	0.24699	0.0	15.639	0.0	0.0	1.64257	2.00307	0.00015	0.06158	0.00043	0.00041	0.0	0.0	0.0	0.00528	0.0	0.0	1.91419	2.75226	0.0	0.0	0.0	0.0	2.55049	1.9093	0.00265	0.01589	0.10572	0.08467	0.0	0.00031	5.66753	0.0	0.0066	0.00033	0.0	1.71757	0.43821	0.00299	4.6407	1.26546	0.05741	0.0	0.00548	8e-05	3.44026	0.28005	0.02184	1.10126	0.0084	0.11232	0.0431	0.07868	0.00047	0.00325	6.03849	0.00951	0.75323	0.00113	0.0	0.00029	0.0	0.0	1.13333	0.00038	0.0	0.0	0.00102	0.0001	0.0	0.26306	0.0	0.0	3.59474
k__Bacteria|p__Proteobacteria	0.32919	0.33758	0.11181	0.07792	0.26354	0.14739	0.43692	0.03965	17.69631	0.52054	0.63719	4.90005	0.34211	0.01147	0.27526	0.00311	0.00991	0.76836	2.15349	0.27291	0.3755	0.17959	0.59962	0.18242	0.4319	5.68308	3.2878	0.53934	61.80113	0.25914	0.30839	0.0794	0.29936	0.02391	1.84177	9.90083	0.12192	18.27324	0.47034	2.95865	0.19871	0.03038	23.01112	1.45128	0.00769	0.207	0.05937	0.32124	0.19467	0.03398	19.92254	0.46969	2.81578	41.75396	0.59549	9.38977	0.38489	1.85938	0.71478	0.01232	0.12444	0.67911	10.18017	0.31564	0.17372	0.28513	0.38944	0.47666	0.83114	13.08663	1.73599	1.60136	17.35519	1.20156	0.53041	7.13738	3.19601	0.00334	0.00056	0.77295	0.68798	0.04949	0.68633	0.75505	0.13669	0.9325	0.92889	0.00725	34.63774	0.04784	0.09785	0.62854	0.08844	2.59345	0.3677	0.00021	0.24464	2.14888	0.17154	0.02665	0.88224	0.02933	1.03172	0.55764	0.05452	8.59574	4.66269	0.73992	0.05449	1.11159	0.00917	0.76632	1.89559	0.15954	5.24716	0.18812	0.05069	2.42545	0.40108	0.55165	1.05049	0.1817	1.85811	2.29991	13.14416	34.20385	1.4428	0.66054	0.81932	1.38394	0.32762	91.14377	1.52352	13.1319	0.82729	1.4841	0.43906	0.58711	5.41	0.94033	1.20969	0.04255	1.73542	0.65745	1.19252	1.73819	2.40679	0.2891	0.43628	0.74556	0.28712	0.36463	0.09963	0.61565
k__Archaea|p__Crenarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Melainabacteria	0.0	0.0	0.02724	0.0	0.0	0.0	0.0	0.0	0.0	0.05697	0.0	0.0	0.00502	0.07443	0.0	0.0	0.0	0.00281	0.00455	0.0	0.0	0.0	0.17007	0.02151	0.0	0.0	0.0	0.0	0.00081	0.43403	0.06493	0.09845	0.0	0.0	0.0	0.0	0.0	0.0	0.0362	0.0	0.0	0.0	0.00323	0.0	0.09987	0.08356	0.01156	0.02008	0.0	0.0	0.0	0.01409	0.0	0.0	0.0	0.0	0.0	0.01093	0.02285	0.0	0.08799	0.04131	0.03262	0.0	0.0	0.01018	0.0	0.0	0.22665	0.00571	0.26089	0.0435	0.02465	0.0	0.0	0.00099	0.0	0.04	0.0	0.0	0.03318	0.0	0.0	0.0	0.02285	0.0	0.0181	0.0	0.03082	0.32942	0.07371	0.0	0.0	0.0	0.0	0.0	0.00814	0.0	0.00746	0.06828	0.0	0.0	0.90843	0.07255	0.03626	0.00588	0.05059	0.32139	0.0	0.16012	0.0	0.0	0.00171	0.0	0.0	0.0	0.46436	0.0	0.13254	0.00598	0.06069	0.13918	0.04846	0.12127	0.0	0.00987	0.11248	0.0	0.03146	0.0	0.0	0.0	0.01232	0.00083	0.0	0.42775	0.0	0.0	0.0	0.06631	0.22514	0.0	0.0	0.05005	0.0	0.0	0.0	0.0	0.10498	0.0	0.0	0.0	0.0	0.00637
k__Bacteria|p__Lentisphaerae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004	0.0	0.00081	0.02926	0.0	0.0	0.0	0.0	0.00232	0.0046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00074	0.00347	0.00316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00974	0.00334	0.0	0.0	0.0	0.0	0.00041	0.03903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00103	0.00485	0.0064	0.0	0.0	0.0551	0.0005	0.0	0.02358	0.0	0.01026	0.0	0.0	0.0	0.0	0.0	0.05924	0.02244	0.0	0.0	0.01877	0.0	0.0	0.0	0.0	0.0	0.0	0.0242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00058	0.00404	0.01729	0.0	0.0	0.00054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00992	0.00133	0.0	0.0	0.00598	0.0	0.00633	0.0089	0.0	0.00095	0.0	0.00017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00412
k__Bacteria|p__Candidatus_Saccharibacteria	0.0	0.00068	0.02321	0.00551	0.03107	0.1073	0.01645	0.03365	0.00693	0.0	0.00364	0.00258	0.00208	0.00447	0.00859	0.06126	0.05884	0.04071	0.00423	0.0	0.00112	0.00053	0.01545	0.00123	0.00229	0.0	0.0	0.02511	0.00943	0.01661	0.02468	0.0	0.01154	0.00243	0.00954	0.02844	0.1087	0.04293	0.00614	0.0	0.01554	0.01391	0.0841	0.2108	0.00563	0.05758	0.03322	0.08779	0.06184	0.00261	0.009	0.00796	0.03063	0.01629	0.00967	0.00933	0.01087	0.05875	0.01096	0.00926	0.01822	0.0	0.01747	0.11377	0.02059	0.0	0.00973	0.00182	0.00512	0.01503	0.00527	0.0	0.03545	0.01863	0.01122	0.00576	0.00486	0.00204	0.01516	0.01406	0.0	0.06661	0.00353	0.01099	0.01261	0.02658	0.00891	0.02468	7e-05	0.00812	0.0279	0.02582	0.00206	0.00141	0.00605	0.03223	0.05327	0.0	0.04839	0.00138	0.04976	0.03937	0.07723	0.01328	0.01934	0.05168	0.02956	0.00218	0.23096	0.00082	0.0	0.0	0.00275	0.01833	0.03348	0.01125	0.03211	0.00822	0.00596	0.00851	0.00776	0.01495	0.00338	0.00558	0.05814	0.0134	0.00652	0.0073	0.0	0.0	0.01052	0.05104	0.01887	0.00109	0.02274	0.00319	0.02144	0.0	0.12263	0.0	0.00884	0.00056	0.00185	0.01931	0.00706	0.00671	0.00136	0.00477	0.0	0.04932	0.04062	0.27435	0.02747	0.0
k__Bacteria|p__Firmicutes|c__Clostridia	68.66918	69.9291	75.17958	63.65908	73.85064	59.99506	64.91879	71.48527	38.8248	84.76268	80.02169	69.76653	64.60994	76.66301	82.3274	69.66992	72.94521	74.12595	75.3368	79.91637	80.66948	72.48786	76.16416	81.35797	71.06409	87.71642	13.62091	69.64468	25.32426	73.30358	82.79404	84.08619	79.87509	86.87684	71.08431	49.78144	85.23918	29.5847	77.728	70.15015	63.31925	75.29504	61.98182	82.17159	74.6038	71.93105	70.87746	80.55673	29.94024	67.32801	60.77571	64.61599	74.67745	19.37257	92.98707	46.15211	85.11167	69.98286748269422	75.8532	92.46877	82.98774	53.27149	44.34641	58.67963	71.75552	62.36656	54.15951	53.5071	70.27036	37.64298	48.73652	64.58474	37.41591	37.69457	63.34824	28.22372	47.11782	90.70918	59.53063	43.48053	66.64557	89.41171	54.41906	61.09356	57.94039	49.70044	77.93167	35.00605	51.60125	55.87121	87.91545	76.72586	64.13736	79.40456	84.60812	86.02981	84.94969	70.56139	57.96075	83.71917	88.60952	73.60415	71.66217	73.73946	75.05674	61.34212	67.46973	73.85976	40.11708	63.88073	66.11686	63.99369	61.83716	85.69756	84.50579	72.82501	63.20087593959434	60.6856	72.61085048463988	65.19136	62.34547	72.83009	58.11191	66.52133	41.62789	43.07054	71.18706	66.42611	55.00681	80.99011	37.42495	1.5625	56.42421	55.11049	78.89701	54.26019	32.16176	22.08073	58.50893131873901	78.56216	63.45299	3.68323	71.5232	55.46301	43.54181	81.18182	47.97823	75.11473	71.55195	57.37264	76.531	69.37255427228538	79.50261	61.97796
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	12.84027	5.60049	3.49954	3.5624	0.83602	0.87997	0.13374	0.7884	1.18938	2.54234	6.44042	1.54866	15.70705	0.44429	4.87878	0.93064	0.3249	1.49152	9.79477	1.74096	4.25021	17.23296	9.56416	6.77607	3.96458	0.39798	10.44412	11.70074	3.44929	2.99375	4.10327	0.27906	0.28665	1.91187	7.07415	30.29601	3.47921	31.50107	2.0314	6.23021	0.74445	2.00592	1.85144	3.92045	0.31774	4.67813	0.60862	1.96687	0.13687	0.28937	0.16992	1.59488	6.98789	0.05563	0.02927	0.59691	2.06932	4.000781360413294	4.39835	0.64756	1.18871	7.12009	29.43622	0.38336	0.51175	7.17045	8.74659	34.6499	13.80855	32.76503	45.55229	24.10904	2.42552	36.23882	4.23847	53.96096	8.96202	0.09139	0.01233	2.35583	18.71038	2.02359	3.90595	15.55305	0.0934	8.16714	3.89734	0.2963	3.94898	5.42547	2.63765	0.05572	0.84854	4.69808	5.50753	0.06609	0.79318	17.08697	1.11846	4.31965	0.03634	1.79003	3.83913	9.66847	1.69903	1.39213	0.43107	14.18981	0.03945	5.97823	0.93554	8.91452	23.27169	0.82606	0.08591	0.53437	5.942605674265165	18.77716	13.93983012350381	13.74082	25.55112	11.89179	25.77248	16.64951	37.93649	9.9701	17.96029	13.77367	22.89333	1.98487	50.79252	1.35671	28.66409	1.20709	1.95611	22.15617	60.00897	73.30427	15.537034269160364	9.22135	10.83236	88.87604	16.69855	20.15258	52.35925	2.79752	41.86453	5.18471	19.61181	21.92459	12.87401	0.7908055092600419	12.3593	16.41294
k__Bacteria|p__Firmicutes|c__Bacilli	8.67435	16.62597	1.37463	2.84135	6.70356	0.92251	3.37082	1.25247	0.77201	1.92402	2.62483	1.62166	3.09807	5.69159	0.42762	0.41252	1.15988	10.70632	0.15892	6.70465	3.6772	0.90037	4.06036	4.05923	0.31201	3.23323	20.47905	0.37114	4.33644	8.58905	8.2917	0.08822	0.57572	0.10639	3.00603	2.23421	1.39922	0.0348	6.29662	1.32886	18.00834	6.56038	0.76203	0.46397	0.12291	5.72902	6.26115	4.49317	8.77017	5.72281	1.60904	6.99435	2.82796	33.42816	1.47561	2.23328	2.29329	0.952545557602976	4.01582	1.42844	1.08052	4.62832	5.13862	2.24516	0.70008	0.28573	6.33251	3.80042	2.24852	2.13438	0.23928	0.38109	0.12146	3.27892	23.06057	0.8715	3.69263	0.22204	0.28397	4.88416	0.72682	0.02958	0.99092	8.77251	2.05555	1.00567	1.67376	0.74626	2.27856	6.10821	0.532	4.9566	19.95597	2.21415	0.80175	3.8459	2.48566	1.19873	2.20165	0.05447	4.28192	1.90797	2.75445	4.40782	1.48706	5.39864	0.38233	2.40645	1.11022	0.05231	1.75457	1.87791	4.1731	0.14649	1.74518	6.23017	1.5753191137832374	12.88181	0.3347882764694668	4.56372	1.12083	0.3918	2.39487	2.76728	0.47914	3.37137	3.89953	10.2731	1.07535	4.6019	3.23439	4.60494	0.05328	8.43676	0.18702	0.54543	0.17346	0.13917	0.1287277889508613	0.07217	0.25966	1.10125	3.81276	0.01317	0.09091	0.58687	0.16506	0.59456	4.38531	2.54654	1.14008	0.9150956674101404	0.81238	4.48452
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2.2952	1.93023	6.24998	0.40605	6.62406	17.5278	15.38894	15.10823	27.53228	0.01295	0.13515	5.86333	1.50319	2.03838	6.38159	8.91587	10.12328	2.16437	0.03257	0.73098	0.01817	0.00804	1.11815	0.77296	13.99937	0.44915	51.17873	4.05539	0.96576	3.69086	1.16019	11.00181	8.38369	0.01187	6.03825	0.10821	3.74917	0.26029	2.71813	5.37048	7.06578	2.09378	1.6519	0.19296	16.70148	0.81824	7.66678	1.87837	40.52922	8.95473	12.07311	1.24111	4.73551	0.49202	2.34795	36.75248	1.46581	8.994256520863733	3.63596	0.11956	4.22339	0.1944	1.57005	19.0029	13.86067	11.8903	5.37289	2.55305	2.42302	4.24588	0.07191	0.4246	33.11736	1.20783	2.67196	0.5516	18.76117	2.66629	26.68095	27.53692	0.39186	0.14247	5.37951	2.15309	24.41505	31.36955	5.77333	60.89844	0.70135	26.35592	1.70009	13.21654	3.13278	0.7092	1.46239	0.86538	2.28696	0.06648	25.52952	1.26409	0.17422	7.50614	1.03892	4.63412	8.17394	9.18793	12.66974	1.14973	40.59814	7.6653	10.21961	4.18581	0.00585	7.70685	3.42636	6.14858	9.74353784025244	0.50215	0.9600284361004856	3.46044	2.3061	4.50228	0.58166	0.03877	0.07453	2.45012	0.28154	2.53368	6.47445	1.57672	0.56972	0.32014	1.57883	12.14209	0.14542	1.91291	0.02437	0.54692	0.0191776469995699	5.07836	8.94416	3.01591	0.05331	0.58335	1.26049	0.03399	0.08287	5.5442	0.54705	1.98098	1.59478	4.064753321798274	0.74591	4.88438
k__Bacteria|p__Firmicutes|c__CFGB1340	0.00549	4e-05	0.0	3e-05	0.0	0.0	0.0	0.0	0.11454	0.36303	0.0005	1.19081	1.11955	0.0	0.0	0.00033	0.0	0.52472	0.58506	0.90678	0.00055	1.00403	1.98991	0.00132	0.09209	0.0	3e-05	3e-05	0.05795	2.1763	0.21611	0.13734	2.76623	0.58386	0.10599	0.00018	0.0028	0.0	1.64387	0.0	0.00381	0.04645	0.12352	0.00022	0.0	0.00034	0.0	0.00015	0.0	3.68756	2.21453	4.13732	1.52283	0.3431	0.00025	0.0	0.00594	0.0386579364743581	0.0001	0.0	0.00292	1.94516	0.38773	0.00132	0.00039	0.98826	0.0	0.19334	1.1274	0.12923	0.00031	0.0	2.12699	3.04358	0.0	0.01171	0.00069	0.00035	0.86031	0.0	4.24633	0.0	1.11709	0.0	0.0	0.0	1.86111	0.0	0.00024	0.00043	0.96264	0.0	9e-05	0.0	1.12839	0.0	0.0	0.01626	3.03542	0.0	0.00025	3.16195	0.0	0.0	8e-05	0.0	3.04955	3.21854	0.00531	2.61041	0.0	1.68956	2.55591	0.01489	0.0	0.0	0.0029803388645288	0.08154	1.3469142250312494	7e-05	0.00737	0.00019	0.07985	0.0	0.0	0.0	0.0	1.02647	0.85428	0.01481	0.1633	0.02116	1.27945	0.00031	0.00778	0.67465	0.00316	0.00057	0.0017230315486057	0.0	2.34587	0.0	0.00195	2.17942	0.0	0.00155	0.0	0.00054	0.13808	0.00081	0.0	0.0	0.00634	2.84463
