clade_name	VF421	LILT_VF378	VF399	LILT_VF334	VF419	LILT_VF300_T016	LILT_VF73_16	VF417	LILT_VF318	LILT_VF270_T017	LILT_VF360	LILT_VF234_T017	VF403	VF425	LILT_VF106_16	LILT_VF120_16	LILT_VF155_T017	LILT_VF207_T017	LILT_VF379	LILT_VF100_T016	LILT_VF176_T017	LILT_VF394	LILT_VF174_T017	LILT_VF363	LILT_VF71_16	LILT_VF142_T017	LILT_VF145_T017	VF401	VF402	LILT_VF65_16	LILT_VF232_T017	VF412	LILT_VF77_16	LILT_VF95_16	LILT_VF385	LILT_VF392	LILT_VF377	LILT_VF29_16	LILT_VF208_T017	LILT_VF348	LILT_GF15_16	LILT_VF281_T017	LILT_VF114_T017	LILT_VF154_T017	LILT_VF240_T017	VF400	LILT_VF107_16	LILT_VF264_T017	LILT_VF313	LILT_VF222	VF406	LILT_VF328	LILT_VF217_T017	VF423	LILT_VF166_T017	LILT_VF251_T017	LILT_VF315	VF404	LILT_VF167_T017	LILT_VF273_T017	LILT_VF138_T017	LILT_VF109_16	LILT_VF63_16	LILT_GF11_16	LILT_VF311	LILT_VF110_16	LILT_GF04_16	LILT_VF05_16	LILT_VF306	LILT_VF75_16	LILT_VF74_16	LILT_VF303	LILT_VF337	LILT_VF12_16	LILT_VF41_16	LILT_VF76_16	LILT_VF78_16_A	LILT_VF243	LILT_VF01_16	LILT_VF14_16	LILT_VF34_16	LILT_VF298	LILT_VF81_16	LILT_VF39_16	LILT_VF84_16	LILT_VF31_16	LILT_VF10_T016	LILT_VF43_16	LILT_VF339	LILT_VF380	LILT_VF82_T016	LILT_VF279_T016	LILT_VF326	LILT_VF370	LILT_VF28_T016	LILT_VF18_T016	LILT_VF262_T016	LILT_VF265_T016	LILT_VF189_T016	LILT_VF40_16	LILT_VF140_T016	LILT_VF255_T016	LILT_VF261_T016	LILT_VF06_16	LILT_VF170_T016	LILT_VF259_T016	LILT_VF00TL_16	LILT_VF335	LILT_VF171_T016	LILT_GF06_16	LILT_VF293	LILT_VF206_T016	LILT_VF212_T016	LILT_VF263_T016	LILT_VF351	LILT_VF192_T017	LILT_VF314	VF416	LILT_VF02_T016	LILT_VF04_16	LILT_VF07_16	LILT_VF30_16	LILT_VF32_T016	LILT_VF35_16	LILT_VF37_16	LILT_VF38_16	LILT_VF47_16	LILT_VF50_16	LILT_VF55_T017	LILT_VF56_16	LILT_VF60_T016	LILT_VF62_T017	LILT_VF66_T017	LILT_VF67_16	LILT_VF69_16	LILT_VF70_16	LILT_VF90_16	LILT_VF97_16	LILT_VF102_T017	LILT_VF172_T017	LILT_VF197_T017	LILT_VF214_T016	LILT_VF301_T016	VF397	LILT_VF382	LILT_GF12_16	LILT_VF236_T017	LILT_GF16_T017	LILT_GF17_16	LILT_GF18_T016	LILT_VF216_T017	LILT_VF346	LILT_VF362	LILT_VF390	LILT_VF391	VF359	VF388	VF458	VF444	VF446	VF440	VF453	VF445	VF449	VF465	VF459	VF439	VF450	VF452	VF448	VF463	VF461	VF462	VF455	VF464	VF469	VF443	VF347	VF442	VF274	VF322
k__Bacteria	99.82501	100.0	100.0	100.0	100.0	98.51765	100.0	100.0	99.98247	99.89316	100.0	100.0	100.0	99.99995	100.0	100.0	100.0	99.99041	100.0	100.0	100.0	99.725	100.0	99.91112	100.0	100.0	100.0	99.99217	100.0	99.99947	100.0	100.0	91.58606	100.0	100.0	100.0	99.99892	100.0	99.9975	99.99918	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.66674	100.0	99.94808	100.0	100.0	100.0	100.0	99.83263	99.99024	100.0	100.0	100.0	100.0	100.0	100.0	99.99772	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.73398	100.0	99.99933	99.99739	100.0	100.0	100.0	82.65021	100.0	100.0	100.0	79.84834	100.0	100.0	100.0	99.95772	100.0	100.0	100.0	100.0	100.0	100.0	99.89236	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.27876	99.99862	100.0	99.94809	99.63584	100.0	100.0	100.0	100.0	99.55715	99.99941	99.74738	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.52292	100.0	100.0	100.0	99.20789	100.0	97.72592	100.0	98.62196	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.98453	99.61541	100.0	100.0	100.0	99.99193	99.73059	100.0	96.76465	100.0	99.91538	99.99461	96.99969	100.0	100.0	100.0	100.0	100.0	100.0	99.98941	100.0	100.0	100.0	100.0	100.0
k__Archaea	0.17499	0.0	0.0	0.0	0.0	1.48235	0.0	0.0	0.01597	0.10684	0.0	0.0	0.0	5e-05	0.0	0.0	0.0	0.00959	0.0	0.0	0.0	0.275	0.0	0.00467	0.0	0.0	0.0	0.0	0.0	0.00053	0.0	0.0	8.2038	0.0	0.0	0.0	0.0	0.0	0.0	0.00082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33326	0.0	0.05192	0.0	0.0	0.0	0.0	0.16737	0.00976	0.0	0.0	0.0	0.0	0.0	0.0	0.00188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00067	0.00261	0.0	0.0	0.0	17.34979	0.0	0.0	0.0	20.15166	0.0	0.0	0.0	0.04228	0.0	0.0	0.0	0.0	0.0	0.0	0.10764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68399	0.00138	0.0	0.05191	0.0	0.0	0.0	0.0	0.0	0.44285	0.00059	0.25262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47708	0.0	0.0	0.0	0.79211	0.0	2.15856	0.0	1.37804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38459	0.0	0.0	0.0	0.00807	0.26941	0.0	3.23535	0.0	0.08462	0.00539	3.00031	0.0	0.0	0.0	0.0	0.0	0.0	0.01059	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes	38.60033	37.43731	24.8986	45.53315	70.1203	42.39211	55.64177	75.15248	66.30494	48.9105	12.10983	36.11068	48.05338	70.00529	40.97493	42.40394	16.82694	48.87941	7.16329	45.89003	22.95017	34.24751	24.11443	29.59559	29.64125	48.91612	51.58544	67.45093	39.10777	24.31515	23.39377	42.49155	39.09171	20.07303	48.77393	1.56773	32.35941	58.25764	1.38916	19.01078	44.32636	12.49601	14.90103	2.87677	10.6306	21.31325	60.89997	50.30545	40.61825	34.7364	50.19143	33.41851	18.19946	36.82285	12.25561	20.62056	20.65527	70.71945	47.0333	43.52992	21.11586	39.19605	24.27844	72.09916	30.95543	28.92308	49.63586	9.54022	13.41507	9.68623	5.757	59.70732	50.44902	29.06619	26.84446	58.41333	41.48493	36.68122	40.01337	48.44564	53.68032	9.9618	30.99732	38.40419	45.72883	48.76102	35.08064	12.38353	66.72003	65.81889	17.31965	12.51776	26.4158	39.91058	57.9632	11.9527	57.63983	41.58865	48.33179	51.82685	61.5276	62.85345	18.22768	28.70937	58.84728	29.2179	64.13537	60.68707	70.48506	45.86734	16.29094	58.34144	61.46622	55.8352	82.22265	62.5285	26.52484	45.43127	47.16405	42.40819	62.82977	55.41189	42.69392	28.7536	59.44399	52.76857	34.03254	42.41629	22.82558	18.34372	21.61292	47.72185	25.04919	10.04893	44.30578	18.71023	43.18243	30.69622	64.15843	14.2908	44.37672	2.22561	34.26298	24.27963	62.90886	28.1271	20.07271	32.96244	49.355	30.53824	0.53466	1.4008	52.42766	39.67323	1.96905	49.08368	23.75994	64.77632	51.24538	26.28725	32.75054	26.28236	59.56782	87.90965	42.93281	25.12939	52.44036	34.22509	42.91384	26.44263	34.90053	16.50498	52.22117	27.87952	20.46953	39.47346	34.49071	82.28323	67.52172	52.04377	24.01734
k__Bacteria|p__Bacteroidetes	35.52351	42.80131	70.60334	42.02817	0.0	43.88414	33.82213	0.0	19.00684	46.44335	46.01319	48.02391	0.52638	0.06127	34.07114	43.66844	81.89977	42.79	0.03567	41.37057	68.92761	48.38785	70.83125	65.07525	47.65633	42.68284	42.71083	3.81222	31.38068	46.38965	73.0858	43.80486	44.47435	73.72153	39.64215	0.01152	21.16713	35.91684	0.01683	9.34128	44.12635	82.53331	65.09745	0.29242	0.02365	74.84241	27.34151	46.88203	53.56695	56.33033	25.24995	5.99096	54.0742	48.97207	50.04533	71.48085	65.18666	0.0	50.08914	33.81679	73.47858	2.56444	1.63341	14.94659	67.22042	68.12134	47.97363	86.95725	35.60055	89.48272	83.44671	36.2407	41.40269	63.66089	63.19064	36.48929	56.70296	53.44268	37.87915	32.78358	37.89317	83.53225	49.45623	52.83881	52.51166	23.70499	28.53558	83.96256	20.61373	27.76894	76.42857	66.49559	31.16631	50.71953	35.15257	76.32695	29.08065	37.36737	39.2416	46.66791	33.59551	27.87419	75.88415	52.25064	35.26402	61.64489	25.67269	35.06659	24.49843	0.74853	80.75446	41.19474	29.63753	25.97869	9.42053	27.78493	45.28923	33.96732	45.27093	14.76263	33.50405	37.04074	49.63317	64.27139	5.66013	37.1591	50.42825	51.73144	69.34155	46.06667	70.32514	43.135	33.69533	83.37294	48.0567	79.49528	48.17093	45.06418	29.55032	76.17525	50.43343	0.0	50.66486	72.94866	26.54744	68.80718	58.50818	62.5209	38.14145	2.09485	0.0	0.0	41.33698	10.79546	0.07371	0.0329	0.0	23.60816	44.44799	70.49113	55.3568	61.34093	34.98579	0.04383	44.17638	57.21501	34.52489	55.59652	44.57353	53.95927	43.88498	66.46894	36.27844	59.90951	19.52882	54.58065	46.65397	1.14049	13.38643	38.63523	55.39629
k__Bacteria|p__Actinobacteria	0.99836	4.06735	1.37625	0.45421	29.01397	2.79363	1.34458	0.38585	2.45701	0.913	1.64429	1.11658	47.67009	0.262	0.54077	7.6902	0.12376	0.62591	13.50701	1.544	0.31725	1.59171	1.14796	0.07327	0.19439	1.0217	0.57749	0.0118	1.94553	0.56768	0.08841	0.35053	0.61552	0.54588	0.65738	0.45462	0.30659	0.72205	0.11339	2.32087	0.65972	0.30895	0.2674	36.4458	11.51454	1.00247	2.84517	0.47091	0.33803	2.44189	9.00897	3.9702	0.31474	1.44228	1.52919	0.64951	1.20885	19.94613	0.23612	1.00136	3.73487	12.68835	60.05439	1.64929	0.8478	0.24303	1.31601	0.375	0.099	0.2407	0.08138	3.07193	1.38862	1.19219	0.1934	0.15054	0.92074	0.45074	4.88101	0.80945	5.67476	0.56289	0.32908	2.15481	0.11451	16.46523	2.25119	0.02593	2.27951	2.01577	0.42859	0.25771	8.54127	3.5165	0.89573	4.16479	7.04484	1.01852	7.33576	0.17088	1.21411	2.19486	1.41269	4.01713	0.08144	0.57186	2.62643	0.85988	3.78165	1.72075	0.40161	0.45339	0.85685	10.68651	0.66413	1.34272	1.49	7.52343	3.94745	30.27093	1.47187	4.16703	1.18092	4.27227	1.72333	7.36736	2.45098	0.36283	1.07305	0.77092	0.21463	0.9259	1.12291	0.18249	3.07619	0.017	0.36679	0.39877	0.08117	0.1996	0.57142	24.2983	2.3844	0.33253	0.34632	1.74057	1.47552	1.62037	1.00182	54.68614	0.18313	2.23737	0.81005	4.49083	3.25751	28.56476	73.65718	0.55754	0.5244	1.04056	1.89785	0.64458	0.96519	0.47043	0.78416	0.66934	0.49889	1.09061	0.8545	2.93205	4.4895	0.22808	6.05496	1.0245	1.01495	1.31203	0.79141	0.46142	14.58983	5.32843	1.7655
k__Bacteria|p__Verrucomicrobia	18.7506	0.0	0.0	0.00765	0.0	0.0	3.2186	0.0	2.87163	0.0013	0.00698	2.62769	0.0	0.00043	0.09855	1.45774	0.0	0.1243	0.0	1.9828	0.0	6.97783	3.17821	0.06365	0.0	0.0	0.0	0.73199	0.0	10.13474	0.0	4.85876	4.97218	0.35333	1.09075	0.0	17.21133	3.5388	0.0	54.64407	2.0154	0.0	1.46696	0.0	0.0	0.0	0.24952	0.00576	0.0	0.0	0.0	2.01972	0.0	0.95976	0.0	0.0	0.0	0.0	0.24356	0.0	0.0	0.0	0.0	0.00105	0.0	0.0	0.00531	0.00036	7.24471	0.55303	0.0	0.0	0.0	0.0	0.01486	0.00676	0.0	2.06697	11.38618	0.00011	6e-05	0.0	0.01828	0.00052	0.45567	2.8653	11.44891	0.0	0.0	1.90754	1.26817	0.0	0.0	0.0	4.16891	0.0389	0.0	0.24788	0.05568	0.0	0.0	0.0	0.0	9.84989	0.26258	1.1587	0.0067	0.6084	0.03603	36.47854	0.00102	0.0	3.22268	0.0	3.39712	4.5557	0.0	4.51902	0.0	0.0	0.40313	0.00035	0.0	0.0	30.49682	0.0	0.0	1.45977	0.0	0.90889	0.0	2.95304	0.0	0.0	0.0	0.48005	0.0	0.0	0.07116	0.0002	0.0	0.0	0.0	5e-05	0.022	0.34415	0.21315	0.25505	0.00012	0.01674	0.0	0.0	0.0056	0.0	0.0	0.0	0.0	1.14832	0.21412	0.0	0.0	0.0	2.54299	0.0	1.27867	0.45954	0.63094	0.28726	0.00778	0.0	5.91784	0.0	2.98041	0.0	0.08909	0.0	5.21882	0.27004	0.00176	0.0	16.76615
k__Archaea|p__Euryarchaeota	0.0606	0.0	0.0	0.0	0.0	1.48235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00467	0.0	0.0	0.0	0.0	0.0	0.00053	0.0	0.0	8.2038	0.0	0.0	0.0	0.0	0.0	0.0	0.00082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03629	0.0	0.05192	0.0	0.0	0.0	0.0	9e-05	0.00976	0.0	0.0	0.0	0.0	0.0	0.0	0.00188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00067	0.00261	0.0	0.0	0.0	17.34979	0.0	0.0	0.0	18.96746	0.0	0.0	0.0	0.00057	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00138	0.0	0.05191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79211	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18607	0.0	0.0	0.0	0.0	0.26941	0.0	3.23535	0.0	0.03522	0.00135	3.00031	0.0	0.0	0.0	0.0	0.0	0.0	0.01059	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria	4.71989	15.67973	3.10603	11.95335	0.84601	9.27758	5.74343	24.40639	7.47849	3.43688	40.16983	12.02557	3.73437	29.67096	24.31461	4.74597	0.78727	7.26106	79.29403	8.27223	6.40611	7.92306	0.45869	4.19203	22.50803	7.26875	5.12625	27.66066	27.54728	5.8191	3.02811	5.94171	1.4779	5.25654	9.80071	97.72297	28.95013	1.48566	98.47791	13.62958	8.8209	4.63193	17.50518	60.1509	77.80344	2.62552	8.39902	2.1794	5.47676	6.26151	15.54958	53.53328	27.38078	1.93637	3.06779	7.05356	12.79693	9.33403	2.16632	21.49936	1.66201	45.55036	0.23937	11.24883	0.91192	2.70892	1.06668	0.2707	43.64067	0.03214	10.71492	0.98005	3.39172	6.08074	9.21908	3.57626	0.8885	4.47346	5.83767	17.95938	2.72271	5.93296	0.65574	6.59003	1.05221	4.85215	1.27829	3.49351	10.38235	2.29464	3.91417	20.46378	33.87539	5.82357	1.75814	5.72713	6.21857	19.62207	3.53881	1.27278	3.47326	7.07093	3.89705	5.16473	4.78345	7.40665	7.55465	2.7738	1.16501	15.10943	2.51293	0.01043	4.57883	7.4783	3.15423	2.92429	25.95895	8.42738	1.31778	12.23488	1.28265	3.37811	5.96995	2.07245	2.58405	2.44973	13.06424	3.9793	6.67309	33.90946	6.07155	4.75212	40.12395	5.81906	2.63926	1.26673	8.2672	23.73578	5.29709	9.33414	2.8269	73.47609	11.84038	2.43836	5.34474	0.96836	11.15991	1.81965	6.78247	11.99277	99.28222	95.91514	5.34518	45.03213	94.68559	22.31692	2.56741	4.97374	3.56811	2.10542	7.72732	11.28613	0.92058	11.5625	4.21018	15.0231	7.27936	8.37046	7.21266	10.74043	10.41072	16.02362	2.44848	9.36352	54.15547	3.42248	5.86935	15.82896	4.20853	3.96814	1.13365
k__Archaea|p__Crenarchaeota	0.11438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012	0.10684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.37804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Melainabacteria	0.91424	0.0	0.0	0.0	0.0	0.00842	0.0013	0.0	0.29857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28692	0.0	0.0	0.0	1.85297	0.0	0.0	0.0	0.0	0.00154	0.079	0.0	0.00012	0.0	0.0	0.0	0.0	0.0	0.21635	0.0	0.00582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.85646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14052	0.0	0.0	0.0	0.0	0.06145	1.60494	0.0	0.00386	0.0	0.0	0.02214	0.0	0.0	0.0	0.14334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00141	0.0	0.0	0.27144	0.0	0.0	0.01576	0.0	0.02059	0.0	0.2031	0.09229	0.0	0.0	0.0	0.05037	0.00535	0.0	6e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00862	0.0	0.06678	0.0	0.00048	0.0	0.01341	0.0	0.07205	0.0	0.0	0.0	0.0	0.0	0.0	0.00181	0.0	0.0	0.0	3.60845	0.0	0.0	0.0	0.0	0.0	0.0	0.40363	0.0	3.01717	0.00314	0.07706	0.85098	0.0	0.10267	0.00082	0.14566	0.0	0.98087	0.91641	0.0	0.0	0.0	0.0
k__Bacteria|p__Lentisphaerae	0.16842	0.0	0.0	0.0	0.0	0.03221	0.22733	0.0	1.26009	0.18157	0.0	0.08847	0.0	0.0	0.0	0.03179	0.0	0.09848	0.0	0.8415	0.20769	0.10623	0.0	0.40978	0.0	0.0	0.0	0.0	0.0	0.48244	0.40358	0.06336	0.50189	0.0051	0.0	0.0	0.0	0.0	0.0	0.03398	0.0462	0.0	0.0	0.0	0.0	0.0	0.0	0.09398	0.0	0.18102	0.0	0.72534	0.0	0.0	0.0	0.18027	0.00374	0.0	0.03987	0.00381	0.0	0.0	0.0	0.0	0.0631	0.00363	0.0	0.0	0.0	0.0	0.0	0.0	0.04193	0.0	0.53747	1.08914	0.0	0.0	0.0	0.0	0.0	0.0	0.61535	0.0	0.13126	1.87866	1.23157	0.13446	0.0	0.05337	0.28669	0.0	0.00049	0.0	0.0	0.18369	0.01288	0.04402	0.07515	0.06158	0.16739	0.00308	0.0	0.0	0.41955	0.0	0.0	0.00427	0.0	0.0	0.03906	0.0	0.2157	0.01724	0.03049	0.22654	0.14326	0.07968	0.3694	0.0	0.48794	0.0	0.30411	0.09515	0.00033	0.0	0.0	0.0	0.0	0.0	0.22747	0.40917	0.0	0.0	0.0	0.03071	0.0	0.0	0.35559	0.0	0.15644	0.0	0.00504	0.0	0.01938	0.0	4.80358	0.11069	0.0	0.0	0.0	0.0	0.03887	0.0	0.0	0.0	0.0	0.03111	0.0	0.0	0.0	0.05391	0.37456	0.0	0.24235	0.0	0.23135	0.00492	0.01525	0.0	0.0	0.0	0.01572	0.0	0.0	0.0453	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Saccharibacteria	0.0	0.013	0.00149	0.00128	0.01971	0.03323	0.0	0.05529	0.0021	0.00056	0.0	0.00711	0.01577	0.0	0.0	0.00163	0.0	0.00223	0.0	0.00319	0.00139	0.0374	0.0	0.0	0.0	0.0	0.0	0.03765	0.00521	0.04419	0.00032	0.0	0.00083	0.00373	0.00168	0.24316	0.00279	0.0	0.00021	0.0	0.00506	0.02783	0.03251	0.23357	0.01069	0.0	0.0332	0.01065	0.0	0.0002	6e-05	0.0	0.03082	0.0	0.0	0.0004	0.1457	0.00039	0.0	0.0	0.00868	0.0	13.70716	0.05508	0.00134	0.0	0.00023	0.0	0.0	0.00517	0.0	0.0	0.0	0.0	0.0	0.00866	0.0	0.0	0.0	0.00184	0.0	0.0	0.0	0.01164	0.00586	0.00019	0.01051	0.0	0.00438	0.00033	0.0	0.0	0.00076	0.02981	0.0	0.00067	0.00324	0.0	0.0	0.0	0.0	0.00349	0.00166	0.0	0.0017	0.0	0.00416	0.0	0.00033	0.0	0.0	0.0	0.00431	0.00407	0.00268	0.002	0.00384	0.0	0.00408	0.00851	0.0	0.00188	0.01483	0.0	0.00058	0.00262	0.02214	0.0	0.01556	0.00035	0.00194	0.00085	0.00861	0.00249	0.00268	0.0	0.01264	0.09917	0.00054	0.0	9e-05	0.0	0.03172	0.00077	0.00761	0.00695	0.00048	0.00158	0.0028	0.63594	0.0	0.44669	0.0	0.00654	0.01413	0.00173	0.0	0.00054	0.0	0.00195	0.06478	0.0	0.00328	0.01359	0.0	0.0	0.0	0.00905	0.0	0.00622	0.02204	0.0466	0.0	0.00206	0.02753	0.0	0.0	0.00279	0.0	0.0189	0.00464
k__Bacteria|p__Firmicutes|c__Clostridia	35.52543	33.08108	20.47784	44.60183	10.77345	38.1343	51.59435	0.00353	62.26955	45.34944	11.59742	34.70628	0.77239	0.4182	39.41912	39.97329	4.80404	47.56544	0.0	42.04287	20.7768	32.02058	20.9359	27.49315	27.255	48.72458	50.63183	2.44055	34.28061	22.43202	22.6098	37.6397	37.07609	19.45402	46.53072	0.68898	27.288086381439285	56.49252	0.0	18.32952	39.46834	10.89668	11.32964	0.27935	0.0	19.83522	58.3617	47.71451	36.35812	32.10361	16.56351	31.91201	15.59022	32.91441	6.165529813596161	19.07099	8.91507	26.90028	46.26724	38.18071	9.93546	38.79869	3.38282	54.53257	25.85004	26.05665	46.61595	8.14967	7.93417	8.68712	5.02489	58.55409	46.20775	28.37286	23.47789	55.55231	40.20518	34.57259	28.11663	47.73986	41.10604	8.168431306305953	29.7178	31.05447	42.82841	40.96047	31.12249	10.61535	64.67236	63.51598	16.34081	7.03337	20.19995	34.23043	56.16464	9.36802	46.93169	38.42668	46.8195	49.99939	59.84615	55.70569	14.375158476076042	27.29623	54.27995	20.03505	58.81016	58.34898	64.5212872396987	40.60535	13.57257	53.56135	58.3993	43.28513	78.56342	58.60732	24.3409	37.9254	45.44412	34.23881	60.69448	52.20851	40.13225	26.85878	57.77087	49.75708	30.92221	41.63623	21.36487	6.98093	19.09196	44.30858	7.19452	7.01712	39.9739	15.88297	41.62941	28.55501	58.70441	11.62223	42.99888	1.34283	31.29808	15.43028	58.6593	25.05502	11.53449	25.15486	45.84205	25.5942	0.00159	0.0	50.11089	36.22684	0.0	25.67438	0.00038	55.31583	47.28042	23.2605	26.50187	21.18997	56.65704	17.45471	39.95963	12.05555	49.9013	31.51047	37.64567	25.19462	32.45404	12.9348	51.09794	26.01998	6.45277	36.92757	28.91047	3.45759	64.78123	47.21596	19.85982
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	35.17104	42.80131	70.60334	42.02395	0.0	43.88406	33.76592	0.0	19.00489	46.4178	46.01319	48.02391	0.52638	0.06127	34.06209	43.66844	81.89977	42.59711	0.03567	41.34984	67.112	48.30667	70.83125	65.07525	47.65633	42.68284	42.71083	3.81222	31.38068	46.38965	73.07966	43.80486	43.20018	73.716	39.63936	0.01152	21.70150348142593	35.73281	0.01683	9.34128	44.12635	82.53331	65.09745	0.29242	0.02365	74.78068	27.34151	46.81305	53.34869	56.33033	25.24995	5.96568	54.0742	48.97207	50.111101094784495	71.48085	62.58002	0.0	49.62267	33.81679	73.47858	2.56444	1.63341	14.94659	67.21567	67.88275	47.95783	86.9442	35.60055	89.48272	83.44671	36.2407	41.40269	63.66089	63.18524	36.48929	56.67712	53.26464	37.63532	32.78358	37.86764	87.34294403980715	49.05033	52.83881	52.00571	23.50579	27.47049	83.92502	20.41642	27.50423	76.33609	66.49559	31.16631	50.71953	34.9195	76.32695	29.08065	37.36737	39.2416	46.66791	33.41282	27.87419	75.93257979939607	52.24961	35.23194	61.64489	25.67269	34.95661	24.58521087735489	0.74853	80.75446	41.19474	29.63753	25.97869	9.18843	27.7822	45.28388	33.43632	45.27093	14.76263	31.87316	37.04074	49.34798	64.23828	5.66013	37.09971	50.42825	51.73144	68.78165	46.06667	68.37308	42.84494	33.69533	83.36611	48.05406	79.46831	48.17093	45.06418	29.55032	76.17525	50.43343	0.0	50.66486	72.94866	25.87647	68.80718	58.47861	62.5209	38.14145	2.08936	0.0	0.0	41.26614	10.79546	0.04497	0.0329	0.0	23.60816	44.44799	70.49113	55.3568	61.33793	34.91944	0.04383	40.00378	57.21501	29.13397	55.59433	44.25924	53.95674	43.88196	66.46293	36.14763	59.90603	19.42047	54.56805	46.65397	1.13467	13.38643	38.60024	54.93678
