clade_name	SZAXPI003409-8	SZAXPI003410-3	SZAXPI003411-6	SZAXPI003412-1	SZAXPI003413-4	SZAXPI003414-3	SZAXPI003415-12	SZAXPI003416-4	SZAXPI003417-4	SZAXPI003418-8	SZAXPI003419-6	SZAXPI003420-4	SZAXPI003421-5	SZAXPI003422-11	SZAXPI003423-8	SZAXPI003424-12	SZAXPI003425-1	SZAXPI003426-11	SZAXPI003427-1	SZAXPI003428-6	SZAXPI003429-3	SZAXPI003430-5	SZAXPI003431-1	SZAXPI003432-12	SZAXPI003433-7	SZAXPI003434-7	SZAXPI003435-11	SZAXPI003436-7	SZAXPI003437-3	SZAXPI015209-133	SZAXPI015210-17	SZAXPI015211-166	SZAXPI015212-113	SZAXPI015213-15	SZAXPI015214-19	SZAXPI015215-20	SZAXPI015216-169	SZAXPI015217-140	SZAXPI015218-16	SZAXPI015219-129	SZAXPI015220-136	SZAXPI015221-142	SZAXPI015222-123	SZAXPI015223-158	SZAXPI015224-13	SZAXPI015225-18	SZAXPI015226-14	SZAXPI015227-13	SZAXPI015228-14	SZAXPI015229-15	SZAXPI015230-16	SZAXPI015231-17	SZAXPI015232-18	SZAXPI015233-19	SZAXPI015234-20	SZAXPI015235-21	SZAXPI015237-23	SZAXPI015238-24	SZAXPI015239-25	SZAXPI015240-26	SZAXPI015241-27	SZAXPI015242-30	SZAXPI015243-31	SZAXPI015244-32	SZAXPI015245-33	SZAXPI015246-34	SZAXPI015247-35	SZAXPI015248-36	SZAXPI015249-37	SZAXPI015250-39	SZAXPI015251-41	SZAXPI015252-43	SZAXPI015253-44	SZAXPI015254-45	SZAXPI015255-46	SZAXPI015256-47	SZAXPI015257-56	SZAXPI015258-57	SZAXPI015259-62	SZAXPI015260-74	SZAXPI015261-75	SZAXPI015262-79	SZAXPI015263-84	SZAXPI015264-87	SZAXPI015265-88	SZAXPI015266-89	SZAXPI015267-102	SZAXPI015268-109	SZAXPI015269-94	SZAXPI015270-90	SZAXPI015271-93	SZAXPI015272-108	SZAXPI015273-95	SZAXPI015274-111	SZAXPI017451-16	SZAXPI017452-17	SZAXPI017453-19	SZAXPI017454-20	SZAXPI017455-21	SZAXPI017456-23	SZAXPI017457-24	SZAXPI017458-25	SZAXPI017459-26	SZAXPI017460-27	SZAXPI017461-32	SZAXPI017462-33	SZAXPI017463-36	SZAXPI017464-37	SZAXPI017465-43	SZAXPI017466-84	SZAXPI017467-87	SZAXPI017468-88	SZAXPI017580-90	SZAXPI017581-93	SZAXPI017582-94	SZAXPI017583-102	SZAXPI017584-108	SZAXPI017585-109	SZAXPI017586-111	SZAXPI017587-113	SZAXPI017588-123	SZAXPI017589-133	SZAXPI017590-136	SZAXPI017591-140	SZAXPI017592-142	SZAXPI017593-158	SZAXPI017594-166	SZAXPI017595-169
k__Bacteria	99.17833	100.0	91.19952	99.99908	100.0	99.99911	100.0	100.0	99.99989	99.99989	100.0	98.83669	99.984	100.0	100.0	99.99242	100.0	99.97724	100.0	100.0	99.97266	100.0	100.0	100.0	99.99987	100.0	100.0	99.9927	99.99819	100.0	99.99124	100.0	99.93503	100.0	100.0	100.0	100.0	99.06339	100.0	99.97993	99.91524	100.0	100.0	99.59057	99.99109	100.0	100.0	100.0	100.0	99.9999	99.80822	100.0	100.0	99.99888	100.0	99.90179	100.0	99.99989	100.0	99.9962	100.0	99.96485	98.89751	100.0	99.99659	99.98142	100.0	100.0	100.0	100.0	99.64795	99.8531	99.99937	100.0	100.0	100.0	99.99784	100.0	100.0	100.0	100.0	100.0	99.59814	97.77039	99.9988	100.0	100.0	99.55826	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.99355	100.0	99.98542	100.0	100.0	98.96227	99.99921	99.99876	100.0	99.97314	100.0	97.56514	99.99972	99.99758	99.96457	100.0	99.99228	99.99736	97.73158	100.0	99.996	100.0	100.0	100.0	100.0	99.99712	100.0	99.96522	99.14614	100.0	99.97414	100.0	100.0
k__Archaea	0.82167	0.0	8.80048	0.00092	0.0	0.00089	0.0	0.0	0.00011	0.00011	0.0	1.16331	0.016	0.0	0.0	0.00758	0.0	0.02276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93661	0.0	0.0	0.08476	0.0	0.0	0.40943	0.00744	0.0	0.0	0.0	0.0	0.0	0.19178	0.0	0.0	0.0	0.0	0.09821	0.0	0.00011	0.0	0.0038	0.0	0.03515	1.10249	0.0	0.00341	0.01858	0.0	0.0	0.0	0.0	0.35205	0.1469	0.00063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40186	2.22961	0.0	0.0	0.0	0.44174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01458	0.0	0.0	1.03773	0.00079	0.0	0.0	0.02183	0.0	2.43486	0.00028	0.00242	0.03543	0.0	0.00772	0.00264	2.26842	0.0	0.004	0.0	0.0	0.0	0.0	0.00288	0.0	0.03478	0.85386	0.0	0.02586	0.0	0.0
k__Bacteria|p__Firmicutes	67.4314	70.34316	51.96856	72.07871	81.19573	20.84993	74.3885	50.39144	27.33621	40.60464	26.52915	54.55112	55.33096	73.46617	54.24048	59.05287	42.89781	21.95332	27.12152	19.54398	37.00155	55.13583	40.06745	26.35999	36.68149	39.55489	77.06455	64.30598	83.38256	29.43836	68.64683	63.34224	88.68871	53.35214	26.15757	68.86146	73.61536	50.94512	89.85786	88.81095	29.59944	82.48289	62.89106	78.40013	91.4496	65.30443	60.14315	88.07128	30.77742	7.55392	75.90778	27.12894	35.29861	80.93047	72.04554	59.12601	30.78432	51.48663	10.55156	40.42269	85.27896	71.14913	49.50409	91.41582	46.14755	88.68397	56.28616	91.81399	70.88099	75.68885	53.5728	69.16253	92.70557	43.46276	71.09712	38.4893	82.95411	81.68039	75.77981	51.56276	41.97017	69.70905	63.94567	69.05446	57.89368	47.56628	46.77309	69.55448	74.35797	64.54359	85.91708	54.07692	81.75155	67.32389	18.19244	85.1388	50.85378	68.32713	75.93215	73.22227	60.76309	66.03903	81.99504	75.97988	31.54872	55.72143	49.52078	43.60245	42.0809	63.786	46.57765	44.82713	55.06949	74.23579	27.27429	27.00137	34.86606	28.47035	66.83707	67.52338	59.59033	34.13062	55.87161	92.00568	89.15802	63.88829	85.90105	41.16922
k__Bacteria|p__Bacteroidetes	7.85159	19.21387	6.62714	18.2918	9.71328	75.7321	3.53358	33.09542	42.7301	35.67903	60.47248	41.94241	21.25438	15.95125	39.75152	3.51078	47.00517	46.08257	54.73073	4.50253	44.27146	33.14763	47.85375	1.71597	54.66945	38.70738	13.2142	13.03688	2.37617	67.53121	24.95038	21.30202	1.65047	44.55815	53.10009	28.2667	17.19375	32.70274	5.9503	8.35047	66.1184	14.24807	29.41776	8.65726	1.19087	16.87162	33.35615	5.73613	49.27785	0.11609	21.62649	67.34728	55.03039	10.76195	10.18067	39.14299	62.57777	19.22357	82.27593	50.14763	9.50187	25.08255	18.50918	5.03935	51.46629	6.89112	37.77713	4.15063	9.77262	11.95982	39.6196	23.59553	2.8917	45.93623	21.725	58.03454	10.36374	15.60849	17.06352	16.65923	55.22836	27.32393	32.55331	25.84775	37.07879	49.48446	5.06117	27.43064	22.42112	33.4223	10.89602	45.01732	12.84359	26.40285	58.42599	11.95568	34.50776	16.04738	11.72093	15.02821	36.70438	27.49402	6.8406	20.28216	49.31489	41.39584	40.96985	52.66779	13.48403	26.56944	51.8411	49.51363	42.13314	5.71384	67.86527	64.7167	61.12047	64.20737	31.82761	21.65748	32.5784	62.79317	0.26736	5.65866	1.61495	33.2943	12.03241	9.48462
k__Bacteria|p__Actinobacteria	2.02471	0.8213	31.33897	4.30146	4.37527	0.94474	13.51938	13.29217	0.32689	0.63452	9.36309	0.55528	20.68237	2.94014	4.96269	9.23274	1.37125	0.55641	3.36359	0.0168	15.48352	11.1248	2.55408	1.11357	3.64161	19.45315	7.8599	19.21351	8.74711	0.32997	5.42497	13.74632	5.25468	0.59961	2.36509	1.20328	2.48661	0.39852	2.41719	0.17089	1.05236	2.78926	1.13822	6.02829	6.47571	3.18981	0.10647	1.64537	4.18179	0.80921	1.83832	0.93443	0.45217	5.06207	11.4315	0.33441	0.92272	1.37582	6.00831	6.8284	1.34659	2.04637	1.25689	1.41582	0.84813	3.03359	0.28357	3.50192	16.51555	10.93591	2.12694	5.8477	1.94903	7.08476	0.34008	0.36504	5.85827	1.5649	4.5387	4.2273	0.28728	1.03873	1.3699	0.669	1.43257	0.36572	0.3489	0.3808	0.45752	0.18477	0.83713	0.45737	2.7488	0.18779	0.12533	2.53812	2.04774	2.61256	9.81279	2.46492	0.24173	4.08279	9.68405	2.13197	1.99671	0.50711	5.19755	0.1704	14.36692	3.38487	0.48424	1.92126	0.73339	6.3433	0.96297	1.56176	0.38705	0.05036	0.20187	3.09746	1.90403	2.52555	8.34516	0.6391	6.6129	1.81279	1.34309	14.20649
k__Bacteria|p__Verrucomicrobia	12.51466	6.07874	0.011	3.45343	4.04528	0.00606	0.00366	0.00287	0.01007	0.89088	0.00194	0.01273	0.02306	0.00633	0.01575	22.7179	0.07366	0.06892	3.73937	72.84925	0.00401	0.14734	0.00451	0.00838	0.00135	0.56946	0.40561	0.62826	0.101	0.0	0.0004	0.00715	0.0	0.0	0.00146	0.01058	3.74562	14.10812	0.27853	0.0	0.0	0.14586	0.00047	0.0	0.02384	13.21297	3.61281	0.28847	0.0	0.0	0.05367	2.66687	0.0	0.00099	2.85302	0.0	0.00091	0.0	0.0	0.77047	0.00158	0.0	0.03164	0.0	0.07974	0.00842	0.49228	0.0	0.44807	0.16211	1.13221	0.05253	0.0	0.0	0.38422	0.47465	0.0	0.16981	0.0	0.0	0.20645	0.00139	1.15687	0.0	0.0	0.0	0.0349	0.00032	0.25487	0.06258	0.01661	0.0	0.0	0.0	0.0	0.0	6.11903	0.00732	0.0	0.0	0.0	0.0	0.0	0.0	6.81567	0.04625	0.0	0.0	26.98282	2.93897	0.00429	0.0	0.03063	8.89404	0.0	0.00351	0.00561	2.18944	0.0	0.53053	0.0	0.0	0.02619	0.14517	0.96303	0.0	0.0	0.03764
k__Archaea|p__Euryarchaeota	0.82167	0.0	8.80048	0.00092	0.0	0.00089	0.0	0.0	0.00011	0.00011	0.0	1.16331	0.016	0.0	0.0	0.00758	0.0	0.02276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93661	0.0	0.0	0.08476	0.0	0.0	0.40943	0.0	0.0	0.0	0.0	0.0	0.0	0.19178	0.0	0.0	0.0	0.0	0.09821	0.0	0.00011	0.0	0.0038	0.0	0.03515	0.0	0.0	0.00341	0.01858	0.0	0.0	0.0	0.0	0.35205	0.1469	0.00063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40186	2.14837	0.0	0.0	0.0	0.44174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01458	0.0	0.0	1.03773	0.00079	0.0	0.0	0.02183	0.0	2.43486	0.00028	0.00242	0.03543	0.0	0.00772	0.00264	2.26842	0.0	0.004	0.0	0.0	0.0	0.0	0.00288	0.0	0.03478	0.0	0.0	0.02586	0.0	0.0
k__Bacteria|p__Proteobacteria	9.10724	3.01821	1.10753	1.77302	0.54785	2.4489	8.52291	2.87781	29.09485	17.59922	3.60987	1.74028	2.67754	5.30014	0.8708	4.67631	8.60847	31.21115	2.89886	2.78361	3.1771	0.30498	2.97297	70.70562	4.60817	1.68067	0.81298	2.50909	4.889	1.5874	0.90907	1.40855	4.31711	1.43344	7.53342	1.63634	2.0608	0.56088	1.11397	2.28458	2.99914	0.24809	1.8889	6.44969	0.7198	1.2379	2.28254	4.22493	0.72751	91.39226	0.36618	1.91949	8.75245	3.15391	3.47847	1.29382	3.37877	27.89529	1.13383	1.74824	3.85686	1.67145	29.59161	2.09105	1.44851	1.26388	5.14725	0.46036	1.20411	0.83994	3.11393	0.81858	2.33917	3.08616	5.33839	0.61113	0.73633	0.91412	2.60281	27.48396	2.28682	1.87511	0.48086	1.09545	3.56378	2.55884	47.75031	2.18719	1.25372	1.29399	2.31154	0.44773	2.50632	6.0633	23.15235	0.29526	5.98451	12.39118	0.83598	8.58132	1.02938	2.35824	1.24435	1.58851	8.8751	2.26371	1.59466	2.46283	0.46099	1.5458	1.04769	3.62241	1.88545	1.93651	2.69623	3.04215	2.18772	4.37457	0.89274	7.08287	5.76836	0.46565	35.41329	0.59925	1.56949	0.92994	0.6228	33.56601
k__Archaea|p__Crenarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.10249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85386	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Melainabacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11598	0.49278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09788	0.0	0.0	0.0	0.0
k__Bacteria|p__Lentisphaerae	0.00041	0.0	0.0156	0.0	0.07878	0.0	0.0	0.0	0.20362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01096	0.0	0.0	0.0	0.0	0.00108	0.0	0.0	0.0	0.0	0.0	6e-05	0.0	0.00422	0.0	0.00189	0.00561	0.0	0.00577	0.0	0.0	0.0	0.0	0.0023	0.0	0.00809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00056	0.00594	0.00026	0.0	0.0	0.0	0.01083	0.0	0.02094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00815	0.00726	0.00019	1.02751	0.0	0.0	0.0	0.00095	0.00036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03264	0.0	0.0	0.0	0.0	0.0	0.0	0.00162	0.0	0.00297	0.0	0.0	0.02424	0.0	0.0	0.0	0.0	0.00865	0.0	0.02962	0.0	0.0	0.0021	0.0	0.0	0.0	0.0	0.0	0.00117	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Saccharibacteria	0.15053	0.04833	0.1125	0.05621	0.01079	0.01496	0.02589	0.04629	0.00125	0.01169	0.01566	0.01774	0.0155	0.68135	0.04985	0.79844	0.04364	0.00758	0.01128	5e-05	0.01152	0.13381	0.01376	0.08499	0.05278	0.0092	0.19385	0.02945	0.48205	0.02201	0.04211	0.02626	0.02406	0.0	0.08327	0.01585	0.0638	0.00505	0.04789	0.30302	0.0	0.02272	0.0	0.02175	0.11472	0.01209	0.00597	0.02163	0.10707	0.12642	0.00571	0.00298	0.01756	0.0895	0.0108	0.00329	0.02666	0.01858	0.03011	0.06872	0.00703	0.0086	6e-05	0.02043	0.00418	0.08923	0.01188	0.04235	0.01801	0.07403	0.05115	0.01334	0.11216	0.00349	0.00227	0.01213	0.06385	0.01154	0.0124	0.03368	0.0001	0.04453	0.00035	0.0	0.02999	0.0247	0.03072	0.00155	0.00356	0.0	0.00346	0.00066	0.02499	0.00847	0.09828	0.0372	0.04304	0.03475	0.00329	0.17244	0.0	0.02342	0.00339	0.01586	0.00568	0.02809	0.01111	0.0	0.03947	0.00784	0.0	0.0	0.00754	0.01867	0.00852	0.00853	0.00771	0.01381	0.04853	0.04284	0.04133	0.03523	0.01819	0.00041	0.06435	0.0	0.00828	0.32616
k__Bacteria|p__Firmicutes|c__Clostridia	54.92493	66.87295	45.62516	66.56304	51.2703	20.17097	70.92717	27.0533	23.84621	29.38862	19.95018	36.45748	48.44183	56.57921	25.9902	57.11571	37.48858	19.07341	19.90103	10.16438	20.88935	33.10595	26.2212	24.29042	28.38633	32.18877	55.38685	55.20681	64.25391	8.7818	59.23171	42.51881	64.78732	44.45047	17.04458	53.40391	70.94542	46.05609	64.82668	84.04918	23.89172	76.6763	36.61035	63.32607	75.60492	61.85151	48.74077	66.4137	22.2773	5.32793	62.73017	19.49071	28.75292	50.13456	69.10813	53.48978	24.68557	48.21759	7.24817	32.68431	81.02173	65.14381	40.78407	46.94487	38.86074	82.88324	51.87643	71.50336	58.23732	60.72121	46.60274	56.535	87.59491	33.64461	67.44624	16.05818	77.35097	64.17386	58.30516	43.75497	35.32638	54.56461	54.41594	65.47903	52.54617	42.21009	43.6615	61.01704	59.33003	60.06437	75.87162	44.18957	47.52799	58.64414	12.65418	81.04647	47.64019	48.47666	22.69179	65.37325	57.3039	59.38305	55.45541	67.54574	17.64854	52.3996	42.37741	36.97646	40.51626	54.53867	37.40619	42.25915	50.24761	53.91948	22.27297	23.56354	31.23357	24.4972	53.3616	36.74168	48.29564	25.27083	50.05994	86.54743	73.58276	48.29057	81.54086	29.61869
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	7.6413	19.21387	6.62711	18.29123	9.70899	75.72748	3.53246	33.09542	42.7301	35.67699	60.47248	39.41427	21.25438	15.94735	39.75152	3.51078	47.00517	46.08257	54.73073	4.50253	44.27146	33.14763	47.85365	1.71597	54.66945	38.70738	13.20711	13.03654	2.37617	67.53121	24.95038	21.30202	1.65047	44.55815	53.09979	28.2667	17.19362	32.69681	5.9428	8.35047	65.51779	14.24807	29.41776	8.65726	1.19087	16.87162	33.35615	5.72549	49.27785	0.11609	21.62649	67.34728	55.03039	10.76195	10.18067	39.13995	62.57777	19.22357	82.27593	50.14763	9.49724	25.04303	17.69203	5.03935	51.46629	6.89112	37.77713	4.15063	9.77262	11.95969	39.6196	23.59553	2.8917	45.93623	21.725	58.03454	10.36374	15.60849	17.06352	16.65923	55.22836	27.32393	31.42432	25.40028	37.07879	49.48446	5.06117	27.43064	22.42112	32.0323	10.89602	45.01732	12.84359	26.40285	58.42599	11.95129	34.48671	16.04738	11.72093	15.02821	36.70438	27.49402	6.8406	20.22512	49.31489	41.39584	40.96985	52.66779	13.48403	26.56944	51.8411	49.51363	42.06638	5.64247	67.86527	64.7167	61.12047	64.20737	31.82761	21.65748	32.5784	62.79317	0.26736	5.65866	1.5572	33.06303	12.03241	9.48462
k__Bacteria|p__Firmicutes|c__Bacilli	7.81333	0.22669	1.07081	0.57984	27.81194	0.07212	2.40746	0.17012	0.01728	6.26128	0.72342	8.99976	0.449	1.46891	1.00059	0.2962	0.13545	0.50468	0.15115	0.06803	3.01169	0.21965	0.2209	0.18685	1.34961	2.27605	12.15578	0.20081	12.23672	0.19593	1.53968	0.3249	2.87898	0.10948	0.90978	0.23206	0.27366	1.38377	21.07317	2.48331	1.19774	0.3734	0.11606	4.29483	1.29037	0.02486	2.96139	6.52884	2.15654	0.23358	4.80793	0.22808	0.72439	0.35815	0.27909	0.38308	0.4954	0.16809	0.32789	0.21912	0.14347	0.38902	1.22838	41.79922	3.92033	0.23592	0.33022	0.50587	2.21388	4.15612	1.75938	1.11279	1.08352	0.25222	1.5195	0.04692	1.38454	6.03114	2.12966	5.35959	3.29051	11.21567	1.83489	0.01202	0.0791	0.30993	0.7147	5.34896	6.7886	0.18665	3.2113	5.62803	12.43867	0.18665	1.52296	2.24323	0.66835	16.48802	27.44689	5.31786	1.74525	1.50671	2.95698	0.26829	1.83074	0.49075	2.8353	0.0731	0.46861	1.0196	3.67003	0.87043	0.09812	16.20865	0.47389	0.17218	1.04182	0.24193	1.04128	0.71013	6.75811	0.24911	0.27128	1.86974	0.57586	0.45938	1.41133	2.17288
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.64257	0.26233	20.9132	1.60654	4.14171	0.04265	8.75483	13.08352	0.10932	0.07645	8.83707	0.18182	20.25902	1.00266	0.92317	6.38018	0.06214	0.15053	1.39607	0.01505	14.08723	10.5093	0.72853	0.52518	2.59871	18.03724	6.70856	18.20705	4.23731	0.28967	1.71956	9.87391	4.86315	0.28337	0.18947	0.01674	0.03233	0.10729	0.98542	0.08271	0.56977	1.78727	0.59666	4.53629	5.22098	2.17731	0.05211	0.5571	0.90791	0.45317	0.56983	0.6952	0.34671	3.75485	8.69367	0.02894	0.25626	0.6419	5.91348	2.7671	0.52984	1.37252	1.01716	0.82605	0.68022	2.24868	0.16296	2.72979	14.00296	8.9961	1.82455	4.56186	0.82876	6.9346	0.06444	0.34103	4.40718	1.33866	3.38754	3.06969	0.18703	0.89378	1.00833	0.00228	1.23703	0.22526	0.00392	0.2127	0.03489	0.01832	0.38972	0.39849	2.00463	0.07903	0.0869	1.87961	0.86051	0.15177	5.75971	1.79667	0.01295	3.0237	7.60096	1.23225	1.63355	0.35357	3.98358	0.00343	12.60297	1.49848	0.03134	0.2733	0.01056	3.99224	0.472	0.83218	0.03567	0.01849	0.07263	2.17425	1.41423	1.79182	3.57569	0.01099	0.26821	1.05588	0.0565	6.44139
k__Bacteria|p__Firmicutes|c__CFGB1340	0.0	0.7891	0.0	6e-05	0.0	0.00099	0.00071	3e-05	0.0	0.2438	0.0	0.0002	0.0	0.02929	0.00088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00032	0.0	0.0	1.38836	0.0	0.0	0.0	0.00443	0.0	0.0	0.00063	0.00018	0.08196	0.0	8e-05	0.0	0.0	0.0	0.00037	0.0	0.0	0.00046	1.21927	0.0	0.0219	0.00455	0.00058	2.66226	0.00019	0.0	0.0	3e-05	0.0	0.0	0.0	0.00046	5.12966	0.0	0.92206	1.41864	8e-05	0.0	0.0	0.0	0.0	2.29883	3.13768	1.66995	0.0	0.65948	0.0	3e-05	0.0	0.0	3.58186	0.0	0.0	0.0	0.0	0.0	0.00048	0.0	0.44384	0.0	0.0	1.20721	0.09503	0.0	0.71096	0.00147	0.0	0.00263	0.50555	0.0	0.0	0.0	0.0	0.0	0.0	5e-05	4.36314	0.00144	0.00019	0.00059	0.26086	0.0	0.37351	0.0	0.0	0.0	0.0	0.0	0.0	0.25577	0.75235	4.85755	0.01819	1.13259	0.0	0.00734	0.0	0.12458	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	1.37357	0.55898	10.42577	2.69188	0.23048	0.9021	4.76455	0.20865	0.21757	0.55807	0.52602	0.37062	0.42336	1.81202	4.03952	2.85256	1.30911	0.40588	1.96752	0.00175	1.39628	0.6155	1.82555	0.58839	1.02932	1.41591	1.12658	0.99807	4.5098	0.0403	3.70541	3.87241	0.39153	0.31624	2.17561	1.17873	2.44159	0.28832	1.41551	0.08818	0.48259	1.00199	0.53992	1.492	1.25473	1.0125	0.05436	1.04534	3.27389	0.35604	1.26849	0.23311	0.10545	1.30722	2.69174	0.30547	0.66647	0.73392	0.09483	4.0613	0.81589	0.67296	0.23758	0.58976	0.16792	0.7849	0.12061	0.76922	2.50928	1.91176	0.30239	1.28584	1.07871	0.15016	0.27564	0.02401	1.45109	0.2261	1.15116	1.15761	0.10025	0.14452	0.36134	0.66672	0.19554	0.14045	0.34497	0.16693	0.42262	0.16645	0.44419	0.05736	0.74374	0.10876	0.03843	0.6585	1.18418	2.46079	4.05308	0.66825	0.22878	1.05909	2.0831	0.89972	0.36316	0.15354	1.21397	0.16697	1.76395	1.8628	0.44813	1.64796	0.72283	2.32558	0.49097	0.72959	0.35138	0.03187	0.12924	0.92321	0.4898	0.73373	4.76946	0.62811	6.22009	0.75452	1.27698	7.7651
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	12.51466	6.07874	0.011	3.45343	3.93722	0.00606	0.00366	0.00287	0.01007	0.89088	0.00194	0.01273	0.02306	0.00633	0.01575	22.7179	0.07366	0.06892	3.73937	72.84925	0.00401	0.14734	0.00451	0.00838	0.00135	0.56946	0.40561	0.62826	0.101	0.0	0.0004	0.00715	0.0	0.0	0.00146	0.00532	3.74562	14.10812	0.27853	0.0	0.0	0.14586	0.00047	0.0	0.02384	13.21297	3.61281	0.28833	0.0	0.0	0.05367	2.66687	0.0	0.00099	2.85302	0.0	0.00091	0.0	0.0	0.77047	0.00158	0.0	0.03164	0.0	0.07974	0.00842	0.49228	0.0	0.0	0.16211	1.13221	0.05253	0.0	0.0	0.38422	0.47465	0.0	0.16981	0.0	0.0	0.20645	0.00139	1.15687	0.0	0.0	0.0	0.0349	0.00032	0.25487	0.06258	0.01661	0.0	0.0	0.0	0.0	0.0	6.11903	0.00732	0.0	0.0	0.0	0.0	0.0	0.0	6.81567	0.04625	0.0	0.0	26.98282	2.93897	0.00395	0.0	0.03063	8.89404	0.0	0.00351	0.00561	2.18944	0.0	0.53053	0.0	0.0	0.02619	0.14517	0.96303	0.0	0.0	0.03764
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.82167	0.0	8.80048	0.00092	0.0	0.00089	0.0	0.0	0.00011	0.00011	0.0	1.16331	0.016	0.0	0.0	0.00758	0.0	0.02276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93661	0.0	0.0	0.08476	0.0	0.0	0.40943	0.0	0.0	0.0	0.0	0.0	0.0	0.19178	0.0	0.0	0.0	0.0	0.09821	0.0	0.00011	0.0	0.0038	0.0	0.03515	0.0	0.0	0.00341	0.01858	0.0	0.0	0.0	0.0	0.35205	0.1469	0.00063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.14837	0.0	0.0	0.0	0.44174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01458	0.0	0.0	1.03773	0.00079	0.0	0.0	0.02183	0.0	2.43486	0.00028	0.00242	0.03543	0.0	0.00772	0.00264	2.26842	0.0	0.004	0.0	0.0	0.0	0.0	0.00288	0.0	0.03478	0.0	0.0	0.02586	0.0	0.0
