clade_name	Sample_S25268_MU-9916	Sample_S25336_MU-1282	Sample_S25337_MU-9360	Sample_S25338_MU-6132	Sample_S25339_MU-4256	Sample_S25340_MU-5572	Sample_S25341_MU-7283	Sample_S25408_MU-3011	Sample_S25342_MU-5135	Sample_S25409_MU-2550	Sample_S25343_MU-8248	Sample_S25410_MU-3994	Sample_S25344_MU-5424	Sample_S25345_MU-3721	Sample_S25346_MU-3286	Sample_S25411_MU-6873	Sample_S25347_MU-8242	Sample_S25412_MU-1462	Sample_S25348_MU-4151	Sample_S25349_MU-6200	Sample_S25350_MU-1895	Sample_S25413_MU-1401	Sample_S25351_MU-2948	Sample_S25352_MU-6910	Sample_S25353_MU-2628	Sample_S25354_MU-1287	Sample_S25355_MU-9106	Sample_S25414_MU-4348	Sample_S25356_MU-2950	Sample_S25357_MU-9940	Sample_S25358_MU-4351	Sample_S25359_MU-2536	Sample_S25360_MU-9775	Sample_S25361_MU-4152	Sample_S25362_MU-1464	Sample_S25272_MU-3467	Sample_S25363_MU-1276	Sample_S25364_MU-6130	Sample_S25365_MU-7376	Sample_S25415_MU-3905	Sample_S25366_MU-5047	Sample_S25416_MU-7117	Sample_S25417_MU-3497	Sample_S25367_MU-1643	Sample_S25368_MU-2307	Sample_S25418_MU-6640	Sample_S25419_MU-2282	Sample_S25369_MU-9541	Sample_S25420_MU-7767	Sample_S25370_MU-7987	Sample_S25371_MU-6453	Sample_S25273_MU-4770	Sample_S25372_MU-9950	Sample_S25373_MU-3120	Sample_S25374_MU-4176	Sample_S25375_MU-3875	Sample_S25376_MU-5209	Sample_S25377_MU-5729	Sample_S25378_MU-5909	Sample_S25379_MU-5595	Sample_S25274_MU-1445	Sample_S25380_MU-7149	Sample_S25381_MU-4873	Sample_S25382_MU-9954	Sample_S25383_MU-8008	Sample_S25421_MU-1198	Sample_S25275_MU-7599	Sample_S25384_MU-8177	Sample_S25385_MU-2516	Sample_S25386_MU-9600	Sample_S25387_MU-5208	Sample_S25276_MU-1265	Sample_S25388_MU-5958	Sample_S25389_MU-4991	Sample_S25390_MU-2835	Sample_S25269_MU-4469	Sample_S25277_MU-9201	Sample_S25391_MU-2025	Sample_S25392_MU-9081	Sample_S25393_MU-3340	Sample_S25394_MU-6099	Sample_S25395_MU-5830	Sample_S25396_MU-2018	Sample_S25278_MU-7236	Sample_S25397_MU-3405	Sample_S25398_MU-8772	Sample_S25399_MU-8035	Sample_S25400_MU-1264	Sample_S25401_MU-7733	Sample_S25279_MU-9140	Sample_S25402_MU-4255	Sample_S25403_MU-5805	Sample_S25404_MU-4009	Sample_S25405_MU-3981	Sample_S25422_MU-5023	Sample_S25423_MU-9644	Sample_S25424_MU-5898	Sample_S25280_MU-6476	Sample_S25425_MU-4671	Sample_S25426_MU-8790	Sample_S25427_MU-1626	Sample_S25428_MU-2358	Sample_S25429_MU-6312	Sample_S25431_MU-9408	Sample_S25432_MU-1441	Sample_S25433_MU-9534	Sample_S25434_MU-6855	Sample_S25435_MU-5961	Sample_S25436_MU-3644	Sample_S25437_MU-7073	Sample_S25438_MU-3192	Sample_S25439_MU-1680	Sample_S25440_MU-9028	Sample_S25441_MU-2785	Sample_S25442_MU-4586	Sample_S25443_MU-9783	Sample_S25444_MU-3449	Sample_S25445_MU-2591	Sample_S25446_MU-9005	Sample_S25448_MU-7353	Sample_S25449_MU-9047	Sample_S25450_MU-1202	Sample_S25451_MU-9117	Sample_S25452_MU-9774	Sample_S25453_MU-1458	Sample_S25454_MU-2993	Sample_S25455_MU-8630	Sample_S25281_MU-6035	Sample_S25456_MU-9881	Sample_S25447_MU-1329	Sample_S25457_MU-1741	Sample_S25458_MU-8670	Sample_S25459_MU-7768	Sample_S25282_MU-2435	Sample_S25460_MU-2466	Sample_S25461_MU-8135	Sample_S25462_MU-5708	Sample_S25463_MU-5596	Sample_S25464_MU-3881	Sample_S25270_MU-3248	Sample_S25465_MU-6129	Sample_S25466_MU-4148	Sample_S25283_MU-4371	Sample_S25284_MU-1708	Sample_S25285_MU-4751	Sample_S25286_MU-5085	Sample_S25287_MU-9506	Sample_S25288_MU-1840	Sample_S25289_MU-6798	Sample_S25290_MU-1071	Sample_S25271_MU-6945	Sample_S25291_MU-3812	Sample_S25292_MU-9502	Sample_S25293_MU-5636	Sample_S25294_MU-3233	Sample_S25295_MU-1507	Sample_S25296_MU-8155	Sample_S25297_MU-7459	Sample_S25298_MU-7000	Sample_S25299_MU-8815	Sample_S25300_MU-5706	Sample_S25301_MU-3409	Sample_S25302_MU-2755	Sample_S25303_MU-3487	Sample_S25304_MU-2721	Sample_S25305_MU-4300	Sample_S25306_MU-9104	Sample_S25307_MU-2153	Sample_S25308_MU-3443	Sample_S25309_MU-2273	Sample_S25310_MU-3709	Sample_S25311_MU-5140	Sample_S25312_MU-4815	Sample_S25313_MU-2238	Sample_S25314_MU-8681	Sample_S25315_MU-7985	Sample_S25316_MU-8045	MU-7447	Sample_S25318_MU-2490	Sample_S25319_MU-7093	Sample_S25320_MU-4480	Sample_S25321_MU-5358	Sample_S25322_MU-4206	Sample_S25323_MU-3351	Sample_S25324_MU-6990	Sample_S25325_MU-2425	Sample_S25406_MU-6279	Sample_S25407_MU-3879	Sample_S25326_MU-3660	Sample_S25327_MU-8969	Sample_S25328_MU-4536	Sample_S25329_MU-6777	Sample_S25330_MU-1749	Sample_S25331_MU-8714	Sample_S25332_MU-7634	Sample_S25333_MU-2653	Sample_S25334_MU-3821	Sample_S25335_MU-7980	MU-1726	MU-3992	MU-3934	MU-9216	MU-6387
k__Bacteria	99.81211	99.84761	99.56616	100.0	99.2275	100.0	96.51014	100.0	100.0	96.12584	100.0	97.16718	99.10362	100.0	100.0	100.0	100.0	100.0	99.58835	99.99832	93.69221	96.6794	99.40075	100.0	100.0	99.5497	98.74165	99.87479	100.0	99.23108	100.0	99.97703	99.3804	99.33286	96.43334	100.0	100.0	98.5266	100.0	100.0	99.95794	97.86172	98.84442	97.52823	100.0	98.87505	99.10842	100.0	98.45769	100.0	100.0	100.0	100.0	100.0	98.16726	98.68018	98.40839	99.12403	100.0	99.99716	100.0	99.12862	99.99428	99.90273	100.0	99.57964	100.0	100.0	98.07212	98.63738	100.0	98.19261	98.93516	100.0	99.11783	99.69032	99.6087	96.58073	99.76662	99.79964	100.0	98.81661	100.0	100.0	98.03205	99.99616	99.9363	98.08752	99.24272	100.0	100.0	97.06528	89.5761	99.82291	98.85893	99.94336	100.0	99.99987	97.0292	100.0	99.97862	99.01894	99.57756	100.0	99.70181	99.7524	99.62708	97.74427	100.0	99.53302	100.0	100.0	97.73435	97.41115	99.9773	93.03438	100.0	99.96231	100.0	99.08277	99.04794	98.73287	99.78248	98.74108	100.0	100.0	100.0	99.99984	99.99806	99.50557	99.99627	100.0	100.0	100.0	100.0	99.0548	99.9993	100.0	100.0	97.80515	100.0	100.0	100.0	99.56599	99.69509	96.0908	99.72017	98.50562	96.76467	100.0	100.0	100.0	100.0	100.0	99.53035	100.0	99.58859	98.71684	100.0	99.44371	96.9434	98.65327	99.97337	98.82679	100.0	98.88348	100.0	100.0	100.0	99.61005	99.97962	99.99714	99.87298	99.18948	100.0	99.98543	100.0	99.9929	99.55693	100.0	98.38669	99.68121	99.96422	94.75902	97.40963	99.71853	100.0	99.03464	100.0	100.0	93.71676	98.45252	99.83225	100.0	97.8845	100.0	98.3676	100.0	100.0	99.97359	100.0	100.0	100.0
k__Archaea	0.18789	0.15239	0.43384	0.0	0.7725	0.0	3.48986	0.0	0.0	3.87416	0.0	2.83282	0.89638	0.0	0.0	0.0	0.0	0.0	0.41165	0.00168	6.30779	3.3206	0.59925	0.0	0.0	0.4503	1.25835	0.12521	0.0	0.76892	0.0	0.0	0.6196	0.66714	3.56666	0.0	0.0	1.4734	0.0	0.0	0.04206	2.13828	1.15558	2.47177	0.0	1.12495	0.89158	0.0	1.54231	0.0	0.0	0.0	0.0	0.0	1.83274	1.31982	1.59161	0.87597	0.0	0.0	0.0	0.87138	0.00572	0.09727	0.0	0.42036	0.0	0.0	1.92788	1.36262	0.0	1.80739	1.06484	0.0	0.88217	0.30968	0.3913	3.41927	0.23338	0.20036	0.0	1.18339	0.0	0.0	1.96795	0.00384	0.0637	1.91248	0.75728	0.0	0.0	2.93472	10.4239	0.0	1.14107	0.05664	0.0	0.00013	2.9708	0.0	0.0	0.98106	0.42244	0.0	0.29819	0.2476	0.37292	2.25573	0.0	0.46698	0.0	0.0	2.26565	2.58885	0.0227	6.96562	0.0	0.03769	0.0	0.91723	0.95206	1.26713	0.21752	1.25892	0.0	0.0	0.0	0.0	0.0	0.49443	0.00373	0.0	0.0	0.0	0.0	0.9452	0.0	0.0	0.0	2.19485	0.0	0.0	0.0	0.43401	0.30491	3.9092	0.27983	1.49438	3.23533	0.0	0.0	0.0	0.0	0.0	0.44901	0.0	0.41141	1.28316	0.0	0.55629	3.0566	1.34673	0.01554	1.17321	0.0	1.11652	0.0	0.0	0.0	0.38995	0.02038	0.0	0.12702	0.81052	0.0	0.01457	0.0	0.0071	0.44307	0.0	1.61331	0.31879	0.03578	5.24098	2.59037	0.28147	0.0	0.96536	0.0	0.0	6.28324	1.54748	0.16775	0.0	2.1155	0.0	1.6324	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes	77.33806	72.79958	75.5142	54.36007	57.15586	77.9746	66.45818	51.84414	53.53966	81.60999	43.56334	71.8337	77.72361	75.59024	47.64409	69.53756	59.57615	65.30444	79.49956	57.30035	48.99437	72.39105	69.18042	78.64291	63.76435	64.80923	46.79971	57.4589	28.11388	59.42572	59.74289	80.57964	69.20039	55.28171	62.09308	57.80986	64.96149	66.87382	70.03531	50.31963	80.85579	68.57404	71.96484	68.50452	86.18684	75.8408	59.77501	45.5901	78.3077	50.94408	77.10421	58.79301	69.33315	52.05604	68.17844	64.85527	75.34735	91.35509	52.68798	74.25828	72.48161	74.41396	63.15196	60.44948	73.36224	79.92037	74.67373	44.03097	73.9964	68.10628	75.92018	67.25843	67.90449	71.41105	65.95942	58.76322	62.45941	68.69484	56.3972	56.97986	65.296	83.38789	62.05486	73.28679	67.75495	70.28855	50.91662	64.48296	82.65096	68.16735	63.54681	74.88745	23.74207	95.51133	81.28082	75.91954	63.75704	76.10015	64.20573	41.78448	41.01013	49.68751	70.67415	72.8852	60.78213	76.15404	53.3933	63.16387	61.08976	56.58537	53.01862	90.40435	70.37467	65.55672	75.64792	81.17327	52.6716	76.42944	56.16859	65.77189	52.67894	65.21084	81.91343	73.50812	73.20266	68.70459	43.45583	74.86068	70.79251	61.76379	72.85945	59.17856	88.59316	67.1796	70.92999	71.77972	75.65188	59.85	86.71972	38.50043	86.38806	49.22725	65.30474	20.28227	57.4395	79.48168	73.25915	74.05513	71.52082	66.60403	70.40026	56.50632	52.00396	55.99474	59.91067	73.53531	62.56413	59.62484	40.29123	64.59451	73.06053	70.64833	59.03472	55.67758	75.05684	77.85909	23.81482	74.21286	60.77569	44.77219	72.26342	49.39883	63.46211	49.18024	36.04988	75.75453	68.79752	70.04324	59.9319	55.23784	61.45145	46.52253	65.05269	20.0459	75.98841	80.67067	77.20017	63.3123	48.41593	72.45461	61.66984	73.81952	62.05498	46.66663	66.35578	54.42034	44.72686	55.65496	79.95446	87.3453	55.71807	64.1723	56.956
k__Bacteria|p__Bacteroidetes	16.85303	20.68321	7.56908	20.05532	24.62611	5.29763	9.9278	41.35687	32.75622	8.4565	37.72655	14.59189	6.10448	16.07963	37.6458	22.21275	32.20536	26.25645	15.94479	22.3801	40.82963	13.14505	24.12217	15.13437	20.34651	23.22857	3.33056	30.12951	62.76961	34.45465	31.61232	15.04078	18.18214	39.19382	24.75681	24.44251	23.12685	22.05629	20.79983	9.33276	11.13524	16.85956	17.69272	8.28959	11.17486	15.26216	30.2729	51.33774	4.99232	36.86736	18.307	23.35219	16.29585	30.12127	11.80814	18.22857	17.52129	4.15792	14.98194	0.88215	25.77204	16.00455	32.26543	30.31542	11.83214	12.10546	20.20407	42.07945	16.69134	22.59828	8.79113	16.7732	12.19089	22.35885	28.61851	26.10649	18.61632	17.52477	40.78011	24.35645	18.53061	7.03844	13.52903	19.74971	22.94608	17.99875	14.37979	13.6719	9.52597	22.55011	29.53299	13.92996	61.66652	0.52353	12.9297	13.7002	25.07096	3.05392	6.13056	1.24949	47.82556	28.63282	10.15416	15.23271	30.44241	20.44113	31.63291	10.9403	30.40862	34.6426	33.91052	2.67108	19.34952	15.67704	19.84389	2.62814	35.617	17.48827	31.80899	19.50545	35.66096	18.10783	9.98084	11.45449	20.58032	20.47602	42.73547	21.16387	9.45221	28.50268	14.72388	18.79845	7.70066	29.34637	18.34796	20.42869	13.15082	33.07392	7.14782	22.00298	10.33141	38.22265	22.83789	8.75299	21.6638	6.67617	18.99745	8.0006	7.06945	1.40414	23.03307	30.42172	11.26332	36.90477	32.49038	22.81706	22.75383	17.3016	6.65068	25.27719	13.6365	18.43042	26.02254	32.93807	15.77049	11.9335	20.15568	16.1655	12.06739	38.99262	22.69551	36.85755	22.95176	34.14859	49.32391	17.4356	14.71517	15.49021	34.61443	23.00624	5.75097	30.00555	13.11589	8.55695	9.56825	14.493	18.5489	22.10568	41.84786	17.50337	19.53284	16.57132	11.83082	28.48982	12.57908	22.43466	41.13059	39.15339	15.87089	0.0	29.04543	28.5974	25.30611
k__Bacteria|p__Actinobacteria	5.20237	4.81675	11.89298	4.62868	13.32538	11.29377	13.99392	2.46748	2.48431	2.05726	17.45235	7.93065	10.92462	5.62352	5.84341	5.81028	4.66699	4.6978	1.87632	17.63431	3.29435	8.58114	3.55007	6.22271	3.2449	4.83764	47.28141	5.3296	0.51197	3.31455	5.46313	1.99277	7.78734	2.15877	6.64242	14.9342	5.63064	7.21185	8.32004	2.32872	7.3613	6.39011	7.10777	2.36548	1.17493	4.06296	4.07741	2.51888	12.6094	7.15026	3.61444	15.28744	13.59848	11.14091	7.81298	1.67836	2.67767	3.50707	32.00022	6.98263	1.59328	4.74445	1.42926	6.92496	12.99005	6.23359	0.64395	12.22215	1.66361	3.33048	15.02302	9.04093	7.76869	3.43068	1.92793	13.87119	17.35205	4.36604	1.49838	3.70679	12.06804	7.56275	18.24984	4.08545	3.30552	9.3459	34.50957	9.94968	5.38914	4.22486	6.3063	6.41184	1.74864	0.69429	1.81409	9.13524	7.47433	20.2367	22.8373	56.25622	2.30589	3.93481	14.52943	7.18157	3.93604	2.4044	11.52176	17.5887	2.93425	0.9671	6.80649	6.36708	4.83261	11.01814	2.56218	8.61676	5.01258	3.72186	6.05908	4.5043	4.73632	1.12315	5.34473	7.3275	3.47241	5.97242	4.66336	1.09767	13.78648	4.42329	1.55819	16.55487	2.62283	2.38415	9.51583	4.69408	7.49436	2.64092	4.92212	31.25883	1.24718	10.78443	4.95531	64.66035	13.99087	8.28649	4.30789	14.12534	13.74286	6.71506	2.31375	3.84501	31.23927	1.62989	6.27698	2.049	10.84906	20.82685	51.73281	4.62184	7.40831	1.6011	13.60547	4.27182	8.71971	2.5443	9.77062	7.1061	4.85228	11.35723	3.47979	8.50697	11.9416	4.58551	10.85687	6.07076	15.3267	11.55443	2.64234	21.3232	24.96774	20.8622	21.16904	65.61489	5.045	2.32091	3.10535	11.28045	6.19754	5.88075	8.53684	5.98652	25.40963	14.86376	17.47458	7.2176	2.29207	3.47735	2.5017	2.35072	4.78187	5.55475	13.48473
k__Bacteria|p__Verrucomicrobia	0.0138	0.0167	0.68981	4.4467	0.99588	1.6571	4.10204	3.66377	10.23204	1.71194	0.07827	0.85316	2.61919	0.91507	4.6109	0.10864	0.00332	0.0	0.63789	0.06285	0.03167	0.97486	0.25694	0.0	1.53947	0.50276	0.12953	0.1529	0.0	0.0	1.30475	0.0	2.0002	1.45589	0.0	0.26166	1.85929	0.95697	0.18537	0.0	0.04983	2.72587	0.0	11.50082	0.58706	0.01425	2.13856	0.0	0.63974	0.03535	0.0	0.2548	0.0	2.22452	5.85144	8.99175	1.57038	0.0	0.0	0.0	0.0	0.0	0.27833	0.0	0.0	0.67232	0.0	0.00044	1.61343	1.07631	0.00906	2.13764	6.49854	0.34319	0.0545	0.33558	0.30131	3.85336	0.0	13.79153	0.0023	0.20198	3.72978	0.0	0.28218	0.0	0.0	7.48987	0.02349	0.0	0.0	0.29093	0.23523	0.0	1.1199	0.18761	0.05672	0.0	1.16453	0.57175	0.0	14.28752	0.3717	1.84713	2.55393	0.0	0.46919	0.03705	0.0	1.0389	1.58457	0.02118	0.00454	3.01369	0.05884	0.0	0.0	0.02081	0.25274	0.00626	0.07348	2.85724	0.909	3.15019	1.29598	0.06712	2.21773	1.26096	0.00938	0.36796	2.8797	0.00405	0.56367	0.06562	0.00382	0.01207	0.67776	0.0	0.0	3.43476	1.62849	0.0	0.0	1.90601	0.32934	0.93193	0.67498	1.90541	1.21639	0.0	1.10244	6.34138	1.25573	0.48507	0.0045	0.0	1.4411	0.01776	0.72731	0.0	0.22728	0.04142	0.0	0.7586	0.0	5.3502	44.25386	2.38936	20.67847	0.49285	0.2958	0.0	0.01701	5.2141	0.0	0.0	0.0	0.00589	0.0	0.0	4.15703	1.00876	0.03411	0.0	4.33081	0.34343	0.01131	0.0	1.74753	1.51565	0.44309	1.0131	0.10918	0.0	0.62147	1.32277	5.71711	0.0	0.8928	0.0	0.0	0.0	0.03021
k__Archaea|p__Euryarchaeota	0.18789	0.15239	0.43384	0.0	0.7725	0.0	3.48986	0.0	0.0	3.87416	0.0	2.83282	0.89638	0.0	0.0	0.0	0.0	0.0	0.41165	0.00168	6.30779	3.3206	0.59925	0.0	0.0	0.4503	1.25835	0.12521	0.0	0.76892	0.0	0.0	0.6196	0.66714	3.48626	0.0	0.0	1.4734	0.0	0.0	0.04206	2.13828	1.15558	1.88199	0.0	1.12495	0.89158	0.0	1.35213	0.0	0.0	0.0	0.0	0.0	1.83274	1.31982	1.59161	0.87597	0.0	0.0	0.0	0.62373	0.00572	0.09727	0.0	0.42036	0.0	0.0	1.80269	1.36262	0.0	1.80739	1.06484	0.0	0.88217	0.30968	0.3913	3.37473	0.23338	0.0	0.0	1.18339	0.0	0.0	1.92348	0.00384	0.0637	1.91248	0.75728	0.0	0.0	2.93472	10.38015	0.0	1.14107	0.05664	0.0	0.00013	2.9708	0.0	0.0	0.98106	0.42244	0.0	0.29819	0.03104	0.37292	1.95496	0.0	0.46698	0.0	0.0	2.26565	2.03729	0.0227	6.96562	0.0	0.03769	0.0	0.91723	0.88997	0.0	0.21752	1.25892	0.0	0.0	0.0	0.0	0.0	0.39954	0.00373	0.0	0.0	0.0	0.0	0.9452	0.0	0.0	0.0	2.19485	0.0	0.0	0.0	0.43401	0.29772	3.71315	0.27983	1.49438	3.23533	0.0	0.0	0.0	0.0	0.0	0.44901	0.0	0.40727	1.28316	0.0	0.55629	3.0566	1.34673	0.01554	1.17321	0.0	1.11652	0.0	0.0	0.0	0.38995	0.02038	0.0	0.12702	0.81052	0.0	0.01457	0.0	0.0071	0.44307	0.0	1.61331	0.21966	0.03578	5.24098	2.59037	0.28147	0.0	0.96536	0.0	0.0	6.28324	1.54748	0.16775	0.0	2.00311	0.0	1.6324	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria	0.39531	1.52504	3.72078	15.79621	2.48185	3.76884	1.81751	0.64178	0.98329	1.98491	1.17824	1.25301	0.89177	1.77474	3.65921	1.48357	2.20549	3.51626	1.62511	1.5644	0.45334	1.04713	0.7253	0.0	10.94258	1.13828	1.20044	4.13501	7.74188	1.70486	1.81856	1.37998	1.26073	1.0882	2.79817	2.54754	4.38719	1.16335	0.65945	37.90585	0.55409	2.01568	1.94661	6.17676	0.78568	3.18344	1.64371	0.55328	1.78213	4.99833	0.97435	2.30881	0.43347	3.29451	3.66039	4.29407	1.20622	0.00901	0.32987	17.85246	0.15161	2.72464	2.86203	2.20936	1.73346	0.61915	4.06358	1.66064	3.24522	0.82103	0.22869	0.79189	2.4269	2.26984	2.5022	0.57926	0.58062	1.92485	1.08595	0.965	3.22043	0.52109	2.3136	2.83885	1.58874	2.32569	0.10644	2.06842	1.33416	4.46183	0.49648	0.94676	1.35112	3.09111	1.31079	0.96505	1.35311	0.60605	1.47038	0.12278	8.83704	2.19176	3.6665	2.50333	1.80466	0.75283	2.12557	3.38639	2.90151	6.04421	4.66303	0.50651	3.15323	1.95758	1.73484	0.59331	2.48195	2.11233	5.70815	5.07069	2.30396	5.03012	1.55527	2.64407	1.4309	3.64927	6.80531	1.23348	5.95026	4.05114	7.63602	5.4554	0.51742	0.96002	1.17061	1.40051	3.01444	2.15399	1.05957	0.48914	0.39938	1.76567	4.59615	0.69001	4.83284	0.57309	2.03732	0.39921	1.55937	6.51965	0.52684	2.56194	1.60308	4.98554	0.54595	1.48746	1.51527	0.94545	0.52097	4.86433	2.50996	6.88633	1.09484	1.37502	0.36085	1.14564	2.00392	0.12618	1.50496	2.53032	0.91727	4.85554	1.42804	5.74083	3.76634	0.61841	1.16062	2.89845	2.32316	0.405	1.64206	0.99283	0.5925	0.37897	1.08437	1.89052	1.05497	2.01662	1.75901	2.23182	3.05166	0.71238	0.42763	9.94109	0.64934	14.2579	1.80826	1.7052	0.50707	9.64435	9.04809	1.49165	1.654
k__Archaea|p__Crenarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24765	0.0	0.0	0.0	0.0	0.0	0.0	0.12519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55155	0.0	0.0	0.0	0.0	0.0	0.0	0.06208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Melainabacteria	0.0	0.0	0.1214	0.0	0.11907	0.0	0.0	0.0	0.0	0.05873	0.0	0.01528	0.39639	0.00865	0.59658	0.57684	1.2427	0.0	0.0	0.0	0.0	0.00971	0.02045	0.0	0.0	0.16942	0.0	0.0	0.0	0.0	0.0	0.0	0.01731	0.0	0.04228	0.0	0.0	0.05435	0.0	0.00466	0.0	0.1424	0.0	0.0	0.06941	0.21474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.02042	0.00374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36737	0.0	0.02024	0.00972	0.0	1.83174	0.00043	0.12332	0.0	0.0	0.01794	0.0	0.0	0.0	0.00077	0.08466	0.0	0.0	0.44736	0.0	0.0	0.0	0.30505	0.0	0.0	0.02856	0.0065	0.0	0.28602	0.0	0.0359	0.0	0.13076	0.0125	0.0	0.0	0.08536	0.11295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01863	0.0	0.0	0.12862	0.0105	0.0	0.13706	0.0	0.03598	0.3706	0.2339	0.00243	0.11744	0.0	1.10841	0.0	0.38076	0.0	0.0	0.00559	0.0	0.0	0.00208	0.0	0.53606	0.0	2.22028	0.0	0.0	0.00548	0.0	0.11484	0.0	0.9422	0.0	0.1674	0.01117	0.0	0.0	2.61744	0.31805	0.21876	0.0	0.0	0.0	0.0569	0.0	0.0761	0.0	0.0	0.00024	0.0	1.00093	0.0	0.0	0.0	0.0	0.0	0.0	0.31093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27737	0.0	0.0	0.0	0.00324	0.0	0.0	0.0	0.0	0.38325	0.0	0.0	0.0	0.0	0.0	0.20192	0.35552	0.0	0.13566	0.0	0.0	0.17376	2.54249
k__Bacteria|p__Lentisphaerae	0.00699	0.00632	0.00349	0.0	0.07672	0.0	0.19528	0.0	0.0	0.2465	0.0	0.20669	0.25684	0.00014	0.0	0.01288	0.02952	0.02064	0.0	0.02144	0.0212	0.11424	1.51439	0.0	0.0	0.32317	0.0	0.01443	0.0	0.0	0.03558	0.0	0.1485	0.03111	0.07316	0.0	0.0	0.12396	0.0	0.0	0.0017	0.20843	0.04542	0.67951	0.0	0.0512	0.01444	0.0	0.11573	0.0	0.0	0.0	0.0	0.09035	0.55535	0.10043	0.05752	0.0	0.0	0.0	0.0	0.04247	0.0	0.0	0.0	0.0	0.0	0.0	0.15368	0.02647	0.0	0.26761	0.0	0.01251	0.0	0.03433	0.05078	0.00112	0.0024	0.0	0.0	0.01981	0.0495	0.0	0.00355	0.01501	0.00653	0.24678	0.00285	0.0054	0.0	0.24095	0.06952	0.0	0.11499	0.00494	0.0	0.0	0.0025	0.0	0.0	0.06681	0.0	0.00434	0.18263	0.0	0.2289	0.03321	0.0	0.0	0.00657	0.0	0.00189	0.00582	0.0	0.00248	0.0	0.0473	0.0	0.12647	0.05232	2.9876	0.0	0.24668	0.0	0.00203	0.09724	0.0	0.0	0.28494	0.0	0.0	0.0	0.06216	0.0	0.02375	0.0	0.05178	0.0	0.03764	0.0	0.0	0.0103	3.27415	0.25269	0.05522	0.21868	0.0	0.00736	0.0	0.0	0.0	0.0495	0.0	0.02561	0.003	0.26109	0.0	0.00079	0.0	0.08566	0.00575	0.0	0.97309	0.0	0.02961	0.0	0.0	0.0	0.0	0.01533	0.0	0.01127	0.19336	0.0	0.01204	0.0	0.0	0.00721	0.0	0.0	0.02098	0.0	0.0	0.39408	0.0	0.0	0.09637	0.00587	0.00141	0.48248	0.00864	0.0	0.0	0.03874	0.08021	0.03838	0.00773	0.0	0.0	0.07959	0.00783	0.02344
