# Pathway	GupDM_JP	GupDM_JG	GupDM_A4	GupDM_JM	GupDM_A13	GupDM_JK	GupDM_JI	GupDM_A7	GupDM_A2	GupDM_A_11	GupDM_JC	GupDM_JN	GupDM_JJ	GupDM_JO	GupDM_A1	GupDM_JE	GupDM_A12	GupDM_JL	GupDM_A14	GupDM_A8	GupDM_A3	GupDM_A10	GupDM_A5	GupDM_A_15	GupDM_JH	GupDM_JD	GupDM_A9	GupDM_A6	GupDM_JB	GupDM_JA	GupDM_HAK	GupDM_HAJ	GupDM_HAI	GupDM_HAH	GupDM_HAG	GupDM_HAL	GupDM_HAM	GupDM_HAN	GupDM_HAO	GupDM_HAP	GupDM_HAR	GupDM_HAT	GupDM_HDF	GupDM_HDB	GupDM_HCY	GupDM_HCL	GupDM_HCU	GupDM_HCV	GupDM_HCQ	GupDM_HCR	GupDM_HCS	GupDM_HCT	GupDM_HCM	GupDM_HCN	GupDM_HCO	GupDM_HCP	GupDM_HP	GupDM_HS	GupDM_HR	GupDM_HBR
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.29897e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1CMET2-PWY: folate transformations III (E. coli)	0.00908157	0.00876321	0.00881204	0.0111744	0.00453097	0.0123181	0.00988636	0.00584317	0.0144715	0.00544207	0.0111655	0.0112664	0.0106651	0.00963957	0.00480799	0.01266	0.00481018	0.0140316	0.00809279	0.00357174	0.00994366	0.00468954	0.0104812	0.00361081	0.0113491	0.00932042	0.00664667	0.0117883	0.0109968	0.0138203	0.00925356	0.00949011	0.00907503	0.00555124	0.00752683	0.00798609	0.00770982	0.00870728	0.00833473	0.00687269	0.00281429	0.00650559	0.00970808	0.00757533	0.00656923	0.00728665	0.00844098	0.00806533	0.0077046	0.0109065	0.0100386	0.00435892	0.00818657	0.0095459	0.00898142	0.00804792	0.00857382	0.00941632	0.00754936	0.00762681
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0.0	0.0	0.0	0.0	0.000742767	0.0	0.0	0.000930911	0.0	7.80381e-05	0.0	0.0	0.0	0.0	0.000405815	0.0	0.000753348	0.0	0.0	0.0	0.0	0.000423834	0.0	0.0	0.0	0.0	0.000696816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000181064	0.000486634	0.0	0.0	0.000125841	0.0	0.000189127	0.0	0.0	0.000366132	0.0	0.000294588	0.0	0.0	2.48268e-05	0.0	0.000177468	8.84702e-05	0.0	0.0	0.000147726	0.0	0.0	8.37854e-05	0.0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0.0	4.18282e-05	0.0	9.85493e-05	9.60283e-05	0.0	0.000265367	0.0	0.0	0.0	0.000142478	9.53152e-05	0.000388548	0.000103801	0.000311164	0.0	0.0	0.0	0.000191121	0.00113651	0.0	0.0	0.000229242	0.00100705	5.95227e-05	0.000393484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000432992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000588697	0.0	8.91958e-05	0.0	0.0	0.0	0.0	0.000245056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0.000164752	0.00025644	7.53035e-05	0.000134713	0.000356875	0.00011081	0.000262888	0.000252844	0.0	0.000197724	0.0	0.000229651	0.000149034	0.00028894	0.000146892	0.000136373	7.08258e-05	0.0	0.000296057	9.09127e-06	0.0	6.01142e-05	0.000261976	0.0	0.000166379	0.000134774	0.0	0.0	0.000298683	0.0	0.0	0.000180995	0.0	0.0	0.0	0.000160135	0.00059712	0.0	0.0	0.0	0.0	0.000126438	9.97665e-05	0.0	0.0	0.0	0.000203249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANAEROFRUCAT-PWY: homolactic fermentation	0.00506256	0.00545369	0.00580512	0.00378646	0.00416128	0.00360456	0.00382138	0.00417043	0.00585891	0.00512793	0.00475566	0.00375663	0.00387622	0.00390604	0.00414067	0.00484721	0.00431856	0.00667209	0.00373345	0.00382903	0.00624324	0.00404641	0.00518591	0.00360853	0.0035615	0.00411032	0.00411823	0.00355492	0.00377793	0.00731108	0.00389001	0.00526893	0.00270343	0.003522	0.0027443	0.00411452	0.0048278	0.00581118	0.0038336	0.00429397	0.00103803	0.00277045	0.00246104	0.00503156	0.00554151	0.00196289	0.00341599	0.00133957	0.00618146	0.00281707	0.00337634	0.00351821	0.00333755	0.00532824	0.000553324	0.00477635	0.00426708	0.0032531	0.0017928899999999	0.00443059
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.00933682	0.00942074	0.00998827	0.00855408	0.00628766	0.00767046	0.00743055	0.00582074	0.0108136	0.0068573	0.00883534	0.00854061	0.00800368	0.00745186	0.00557797	0.00989474	0.00544796	0.0106272	0.00688277	0.0049328	0.0101194	0.0051262	0.00708241	0.00474696	0.00812007	0.00783259	0.0059275	0.00791866	0.00778034	0.0113095	0.00945639	0.0079768	0.00944313	0.0131166	0.0144879	0.00884467	0.008133	0.00942574	0.00873201	0.0107346	0.00840311	0.00838389	0.0102036	0.00907622	0.00777526	0.00931225	0.00615014	0.00264287	0.00812327	0.00505485	0.00667961	0.00552305	0.00917292	0.0110282	0.00185939	0.00735693	0.00853668	0.00993404	0.0131684	0.00747187
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.00291628	0.003473	0.000275936	0.00166519	0.00328854	0.00105443	0.00241896	0.00427555	0.00151925	0.00244437	0.00165999	0.00170028	0.00252497	0.00217004	0.0033559	0.00207907	0.00431588	0.00138293	0.00236819	0.00413466	0.0	0.00404649	0.00335333	0.00411477	0.00128757	0.00233569	0.00430065	0.000780284	0.00134576	0.0	0.00120776	0.00166355	0.0	0.000761779	0.000830464	0.00198131	0.00314479	0.00156119	0.0014608	0.00136694	0.0	0.00216757	0.00183654	0.000979912	0.00294407	0.0	0.00426154	0.0	0.00227063	0.0018049	0.00143479	0.00328026	0.0021974	0.00162827	0.0	0.00235383	0.0	0.00129462	0.00120539	0.000963566
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0.000272237	0.000533705	0.0	0.0	0.000536891	0.0	0.000177096	0.00103239	0.0	0.000587912	0.0	6.58787e-05	0.000295332	0.000197863	0.000994864	0.0	0.0012521	0.0	0.000321426	0.00166758	0.0	0.000934249	0.0	0.00159032	0.0	0.00046317	0.00028238	0.0	0.0	0.0	0.0	0.0	0.0	0.000156372	0.0	0.000394501	0.000100115	0.0	0.0	0.0	0.0	0.000787448	0.0	0.0	0.000620196	0.0	0.000558988	0.0	0.0	0.0	0.0	0.000476925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0.00132356	0.00120504	0.00100037	0.00467867	0.0013294	0.00464042	0.00297979	0.000948315	0.00117358	0.0014957	0.00400531	0.00501738	0.00245223	0.00322325	0.00257198	0.00188238	0.00224055	0.000672687	0.00486875	0.00312882	0.00549874	0.00223343	0.000920128	0.00334762	0.00692722	0.00319249	0.00489415	0.00533537	0.0041638	0.000635629	5.02008e-05	0.00657333	0.0002804	0.000392025	0.000601297	0.000370236	0.00092895	0.00518654	0.00104154	0.000571251	0.0	0.00116332	0.0075011	0.00125208	0.00238394	7.485e-05	0.00107741	0.000328111	0.00508219	0.000744372	0.000142933	0.000320575	0.000667148	0.00126713	0.0	0.00283569	0.0	0.000357487	0.00337059	0.000868803
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.00648236	0.00729385	0.0120473	0.00307273	0.0052164	0.00304086	0.00469616	0.00543045	0.00677075	0.00348281	0.00410996	0.00320717	0.00438992	0.00456592	0.00481925	0.00475266	0.00562374	0.0105924	0.00259318	0.00614279	0.00702281	0.00524387	0.00683169	0.00641169	0.00202692	0.00442331	0.0062925	0.00774142	0.00492136	0.0111291	0.00531893	0.00587758	0.00401396	0.00452509	0.00250502	0.00644919	0.00644475	0.0059878	0.00401763	0.00297031	0.00056154	0.00350664	0.00326927	0.0067163	0.00416054	0.00176804	0.00612543	0.00633076	0.00734138	0.0116308	0.0055214	0.00892541	0.00525078	0.00893544	0.00633166	0.00699992	0.00496508	0.00593575	0.00365415	0.00691007
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.00561372	0.0069007	0.0127716	0.00255703	0.00511489	0.00254496	0.00414872	0.00509387	0.00665395	0.00326923	0.00340209	0.00270211	0.00391676	0.00406688	0.00460006	0.00419288	0.00557157	0.0098328	0.00241646	0.00595641	0.00590245	0.00502579	0.00608166	0.00609127	0.00165398	0.00422777	0.00523977	0.00716409	0.00413305	0.0101742	0.00480553	0.00513969	0.00311023	0.0041484	0.00222499	0.00477724	0.00615278	0.00535547	0.00365167	0.00232762	0.000394069	0.00301779	0.00295626	0.00604609	0.00382842	0.00140596	0.00491018	0.00486277	0.00685068	0.0113418	0.00505616	0.00610848	0.00491446	0.00846145	0.00459604	0.00759791	0.00485016	0.0043064	0.00333537	0.00606847
ARO-PWY: chorismate biosynthesis I	0.00787491	0.00735918	0.0118936	0.00917631	0.00564013	0.0092915	0.00800808	0.0070268	0.00762128	0.00564757	0.00860605	0.00917262	0.00772068	0.00842125	0.00519957	0.00911327	0.00689426	0.00998438	0.00781113	0.00415261	0.0105407	0.00495779	0.00962688	0.00422765	0.0103746	0.00738844	0.00761937	0.010249	0.0103499	0.00989652	0.0108265	0.0111577	0.0128532	0.00847386	0.0101777	0.00961144	0.00698626	0.00954124	0.00963976	0.00872789	0.0126081	0.00969047	0.00993492	0.0100227	0.00666044	0.0116319	0.00909114	0.0102426	0.00974953	0.011588	0.0107286	0.02074	0.00738376	0.0107687	0.0107023	0.00824433	0.011893	0.0107554	0.00741391	0.0106592
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.00541743	0.00459138	0.0035535	0.00677638	0.00512806	0.00744212	0.00693758	0.00505013	0.00495608	0.00471982	0.00648971	0.00688462	0.00673037	0.00710631	0.00526648	0.00680238	0.00490994	0.00672219	0.00714684	0.00709352	0.00530601	0.00457905	0.0052387	0.00709844	0.00738096	0.00540082	0.00482721	0.00622077	0.00829989	0.00674796	0.0103403	0.00772609	0.0110533	0.0109276	0.0120853	0.00676601	0.00523538	0.00529299	0.00840182	0.0109212	0.0187313	0.0106015	0.00610864	0.0065771	0.00732924	0.0149286	0.0047323	0.0126255	0.00559322	0.00657788	0.0104396	0.00140952	0.0096089	0.00571964	0.0112682	0.0046884	0.0108952	0.0073036	0.0104076	0.00644068
AST-PWY: L-arginine degradation II (AST pathway)	0.000476369	0.00057201	0.0	0.000117498	0.00127822	3.63307e-05	0.000151705	0.00143219	0.000191217	0.000885818	0.0	7.98344e-05	0.000214934	7.1594e-05	0.00103825	9.03277e-05	0.00202092	0.0	0.000219495	0.00138115	0.0	0.00128723	0.000147304	0.00140835	7.19366e-05	0.000193452	0.00137581	0.0	0.0	0.0	0.000104251	0.0	0.0	0.0	0.0	0.000293598	0.00040563	0.0	0.00010848	0.0	0.0	0.00041478	0.0	0.0	0.000668424	0.0	0.00111344	0.0	0.0	0.0	0.000164003	0.000346091	0.000238642	0.0	0.0	0.000410337	0.0	0.0	8.85367e-05	0.0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.00278737	0.00273264	0.000747735	0.00396569	0.00320915	0.00273615	0.00319106	0.0028767	0.000611651	0.00333788	0.00350836	0.00362121	0.00329051	0.0028452	0.00396001	0.00230469	0.00414583	0.00113407	0.00528565	0.00357537	0.00331183	0.00368918	0.00125189	0.00378059	0.00446669	0.00351515	0.0040189	0.0	0.00160469	0.00039347	0.000330686	0.00156649	0.000190489	0.000593284	0.00055334	0.000811499	0.00202456	0.00297348	0.00235412	0.000515996	0.0	0.00178127	0.000255211	0.00124738	0.00374355	0.0	0.00236445	0.0	0.00215154	0.00154506	0.000378965	0.00106314	0.000847718	0.0012926	0.0	0.00251247	0.0	0.000505382	0.000931686	0.000888185
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	0.00733903	0.00733971	0.0104824	0.00752217	0.00651127	0.00785447	0.0087018	0.00638634	0.00394833	0.00581344	0.0070381	0.00734927	0.00572839	0.00908108	0.0064631	0.00706476	0.00573131	0.0116975	0.00727664	0.00791197	0.0109847	0.00623203	0.00748398	0.00787605	0.00834801	0.00555149	0.00687143	0.0123903	0.0117213	0.0121146	0.0162644	0.010284	0.0195026	0.020576	0.0216843	0.0129099	0.00781164	0.0100911	0.0125261	0.0187125	0.025174	0.0161385	0.0106133	0.0149926	0.00991432	0.0234379	0.00703721	0.0153122	0.0113909	0.00938064	0.0170785	0.0201817	0.0169166	0.0125006	0.0164122	0.00737267	0.0169023	0.0156553	0.0177585	0.0142799
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.00733604	0.00785768	0.00943788	0.00625943	0.00632412	0.00623388	0.00736438	0.00677715	0.00990138	0.00744556	0.00691199	0.00676209	0.00719434	0.00671986	0.00607086	0.00723963	0.00692768	0.00904935	0.00531541	0.00565689	0.00586317	0.00657777	0.00788244	0.00581289	0.00486868	0.00667086	0.00759879	0.00445788	0.00766294	0.0102111	0.0114911	0.00785894	0.0124129	0.013045	0.0117022	0.00973994	0.00702861	0.00804204	0.00902618	0.0118261	0.0127929	0.0107152	0.00397997	0.0103359	0.00783768	0.00982443	0.00678336	0.0124406	0.00615861	0.00877875	0.0103102	0.00991479	0.0111512	0.00938025	0.011466	0.00640648	0.0106623	0.0115412	0.0136127	0.0101482
CARNMET-PWY: L-carnitine degradation I	0.000106585	0.00016162	0.0	0.0	0.000330555	0.0	7.40615e-05	0.000201229	0.0	0.000292194	0.0	0.0	6.7558e-05	5.76147e-05	0.000364702	0.0	0.0	0.0	0.000150857	0.000793969	0.0	0.000217502	0.0	0.000791486	0.0	3.61587e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000196696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000236045	0.0	9.72345e-05	0.0	0.0	5.21736e-05	0.0	0.0	0.000144785	0.0	0.0	3.58605e-05	0.0	0.0	0.0	0.0
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	0.0	0.0	0.0	0.0	0.000553928	0.0	0.0	0.000369037	0.0	0.0	0.0	0.0	0.0	0.0	0.000100572	0.0	0.000983803	0.0	0.0	0.0	0.0	6.64456e-05	0.0	0.0	0.0	0.0	0.000130485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.44695e-05	9.81114e-05	0.0	0.000201886	0.0	0.0	0.0	0.0	0.000393602	0.0	0.0	0.0	0.0	0.000234797	0.0	0.0	0.0	0.0	0.0	0.0	9.87257e-05	0.0
CENTFERM-PWY: pyruvate fermentation to butanoate	0.000693839	0.00089052	0.000216372	0.000569571	0.00040965	0.000286527	0.000733072	0.0	0.0	0.000142072	0.000792481	0.000627376	0.000757921	0.000350651	0.000413793	0.000237142	0.0	0.0	0.000446125	9.99045e-05	0.000365938	0.000559877	0.0	9.16017e-05	0.000105609	0.000833326	0.0	0.000553078	0.0	0.0	0.000928057	0.0	0.0	0.0	0.0	0.000580982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000736855	0.0	0.000270007	0.000235346	0.0	0.000377243	0.0	0.00023146	0.0	0.0
CITRULBIO-PWY: L-citrulline biosynthesis	0.0018306	0.00170255	0.000443948	0.00425118	0.002495	0.00477794	0.00384117	0.00130971	0.00170353	0.00202029	0.00437039	0.00404931	0.00260168	0.00365938	0.00304806	0.00370991	0.00198262	0.000917876	0.00274574	0.0037513	0.00631968	0.00283637	0.00130768	0.00410671	0.00313023	0.0033665	0.00435937	0.00527807	0.00372438	0.0	0.000210155	0.00443501	0.00041676	0.0	0.000623263	0.000534673	0.00126	0.00428077	0.000576534	0.000305719	0.0	0.000815417	0.00239395	0.00378164	0.00237965	0.0	0.00150666	0.0	0.00497321	0.000675453	0.0	0.000489228	0.000913288	0.00141683	0.0	0.00612227	0.0	0.000519606	0.00273592	0.00208777
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	0.00570134	0.00483719	0.00898692	0.00922356	0.00409005	0.0095298	0.00746586	0.00480173	0.00431418	0.00545989	0.00828572	0.00892231	0.00772295	0.00798216	0.00397661	0.00925386	0.00327994	0.0037076	0.00711965	0.00285755	0.00727535	0.00369964	0.00617011	0.00289946	0.0104698	0.00779649	0.00691433	0.0115665	0.00903959	0.00418182	0.00766881	0.00929464	0.00649936	0.00600052	0.00428721	0.00796673	0.00478454	0.00826318	0.00859744	0.00464587	0.00287525	0.00496607	0.00894517	0.00777857	0.00468378	0.00720096	0.00540908	0.00844518	0.0101481	0.00652896	0.00830237	0.00920545	0.00575516	0.00807212	0.00876174	0.00775593	0.00805557	0.00777556	0.0047299	0.00694585
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	0.00540017	0.00459539	0.0109374	0.0094182	0.00388597	0.0095036	0.00770687	0.00470543	0.0035934	0.00514036	0.00842141	0.00910429	0.00753417	0.00826707	0.00376739	0.00938365	0.003066	0.00349631	0.00691744	0.00265947	0.00704492	0.0034102	0.00773295	0.00268107	0.0103178	0.00789382	0.0069111	0.0110334	0.00920904	0.00412588	0.00990678	0.00873859	0.010364	0.00684865	0.00776392	0.00834053	0.00422804	0.0079791	0.0100851	0.00482301	0.0109431	0.00713958	0.0086827	0.00798741	0.00474215	0.00928613	0.00687882	0.01069	0.00987958	0.00646701	0.00953902	0.00922963	0.00582365	0.0079254	0.0102696	0.0070966	0.00969973	0.00883186	0.00524811	0.00776585
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	0.00102403	0.0012928	0.00127047	0.00108238	0.00165037	0.000556033	0.000816872	0.00171421	0.00116736	0.00244779	0.00142543	0.000760133	0.00158907	0.00107623	0.00238902	0.000382029	0.00235049	0.000629347	0.00100397	0.00221814	0.0	0.00210244	0.000634443	0.00253976	0.00107072	0.00127532	0.00130809	0.00142293	0.00033763	0.000611894	0.000362736	0.00193421	0.000460034	0.000903539	0.0008717	0.00111851	0.00154582	0.0026093	0.0010152	0.000861082	7.55914e-05	0.000930964	0.00305232	0.000390396	0.00156096	0.0	0.00143739	0.00135474	0.0032938	0.00107885	0.0	0.000707573	0.00106156	0.001692	0.00162697	0.000912667	0.000434324	0.000521317	0.000306118	0.00101017
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.00152923	0.00225352	0.0024007	0.00332767	0.00256998	0.00238629	0.00217963	0.00282391	0.00091564	0.00477306	0.00356688	0.00310135	0.00233564	0.00258226	0.00324632	0.00154259	0.00219825	0.00276669	0.00319571	0.0029496	0.00306018	0.00278174	0.00248188	0.00265114	0.00292555	0.0030999	0.00229175	0.0027709	0.00285634	0.00320851	0.00150531	0.00453532	0.00103661	0.00139241	0.0004081	0.00128469	0.0021221	0.00461943	0.00164064	0.00223681	0.0	0.00169099	0.00365145	0.00289052	0.00295018	0.00125024	0.00199213	0.00190507	0.00314704	0.00261089	0.000584863	0.000498638	0.00235626	0.0024282	0.00226878	0.00245083	0.00201557	0.00262759	0.000854517	0.00239898
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.00711015	0.00641535	0.0107833	0.00747638	0.00544342	0.00734242	0.00690446	0.00677343	0.00604019	0.00530432	0.00768757	0.00767191	0.00679462	0.00706902	0.00489904	0.00667649	0.00641756	0.00944269	0.00664209	0.004107	0.0093371	0.00503065	0.00871614	0.00413832	0.00764897	0.00661381	0.00688037	0.00966754	0.00674286	0.00912365	0.00969758	0.0106233	0.0116635	0.00782663	0.00779817	0.0088798	0.00650399	0.00959925	0.0082377	0.0074726	0.00178323	0.0080272	0.0073931	0.0100894	0.0065346	0.00828607	0.00783163	0.0103968	0.00965203	0.0108146	0.00949416	0.0211961	0.00731697	0.00951753	0.0106458	0.0073371	0.00975067	0.0104505	0.00638466	0.0101646
CRNFORCAT-PWY: creatinine degradation I	0.000150419	0.0	0.0	0.0	6.19105e-05	8.99759e-05	0.0	0.000336907	0.0	0.0	0.0	0.0	0.0	0.0	3.78123e-05	0.0	0.000550554	0.0	0.0	7.52576e-06	0.0	5.74194e-05	0.000309833	0.0	0.0	0.0	0.00019639	0.0	7.3629e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.58577e-05	0.0
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.00319692	0.00445062	0.000318657	0.000788056	0.00356241	0.00106719	0.00112673	0.00328642	0.00166045	0.00290877	0.00127689	0.000912902	0.00162685	0.0018451	0.00408606	0.00161027	0.00391321	0.000279477	0.00289323	0.00431136	0.000882053	0.00404585	0.00152658	0.0043742	0.00139725	0.00234265	0.00352188	0.000782549	0.000614952	0.0	0.00240729	0.0	0.000263367	0.000250534	0.000560799	0.00388486	0.00369291	0.00183855	0.000919214	0.000959386	0.0	0.00211936	0.0004505	0.00280024	0.00440294	0.0	0.00247892	0.000382599	0.00336345	0.000402656	0.0007351	0.0022398	0.000936425	0.00130542	0.000402641	0.00316637	0.000676123	0.00458841	0.00038247	0.00238561
DARABCATK12-PWY: D-arabinose degradation I	0.00014337	0.000418134	0.0	2.62774e-05	0.000805415	0.0	0.000127726	0.000383598	0.0	0.000297337	3.64328e-05	0.000133986	0.000279718	0.000198691	0.000642629	0.000199414	0.000313999	0.0	0.000198265	0.00105087	0.0	0.000480289	0.0	0.00105262	1.81835e-05	6.16445e-05	9.9131e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.35934e-05	0.000224365	0.0	0.0	0.000145157	0.0	0.000508858	0.0	0.0	0.000126695	0.0	0.000187821	0.0	0.0	8.34453e-05	0.0	5.93314e-05	7.09183e-05	0.0	0.0	5.09741e-05	0.0	0.0	0.0	0.0
DENITRIFICATION-PWY: nitrate reduction I (denitrification)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.73333e-05	0.0	0.000164809	0.0	0.0	0.0	0.0	8.69245e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.54019e-05	0.0	0.000113995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.00170794	0.0020497	0.0	0.000880892	0.0035409	0.0	0.00105583	0.00297893	0.0	0.00213103	0.000611674	0.000689034	0.00299634	0.000952453	0.00268991	0.0	0.00221761	0.0	0.000905547	0.00189218	0.0	0.00299738	0.0	0.00185697	0.0	0.00270073	0.00164361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00132122	0.00177989	0.0	0.000800122	0.00134226	0.0	0.00163235	0.0	0.0	0.0	0.0	0.001831	0.0	0.0	0.0	0.00115216	0.000548162	0.000974615	0.0	0.0	0.0	0.0	0.0	0.000725481	0.0
DHGLUCONATE-PYR-CAT-PWY: glucose degradation (oxidative)	0.0	0.0	0.0	0.0	6.58395e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.29682e-05	0.0	0.0	0.0	0.0	0.0	0.0	9.21134e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	0.0112812	0.00966119	0.015117	0.0159154	0.00498596	0.0142407	0.0158258	0.00635639	0.019657	0.00636586	0.0173991	0.0156764	0.0126475	0.0159179	0.00530761	0.0147159	0.00398183	0.021773	0.00936353	0.00397066	0.0102329	0.00370663	0.0158408	0.0039559799999999	0.0138088	0.013105	0.00652564	0.0158057	0.020637	0.0223988	0.0354495	0.0157493	0.0269638	0.0398728	0.0469339	0.0196465	0.0126807	0.0129795	0.0414394	0.0296443	0.0625497	0.0293706	0.0181891	0.0208522	0.0183869	0.0738192	0.00866002	0.0164524	0.0114022	0.0186848	0.0397685	0.00698208	0.0301331	0.0171175	0.0175253	0.012489	0.033756	0.0278618	0.0266506	0.0176077
ECASYN-PWY: enterobacterial common antigen biosynthesis	0.000317452	0.000484222	0.0	0.000109814	0.00182496	9.72065e-05	0.000226404	0.00127019	0.0	0.000592459	0.0	8.8597e-05	0.000185788	0.000163374	0.00114735	0.0	0.00130122	0.0	0.000593077	0.00166766	0.0	0.00114122	0.000176325	0.00159622	7.42225e-05	0.000318018	0.000954173	0.0	0.0	0.0	0.000156121	0.0	0.0	0.0	0.0	0.000135319	0.000492409	0.0	0.000210056	0.000257882	0.0	0.000357474	0.0	0.0	0.000521713	0.0	0.000885154	0.0	0.0	0.000282128	0.0	0.000455383	0.000305121	0.0	0.0	0.0	0.0	0.0	0.000198496	0.0
FAO-PWY: fatty acid &beta;-oxidation I (generic)	0.00067568	0.00134254	0.0	0.000269971	0.00432942	0.000226599	0.000746704	0.00313184	0.000139812	0.00160378	0.000470975	0.000356457	0.000794107	0.000691528	0.00335586	0.0	0.00278565	0.0	0.00183825	0.00460349	0.0	0.00381983	0.000539051	0.00452202	0.0	0.00117536	0.00190871	0.0	9.87876e-05	0.0	0.0	0.0	0.0	0.000238605	0.0	0.00039943	0.00135455	0.0	0.000391768	0.000375847	0.0	0.00126621	0.0	0.0	0.000622595	0.0	0.00222899	0.0	0.0	0.000235766	0.00019886	0.000721463	0.000318727	0.0	0.0	0.000330539	0.0	0.000114038	0.000185944	0.0
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.00391794	0.00322642	0.000783108	0.00412483	0.00581701	0.00290558	0.00354445	0.004824	0.000661021	0.00416095	0.00354862	0.00368772	0.00387526	0.00310928	0.00542282	0.00292385	0.00664211	0.00155056	0.00579171	0.00507489	0.00334669	0.00559229	0.00220935	0.0048502	0.00463499	0.00389108	0.00563729	0.0	0.00164195	0.000424358	0.000751474	0.00149576	0.000203105	0.0038925	0.000758927	0.00293075	0.00409016	0.0030557	0.00604126	0.00189817	0.0	0.00341525	0.000236598	0.00208729	0.00493659	0.000362363	0.0046607	0.0	0.0020849	0.00232615	0.000563851	0.00185266	0.00102323	0.00172193	0.0	0.00328822	0.0	0.000720518	0.000931927	0.00218482
