# Pathway	MMRS11288076ST-27-0-0	MMRS11664448ST-27-0-0	MMRS11932626ST-27-0-0	MMRS12272136ST-27-0-0	MMRS14379078ST-27-0-0	MMRS14602194ST-27-0-0	MMRS15137911ST-27-0-0	MMRS16644320ST-27-0-0	MMRS17603756ST-27-0-0	MMRS17963147ST-27-0-0	MMRS18295921ST-27-0-0	MMRS20257302ST-27-0-0	MMRS21365932ST-27-0-0	MMRS24340226ST-27-0-0	MMRS25211151ST-27-0-0	MMRS25641480ST-27-0-0	MMRS29805707ST-27-0-0	MMRS31306426ST-27-0-0	MMRS32573774ST-27-0-0	MMRS33294861ST-27-0-0	MMRS34525504ST-27-0-0	MMRS34569532ST-27-0-0	MMRS35808664ST-27-0-0	MMRS36405092ST-27-0-0	MMRS38861560ST-27-0-0	MMRS38954404ST-27-0-0	MMRS39415781ST-27-0-0	MMRS39582183ST-27-0-0	MMRS40913371ST-27-0-0	MMRS41266697ST-27-0-0	MMRS41711735ST-27-0-0	MMRS42570301ST-27-0-0	MMRS42780924ST-27-0-0	MMRS43563715ST-27-0-0	MMRS43939546ST-27-0-0	MMRS44197125ST-27-0-0	MMRS44203591ST-27-0-0	MMRS44587603ST-27-0-0	MMRS47662059ST-27-0-0	MMRS47685461ST-27-0-0	MMRS48639115ST-27-0-0	MMRS51307502ST-27-0-0	MMRS51410669ST-27-0-0	MMRS51728985ST-27-0-0	MMRS51737257ST-27-0-0	MMRS54246132ST-27-0-0	MMRS54316675ST-27-0-0	MMRS55294627ST-27-0-0	MMRS56137463ST-27-0-0	MMRS57276462ST-27-0-0	MMRS57569834ST-27-0-0	MMRS59699117ST-27-0-0	MMRS61683006ST-27-0-0	MMRS62192467ST-27-0-0	MMRS62376181ST-27-0-0	MMRS62666492ST-27-0-0	MMRS64281211ST-27-0-0	MMRS64281551ST-27-0-0	MMRS65205033ST-27-0-0	MMRS65742083ST-27-0-0	MMRS65862658ST-27-0-0	MMRS65945127ST-27-0-0	MMRS66868025ST-27-0-0	MMRS67096717ST-27-0-0	MMRS67247116ST-27-0-0	MMRS67690541ST-27-0-0	MMRS68630931ST-27-0-0	MMRS68910755ST-27-0-0	MMRS71238091ST-27-0-0	MMRS71762412ST-27-0-0	MMRS72802364ST-27-0-0	MMRS72980899ST-27-0-0	MMRS73787048ST-27-0-0	MMRS77018926ST-27-0-0	MMRS77321055ST-27-0-0	MMRS77487595ST-27-0-0	MMRS78791111ST-27-0-0	MMRS79893829ST-27-0-0	MMRS80093644ST-27-0-0	MMRS81130264ST-27-0-0	MMRS81135225ST-27-0-0	MMRS81194191ST-27-0-0	MMRS81671217ST-27-0-0	MMRS84085284ST-27-0-0	MMRS84159866ST-27-0-0	MMRS84954772ST-27-0-0	MMRS85382779ST-27-0-0	MMRS85438660ST-27-0-0	MMRS85548821ST-27-0-0	MMRS86168210ST-27-0-0	MMRS86178473ST-27-0-0	MMRS86958796ST-27-0-0	MMRS87723283ST-27-0-0	MMRS88581325ST-27-0-0	MMRS90191266ST-27-0-0	MMRS91297590ST-27-0-0	MMRS92544445ST-27-0-0	MMRS92546335ST-27-0-0	MMRS92727331ST-27-0-0	MMRS93508324ST-27-0-0	MMRS93621581ST-27-0-0	MMRS94549160ST-27-0-0	MMRS95277876ST-27-0-0	MMRS95479054ST-27-0-0	MMRS95674036ST-27-0-0	MMRS96422329ST-27-0-0	MMRS97052561ST-27-0-0	MMRS97307143ST-27-0-0	MMRS97327636ST-27-0-0	MMRS99045180ST-27-0-0
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.72364e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.82724e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000160384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27129e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1CMET2-PWY: folate transformations III (E. coli)	0.00901619	0.00889832	0.00861927	0.0095707	0.00909597	0.00798179	0.00709474	0.00779594	0.00970425	0.00956031	0.00821714	0.00878574	0.00826826	0.00785564	0.00841278	0.00755814	0.00904754	0.0106834	0.00906558	0.00825269	0.00778437	0.0115264	0.00596832	0.00859537	0.00869578	0.0088919	0.00789699	0.00882286	0.00926517	0.00678829	0.00481259	0.0082657	0.0108717	0.00825942	0.0071788	0.00907691	0.00990078	0.00743274	0.00637279	0.00921752	0.00907308	0.0050453	0.00964556	0.00371939	0.00958923	0.00710105	0.00843997	0.00811019	0.00909602	0.00951894	0.00959165	0.00928374	0.0091311	0.00898258	0.00939626	0.00837638	0.00707867	0.00730377	0.0101544	0.00622407	0.00819635	0.0089806	0.00610019	0.00743391	0.0095606	0.00851402	0.00877522	0.00964477	0.00849107	0.00942674	0.00859994	0.00876991	0.00876998	0.00848099	0.00790594	0.00707971	0.00858417	0.0108322	0.00723804	0.00877373	0.0104191	0.00949015	0.00880273	0.00922186	0.00940828	0.00867277	0.00773284	0.010054	0.00882398	0.00655971	0.00898144	0.00812422	0.00985642	0.00827044	0.00910573	0.00741211	0.00821104	0.0103497	0.00669496	0.00863545	0.0087259	0.00896833	0.00952654	0.00845554	0.00969786	0.00980807	0.00858172	0.00696101	0.0086911	0.00993485
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.25878e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000465658	0.0	0.0	0.0	0.0	0.0	0.0	0.000303459	0.0	0.0	0.0	0.0	1.55212e-05	0.0	0.0	4.9714e-05	0.000240095	0.0	0.0	0.0	0.0	0.0	0.0	3.31472e-05	7.86893e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000223711	0.0	0.0	0.000182097	0.0	0.000151627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.12961e-05	0.0	0.0	0.0	0.000150164	0.0	0.0	9.71254e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000116243	0.0	0.0	0.000183941	0.0	0.0	0.0	0.0	0.0	0.0	0.000165847	0.0	0.0	0.0	0.0	3.2057e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AEROBACTINSYN-PWY: aerobactin biosynthesis	0.0	0.0	0.0	0.0	0.0	0.000129967	1.74431e-05	3.33578e-05	0.0	0.0	0.0	3.41451e-05	0.0	0.0	4.76811e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.15218e-05	0.0	0.0	0.0	0.0	2.90615e-05	0.0	0.0	0.0	0.00126948	1.86294e-05	0.0	0.0	0.0	5.90403e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.55786e-06	0.0	0.0	0.0	0.0	0.000238115	0.0	0.0	0.0	0.0	0.0	0.0	1.87295e-05	0.0	0.0	0.0	3.51709e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.26592e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	9.33359e-05	0.00029336	0.000193106	0.000198357	9.64972e-05	0.000149523	0.000341119	0.000311847	0.000103612	0.000251942	0.000103047	0.000134613	5.75972e-05	4.86126e-05	9.51381e-05	0.000120977	1.94104e-05	2.57338e-05	0.000131117	0.00014424	0.000122017	2.69869e-05	5.52808e-05	8.19136e-05	1.66649e-05	0.000103429	0.000103069	4.43904e-05	5.58451e-05	8.10994e-05	0.000201198	0.000125437	0.00011261	9.89666e-05	4.7586e-05	8.54093e-05	6.22866e-05	0.0	0.000402879	0.000242132	7.98591e-05	2.04229e-05	0.000101765	0.000109818	5.36271e-05	0.000143822	0.000263331	0.000132789	0.000297405	0.000219939	5.26408e-05	0.000271428	7.10772e-05	0.000302763	0.000170794	0.000120229	0.000120513	6.28236e-05	0.000169746	9.7219e-05	8.0957e-05	0.000139677	0.000374939	5.25096e-05	0.000306512	0.000353999	4.39246e-05	0.000107631	0.000136934	0.000135167	9.01565e-05	0.000192127	7.62941e-05	0.000151784	0.000582908	0.000240657	0.000135003	0.0	0.000128121	0.000103229	0.000209615	0.000204755	0.000176988	0.000136801	3.88778e-05	0.000263983	0.00027128	0.0	0.000144974	6.62643e-05	0.000162885	0.000195723	0.000120931	0.000124928	0.000302168	0.00018219	0.000134588	3.72304e-05	0.000346694	4.94036e-05	8.72031e-05	8.59441e-05	5.1267e-05	0.000107043	0.000102332	9.00443e-05	7.77424e-05	0.00043176	0.000526767	0.00013006
ANAEROFRUCAT-PWY: homolactic fermentation	0.00291816	0.00387224	0.0038451	0.00385676	0.00270215	0.0043026	0.00477049	0.00457236	0.0031734	0.00357567	0.00315956	0.00372588	0.00611531	0.00700181	0.0043333	0.00479544	0.00393033	0.004619	0.00451066	0.00468671	0.00300518	0.00422579	0.00478269	0.00355787	0.00398499	0.00371177	0.0058329	0.00405868	0.00257231	0.00457948	0.00499677	0.00434862	0.00207624	0.00347619	0.00379167	0.00376545	0.0033865	0.00548359	0.0054779	0.00452638	0.00246605	0.00478917	0.00327057	0.00416723	0.00360461	0.00264593	0.0044098	0.00532176	0.00339708	0.00398464	0.00280305	0.0050031	0.00461184	0.00732914	0.00335877	0.00479026	0.00453079	0.00358552	0.00431878	0.00431632	0.00440228	0.00365453	0.00293213	0.00583895	0.00253398	0.00330379	0.00307536	0.00636275	0.00400824	0.00277644	0.00281961	0.00441495	0.00388028	0.00338212	0.00579153	0.0042028	0.00251824	0.00304474	0.00450765	0.00321997	0.00381001	0.00330531	0.00297327	0.00464511	0.00387738	0.00409976	0.00359395	0.00710218	0.0056872	0.00330178	0.00324768	0.00453841	0.00265014	0.00480009	0.00380527	0.00598704	0.00407916	0.00529948	0.00569466	0.00336278	0.00451838	0.0039216	0.00480066	0.00371871	0.00370868	0.00480295	0.00645422	0.00329011	0.00673481	0.00650186
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.0116488	0.00985913	0.0104537	0.00969261	0.0104337	0.00991864	0.00959119	0.00891891	0.00873838	0.010099	0.0118673	0.011139	0.0113994	0.0106952	0.0106314	0.0102437	0.0102156	0.010989	0.010312	0.0110077	0.0118361	0.00943915	0.00749223	0.0120248	0.0100338	0.0100751	0.00953187	0.0111544	0.00988671	0.00738895	0.00632139	0.0107117	0.0084961	0.0106016	0.00958086	0.0103629	0.00955447	0.0101533	0.00764478	0.00960618	0.011053	0.00946351	0.0112531	0.00572021	0.0108837	0.011425	0.010316	0.00948066	0.00923024	0.0116782	0.0101066	0.00917382	0.0091353	0.0108088	0.0100163	0.010724	0.00774715	0.0117555	0.00962425	0.00847396	0.0102038	0.0123537	0.00986336	0.00812452	0.0099172	0.0105514	0.00911708	0.00967793	0.0105587	0.00997046	0.00835004	0.0100289	0.0107851	0.012148	0.0106408	0.00901885	0.0113666	0.0118476	0.00825804	0.00956946	0.0091373	0.00874445	0.0118855	0.00939379	0.0120604	0.00938138	0.00858163	0.00893649	0.00949481	0.00734992	0.00981424	0.00952103	0.0100764	0.00946178	0.0103021	0.00981093	0.00910744	0.0106274	0.00838476	0.00993741	0.00922259	0.0101387	0.00900816	0.0102852	0.00937562	0.0101285	0.0108007	0.00950613	0.00982349	0.0107008
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.000494702	0.00181447	0.00215366	0.00100123	0.000684682	0.00247073	0.00196682	0.00178426	0.00122519	0.00286341	0.00156227	0.0017112	0.000984381	0.000624634	0.00189931	0.00064103	0.0011921	0.000583935	0.00193014	0.00108256	0.00159565	0.000858196	0.00338749	0.00100452	0.000653048	0.00187505	0.00126277	0.00106547	0.00184721	0.00293035	0.00345867	0.00202818	0.001708	0.00238112	0.00182451	0.000735109	0.00102884	0.00182026	0.00373859	0.00264301	0.000770623	0.00105246	0.00224307	0.00351019	0.00234606	0.0020914	0.00238454	0.000801395	0.00143159	0.0019776	0.000420788	0.00138544	0.000939647	0.000790581	0.00132499	0.000678585	0.00273155	0.00133052	0.00161738	0.00337754	0.00152448	0.00233552	0.00107047	0.00122732	0.00157675	0.00213145	0.0024654	0.00144013	0.00219599	0.00233449	0.00193208	0.00209302	0.00231936	0.00211074	0.00184244	0.00212746	0.00120439	0.00348152	0.00206728	0.000823277	0.00189281	0.00112888	0.0017819	0.000443303	0.00185011	0.00173482	0.00216317	0.00319377	0.00102618	0.00160496	0.000868797	0.0019806	0.00108141	0.00194065	0.00181284	0.00138358	0.0021609	0.000500992	0.000777788	0.00195183	0.00139561	0.00183683	0.000627478	0.000901632	0.000674042	0.000639823	0.000520768	0.000728126	0.00137028	0.000925274
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.000117043	6.28848e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000701133	0.0	2.12693e-05	0.0	0.0	0.0	0.0	0.000390269	0.000516302	0.0	0.0	0.0	3.81361e-05	0.0	0.0	0.00024348	0.000774486	3.3335e-05	0.0	0.0	0.0	0.000601635	0.0	6.04258e-06	0.000124519	3.41624e-05	4.85101e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000245526	2.87426e-05	0.0	0.0	0.0	3.58665e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13566e-05	0.0	1.23275e-05	0.0	0.0	0.0	0.000137605	0.0	0.0	2.26041e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000147175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000270517	0.0	0.0	0.0	0.0	5.02358e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	0.00453611	0.0044451	0.0031899	0.00522909	0.00456928	0.0037554	0.00192472	0.00377295	0.00592291	0.00545996	0.00231442	0.00388498	0.00259045	0.00589728	0.00456764	0.00301539	0.00422035	0.00687342	0.00379556	0.00440586	0.00206863	0.00192521	0.00180352	0.00299595	0.00427627	0.00405657	0.00390702	0.00174352	0.00510804	0.00403413	0.00330803	0.00428225	0.00722002	0.00241743	0.00300661	0.00563876	0.0082901	0.00200876	0.00263807	0.00540402	0.00361069	0.00121873	0.00412838	0.00229128	0.00251716	0.00161136	0.00229199	0.00504781	0.00588711	0.00282092	0.00524508	0.00653466	0.00581752	0.00434024	0.00514391	0.00224195	0.00409349	0.00241391	0.00181774	0.00110858	0.00319631	0.00053711	0.00411252	0.00243246	0.00583884	0.00319515	0.00528349	0.00585176	0.00431757	0.00457749	0.0038833	0.00401581	0.00297749	0.00127282	0.00173217	0.00172921	0.00219127	0.00507042	0.00179421	0.00616762	0.0064533	0.00532635	0.00158256	0.00275079	0.00150025	0.00460225	0.00303842	0.00545393	0.00603211	0.000443642	0.00288558	0.00400106	0.00555116	0.00201036	0.00364181	0.00472472	0.0062533	0.00660697	0.00360867	0.0032949	0.00483139	0.00204389	0.00117268	0.00165018	0.00733289	0.00384459	0.00568137	0.00218061	0.00255252	0.00354812
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.00918641	0.00847747	0.00917837	0.00763664	0.0083554	0.00821952	0.00819715	0.00831946	0.00597358	0.00748402	0.00845282	0.00810477	0.0103623	0.00716248	0.00692438	0.010347	0.0093151	0.00539662	0.00914618	0.00902282	0.0067608	0.00909805	0.00515906	0.0107465	0.00924731	0.00876617	0.00855684	0.00934017	0.00768553	0.00511047	0.00512619	0.00803874	0.00575878	0.00846046	0.00870009	0.0069337	0.00333991	0.00853643	0.00649303	0.00727544	0.0089323	0.0127173	0.0101373	0.00539537	0.0088501	0.00848603	0.00749615	0.00698748	0.00667733	0.0103617	0.00713673	0.00595117	0.00696238	0.00974489	0.00714333	0.00990422	0.00521045	0.00688415	0.00646573	0.00754717	0.00918278	0.0108601	0.0132477	0.00882017	0.00799567	0.00975795	0.00769889	0.00590608	0.0079059	0.00727651	0.00760832	0.00831765	0.00987124	0.0102437	0.0107484	0.00878064	0.00944267	0.00872623	0.00792376	0.00613627	0.00574121	0.00551576	0.00979322	0.00841302	0.0102481	0.00770088	0.00837093	0.00465705	0.00666569	0.00951772	0.0103456	0.00892526	0.00727499	0.010114	0.00972612	0.00947968	0.00486413	0.0060815	0.00982234	0.0086238	0.00919428	0.00886605	0.00948866	0.0106696	0.00478919	0.00928269	0.00580464	0.0107829	0.0101143	0.00785045
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.00911829	0.00862929	0.00941915	0.00766417	0.0081833	0.00833719	0.00813211	0.00817458	0.00548665	0.00733249	0.00820757	0.00810704	0.0108572	0.00675823	0.00689315	0.0102482	0.00938559	0.00488735	0.00922477	0.00915381	0.00647227	0.00914716	0.00499476	0.0106819	0.00939634	0.00865644	0.00848789	0.00917475	0.00755837	0.00491294	0.0051741	0.00775666	0.00567905	0.00833638	0.00875541	0.00676875	0.00314732	0.00861514	0.00637189	0.00691474	0.00893164	0.0144793	0.0100483	0.00549656	0.00918971	0.00836756	0.00724702	0.00637693	0.00656189	0.0110367	0.00693113	0.00579774	0.00678189	0.00914725	0.00696265	0.010037	0.00476766	0.00670327	0.00650266	0.00756835	0.00932414	0.0102675	0.0134945	0.00872967	0.0077702	0.00997758	0.00767818	0.00532719	0.00766948	0.00669294	0.00751072	0.00799178	0.010334	0.0102512	0.010601	0.00873426	0.00925211	0.00881457	0.00744354	0.00593971	0.00565763	0.00521563	0.00982317	0.00784655	0.0108893	0.0075321	0.00842681	0.00449653	0.00656791	0.0100116	0.0102941	0.00890669	0.00740879	0.00997766	0.00986661	0.00914994	0.00465307	0.00563646	0.00957295	0.0087665	0.00948003	0.00912008	0.00988823	0.0106512	0.00448311	0.00937788	0.0055734	0.0110664	0.0095576	0.00774983
ARO-PWY: chorismate biosynthesis I	0.0105637	0.0105878	0.0103746	0.0102317	0.0103547	0.00966668	0.00849751	0.00955913	0.00943746	0.00984108	0.00943609	0.00988141	0.0111124	0.00887124	0.00891358	0.0107753	0.0111879	0.00965847	0.0106001	0.0110364	0.00917068	0.0119483	0.0062329	0.0106054	0.0105584	0.0103815	0.0101924	0.0103166	0.0096101	0.00689029	0.00549197	0.00937941	0.0104416	0.009858	0.00933127	0.00991878	0.00954523	0.00951808	0.00749914	0.00967812	0.0103333	0.0132547	0.0121382	0.00464684	0.0104909	0.00987266	0.00862599	0.00990595	0.0098672	0.0117846	0.00896646	0.00944463	0.00995683	0.0099459	0.00930596	0.0101215	0.00718118	0.00917106	0.0109908	0.00812958	0.0106087	0.00808147	0.0147237	0.0101959	0.0105329	0.0108771	0.00995718	0.00995711	0.00956473	0.00925107	0.00999902	0.00974902	0.010101	0.0118978	0.0106514	0.0100607	0.0111993	0.0116125	0.00876587	0.00964407	0.0105476	0.00900998	0.0109202	0.010317	0.0112511	0.0100301	0.00911337	0.00957614	0.00963745	0.0120497	0.0107928	0.0100533	0.0105866	0.0104413	0.0106664	0.00998133	0.00864535	0.0094952	0.0107992	0.0101975	0.0112338	0.00986572	0.0119165	0.0107212	0.0093228	0.0101425	0.00943915	0.0119852	0.0096233	0.011011
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.00478405	0.00528381	0.00426538	0.0055764	0.00466857	0.00477636	0.00386456	0.00473849	0.00673554	0.00547697	0.00633759	0.00454569	0.00284499	0.00434182	0.00480745	0.00415794	0.00470412	0.00707713	0.00455739	0.0041816	0.00799342	0.00400973	0.00635086	0.00299289	0.00451341	0.00456339	0.00428024	0.00407754	0.00691971	0.0057482	0.00546064	0.00428903	0.00818471	0.00613017	0.00408584	0.00496997	0.00655448	0.00552508	0.00470726	0.00540979	0.00418195	0.0026963	0.00398673	0.00485678	0.00373215	0.00706667	0.00465826	0.00518134	0.0071418	0.0037311	0.00655207	0.00689685	0.00594079	0.0062231	0.00655997	0.00451498	0.00659522	0.00788674	0.00476708	0.00364228	0.00386969	0.0043444	0.00471779	0.00401545	0.00505816	0.004439	0.00596611	0.00749814	0.00431401	0.00494121	0.0056243	0.00528909	0.00412085	0.00480852	0.00398485	0.00358851	0.0061688	0.00471301	0.00349968	0.00555734	0.00666691	0.00453041	0.00498874	0.00427311	0.00308261	0.00551658	0.00458037	0.00465634	0.00568463	0.00339268	0.00388328	0.00387039	0.00563622	0.00345828	0.00351066	0.00397843	0.0056212	0.00537513	0.00435158	0.0049831	0.00426468	0.00314777	0.00351465	0.00373821	0.0071074	0.00440222	0.00467201	0.00422618	0.00473858	0.00157811
AST-PWY: L-arginine degradation II (AST pathway)	0.0	0.0	0.0	0.0	0.0	0.000112252	0.00011032	2.94339e-05	0.0	3.7487e-05	0.0	3.26691e-05	0.0	0.0	3.71864e-05	0.0	0.0	0.0	2.08622e-05	0.0	0.0	0.0	0.000797664	0.0	9.86543e-06	0.0	0.0	0.0	0.0	0.000370338	0.001351	0.0	0.0	0.0	0.00015122	0.0	2.72788e-05	9.67878e-05	0.00103586	1.59715e-05	0.0	0.0	0.0	0.00117347	1.29578e-05	7.64221e-05	0.000185207	1.37533e-05	6.07635e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.16459e-05	0.000340216	7.79903e-05	0.0	0.000897433	0.0	0.000162414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.06317e-05	0.0	1.69194e-05	1.82417e-05	0.0	9.74346e-06	0.000186579	0.0	0.0	0.000131492	0.0	0.0	9.45954e-06	1.55207e-05	0.0	0.0	0.0	0.000209045	0.0	0.0	0.000678793	0.0	0.0	0.0	0.0	0.0	0.0	0.000377992	0.0	0.0	0.0	4.85379e-06	6.67939e-05	1.75497e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.00154159	0.00138366	0.000812761	0.00170703	0.00319763	0.00206274	0.00289196	0.00171847	0.00372473	0.00240287	0.00113231	0.00218697	0.00100922	0.00122247	0.00213224	0.00139925	0.00144477	0.00207582	0.00158935	0.00321424	0.00112975	0.000960726	0.00317548	0.0014746	0.00272182	0.00186075	0.00213126	0.000998485	0.00444187	0.00394903	0.00393091	0.00201987	0.001593	0.00117443	0.00302187	0.00301672	0.00320915	0.00166132	0.00348359	0.00442432	0.00251862	0.000686597	0.000957594	0.00304509	0.00203208	0.000909617	0.00216012	0.00277537	0.00312587	0.000535589	0.00298449	0.00303263	0.00290459	0.000195768	0.00178946	0.00134548	0.00346403	0.00156632	0.00144111	0.00284102	0.00162235	0.00124756	0.000230839	0.00262717	0.00150609	0.000973157	0.00262743	0.0028131	0.00193775	0.0048735	0.00205919	0.00245464	0.00167826	0.000718733	0.000891843	0.00238159	0.000904638	0.000747	0.00314942	0.00243769	0.00158935	0.00299922	0.00066207	0.00325038	0.00108644	0.00386253	0.00242844	0.0	0.00160396	0.00194483	0.0022866	0.00242725	0.00243489	0.00181203	0.00126639	0.000223752	0.00472606	0.00105418	0.00136176	0.00217479	0.00121808	0.00216733	0.00115341	0.00113473	0.0026363	0.00259639	0.000106262	0.00300716	9.26689e-05	0.0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	0.00807642	0.00916207	0.00942863	0.00817689	0.00910018	0.00863181	0.00905148	0.00889049	0.00795918	0.00835715	0.0115868	0.00789967	0.0100787	0.00972171	0.008988	0.00941108	0.00981948	0.00921878	0.0085322	0.00957903	0.0125803	0.00891405	0.00812548	0.0075979	0.00863087	0.00906468	0.00909428	0.00872805	0.00726912	0.0072154	0.0061226	0.00894592	0.00969957	0.0109308	0.00882935	0.00974825	0.00926181	0.00926495	0.00669345	0.00594266	0.00958788	0.00835683	0.00952187	0.00656714	0.0087593	0.0122551	0.00865137	0.00875267	0.00753699	0.00926868	0.00908039	0.00933985	0.00875736	0.00970325	0.00844048	0.0106217	0.00753035	0.0119152	0.00682808	0.00832466	0.00896052	0.00725542	0.0088589	0.0102728	0.00880449	0.00951592	0.00797564	0.00877645	0.00901178	0.00930327	0.00888692	0.00973265	0.00889222	0.00824141	0.0099791	0.00856552	0.010667	0.0107683	0.00843791	0.00876414	0.0088739	0.00585984	0.0100306	0.00856119	0.0101168	0.00803693	0.00870246	0.0101611	0.00987163	0.00629004	0.00843139	0.0083484	0.00744201	0.00988419	0.00897263	0.00914131	0.00780191	0.00804285	0.00899921	0.0091711	0.00919989	0.00837792	0.0080617	0.00927527	0.00817917	0.00858844	0.00928628	0.0089925	0.00887876	0.0107505
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.00968698	0.00926877	0.00972388	0.00909136	0.00939994	0.00876611	0.0098301	0.00799649	0.00892299	0.00960706	0.00933268	0.0102907	0.00871786	0.00735075	0.00878687	0.00922834	0.00993243	0.0090007	0.00904012	0.0094104	0.0099596	0.0093376	0.00693718	0.00896268	0.00838126	0.0088825	0.00801504	0.00979649	0.00956963	0.00699799	0.00593471	0.00891681	0.00647099	0.0097975	0.00867287	0.0085158	0.00637366	0.00870341	0.00795471	0.00898111	0.0103043	0.0106695	0.0106633	0.00667734	0.0099319	0.0100741	0.00932409	0.00659101	0.00737308	0.0107608	0.0094266	0.00886757	0.00766302	0.0113451	0.00915016	0.00938178	0.00755873	0.00963163	0.00778409	0.00868055	0.00943902	0.0134474	0.00796847	0.00731124	0.00975976	0.00976452	0.00926221	0.00840996	0.00915746	0.00784436	0.00764125	0.00876341	0.00954907	0.00988249	0.00942916	0.00958956	0.0102797	0.0099505	0.00801162	0.00843959	0.0085226	0.00783815	0.0104511	0.00758959	0.010638	0.00805673	0.00877348	0.00678051	0.00837409	0.00820162	0.00924618	0.00795177	0.00888772	0.00896236	0.00948998	0.00862691	0.00741357	0.00829481	0.00602776	0.00916576	0.0102138	0.00901747	0.00857568	0.0103441	0.00712542	0.00842302	0.00862464	0.00852065	0.00918242	0.00823222
